code_range	jonathan_dr_skhu_symptom_name	jonathan_dr_skhu_category
M25.57	Foot pain	Symptom
M25.571	Ankle pain	Symptom
M25.6	Joint stiffness	Symptom
M25.9	Joint instability	Symptom
M41.9	Spinal deformity	Symptom
M43.6	Spinal stiffness	Symptom
M43.6	Stiff neck	Symptom
M54	spine pain	Symptom
M54.2	Neck pain	Symptom
M54.5	Back pain	Symptom
M54.5	Lower back pain	Symptom
M54.5	lumbar region pain	Symptom
M54.6	Upper back pain	Symptom
M54.8	Spinal numbness	Symptom
M54.8	Spinal tingling	Symptom
M54.8	Spinal weakness	Symptom
M54.9	Spinal swelling	Symptom
M54.9	Spinal tenderness	Symptom
M54.9	back pain	Symptom
M62.8	Muscle cramps	Symptom
M62.81	Muscle weakness	Symptom
M62.83	Muscle spasms	Symptom
M62.9	Muscle stiffness	Symptom
M79.1	Muscle pain	Symptom
M79.1	myalgia	Symptom
M79.2	Nerve pain	Symptom
M79.6	limb pain	Symptom
M79.641	Finger pain	Symptom
M79.671	Toe pain	Symptom
M79.671b	Toe pain	Symptom
M79.672	Heel pain	Symptom
N23	renal colic	Symptom
N39.43	Post-void dribbling 	Symptom
N50.9	Scrotal pain	Symptom
N50.9	Testicular pain	Symptom
N52.9	Erectile dysfunction	Symptom
N53.11	Premature ejaculation	Symptom
N63	Lump or mass in breast	Symptom
N64.3	Galactorrhea	Symptom
N64.4	Mastodynia	Symptom
N64.4	breast pain	Symptom
N76.0	Vaginal discharge	Symptom
N92.4	Perimenopausal menorrhagia 	Symptom
N93.9	Vaginal bleeding	Symptom
N94.0	Mittelschmerz	Symptom
N94.1	Dyspareunia	Symptom
N94.81	vulvodynia	Symptom
N94.810	vulvar vestibulitis	Symptom
N94.819	Vulvar pain	Symptom
N95.0	Postmenopausal bleeding	Symptom
N95.4-6	Dysmenorrhea	Symptom
O00-O99	Pregnancy-related symptoms	Symptom
R79.89	Abnormal finding on examination of blood, without diagnosis	Examination finding
R80.9	Isolated proteinuria	Examination finding
R82.3	Dark urine	Symptom
R82.9	Isolated hematuria	Examination finding
T82.84	pain from prosthetic devices, implants, and grafts	Symptom
T83.84	pain from prosthetic devices, implants, and grafts	Symptom
T84.84	pain from prosthetic devices, implants, and grafts	Symptom
T85.84	pain from prosthetic devices, implants, and grafts	Symptom
V00-V99	Vehicle accident	Symptom
X85-Y09	Violence-related injury	Symptom
Y00-Y09	Youth violence	Symptom
