code_range	description
M62.81	Muscle weakness (generalized)
M62.83	Muscle spasm
M62.9	Disorder of muscle, unspecified
M72.2	Plantar fascial fibromatosis
M79.1	Myalgia
M79.2	Neuralgia and neuritis, unspecified
M79.6	Pain in limb, hand, foot, fingers and toes
M79.641	Pain in right hand
M79.671	Pain in right foot
M79.672	Pain in left foot
M81	Osteoporosis without current pathological fracture
N10	Acute pyelonephritis
N23	Unspecified renal colic
N32.8	Other specified disorders of bladder
N48.3	Priapism
N50.81	Testicular pain
N50.82	Scrotal pain
N50.9	Disorder of male genital organs, unspecified
N52.9	Male erectile dysfunction, unspecified
N53.11	Retarded ejaculation
N53.12	Painful ejaculation
N64.4	Mastodynia
N76.0	Acute vaginitis
N93.9	Abnormal uterine and vaginal bleeding, unspecified
N94.3	Premenstrual tension syndrome
N94.81	Vulvodynia
N94.810	Vulvar vestibulitis
N94.819	Vulvodynia, unspecified
R00-R09	Symptoms and signs involving the circulatory and respiratory systems
R10-R19	Symptoms and signs involving the digestive system and abdomen
R20-R23	Symptoms and signs involving the skin and subcutaneous tissue
R25-R29	Symptoms and signs involving the nervous and musculoskeletal systems
R30-R39	Symptoms and signs involving the genitourinary system
R40-R46	Symptoms and signs involving cognition, perception, emotional state and behavior
R47-R49	Symptoms and signs involving speech and voice
R50-R69	General symptoms and signs
R70-R79	Abnormal findings on examination of blood, without diagnosis
R70.0	Elevated erythrocyte sedimentation rate
R70.1	Abnormal plasma viscosity
R79.89	Other specified abnormal findings of blood chemistry
R80-R82	Abnormal findings on examination of urine, without diagnosis
R80.9	Proteinuria, unspecified
R82.3	Hemoglobinuria
R82.9	Other and unspecified abnormal findings in urine
R83-R89	Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis
R88	Abnormal findings in other body fluids and substances
R90-R94	Abnormal findings on diagnostic imaging and in function studies, without diagnosis
R93.8	Abnormal findings on diagnostic imaging of other specified body structures
R94.8	Abnormal results of function studies of other organs and systems
R97	Abnormal tumor markers
R99	Ill-defined and unknown cause of mortality
S14.1	Other and unspecified injuries of cervical spinal cord
S52.5	Fracture of lower end of radius
T81.4	Infection following a procedure
T82.84	Pain due to cardiac and vascular prosthetic devices, implants and grafts
T83.84	Pain due to genitourinary prosthetic devices, implants and grafts
T84.84	Pain due to internal orthopedic prosthetic devices, implants and grafts
T85.84	Pain due to internal prosthetic devices, implants and grafts, not elsewhere classified
