code	category	description	parent_code	general
A05.9	A05	Bacterial foodborne intoxication, unspecified	A05	t
A06	A06	Amebiasis		f
A06.0	A06	Acute amebic dysentery	A06	f
A06.1	A06	Chronic intestinal amebiasis	A06	f
A06.2	A06	Amebic nondysenteric colitis	A06	f
A06.3	A06	Ameboma of intestine	A06	f
A06.4	A06	Amebic liver abscess	A06	f
A06.5	A06	Amebic lung abscess	A06	f
A06.6	A06	Amebic brain abscess	A06	f
A06.7	A06	Cutaneous amebiasis	A06	f
A06.8	A06	Amebic infection of other sites	A06	f
A06.81	A06	Amebic cystitis	A06.8	f
A06.82	A06	Other amebic genitourinary infections	A06.8	f
A06.89	A06	Other amebic infections	A06.8	f
A06.9	A06	Amebiasis, unspecified	A06	t
A07	A07	Other protozoal intestinal diseases		f
A07.0	A07	Balantidiasis	A07	f
A07.1	A07	Giardiasis [lambliasis]	A07	f
A07.2	A07	Cryptosporidiosis	A07	f
A07.3	A07	Isosporiasis	A07	f
A07.4	A07	Cyclosporiasis	A07	f
A07.8	A07	Other specified protozoal intestinal diseases	A07	f
A07.9	A07	Protozoal intestinal disease, unspecified	A07	t
A08	A08	Viral and other specified intestinal infections		f
A08.0	A08	Rotaviral enteritis	A08	f
A08.1	A08	Acute gastroenteropathy due to Norwalk agent and other small round viruses	A08	f
A08.11	A08	Acute gastroenteropathy due to Norwalk agent	A08.1	f
A08.19	A08	Acute gastroenteropathy due to other small round viruses	A08.1	f
A08.2	A08	Adenoviral enteritis	A08	f
A08.3	A08	Other viral enteritis	A08	f
A08.31	A08	Calicivirus enteritis	A08.3	f
A08.32	A08	Astrovirus enteritis	A08.3	f
A08.39	A08	Other viral enteritis	A08.3	f
A08.4	A08	Viral intestinal infection, unspecified	A08	t
A08.8	A08	Other specified intestinal infections	A08	f
A09	A09	Infectious gastroenteritis and colitis, unspecified		f
A15	A15	Respiratory tuberculosis		f
A15.0	A15	Tuberculosis of lung	A15	f
A15.4	A15	Tuberculosis of intrathoracic lymph nodes	A15	f
A15.5	A15	Tuberculosis of larynx, trachea and bronchus	A15	f
A15.6	A15	Tuberculous pleurisy	A15	f
A15.7	A15	Primary respiratory tuberculosis	A15	f
A15.8	A15	Other respiratory tuberculosis	A15	f
A15.9	A15	Respiratory tuberculosis unspecified	A15	t
A17	A17	Tuberculosis of nervous system		f
A17.0	A17	Tuberculous meningitis	A17	f
A17.1	A17	Meningeal tuberculoma	A17	f
A17.8	A17	Other tuberculosis of nervous system	A17	f
A17.81	A17	Tuberculoma of brain and spinal cord	A17.8	f
A17.82	A17	Tuberculous meningoencephalitis	A17.8	f
A17.83	A17	Tuberculous neuritis	A17.8	f
A17.89	A17	Other tuberculosis of nervous system	A17.8	f
A17.9	A17	Tuberculosis of nervous system, unspecified	A17	t
A18	A18	Tuberculosis of other organs		f
A18.0	A18	Tuberculosis of bones and joints	A18	f
A18.01	A18	Tuberculosis of spine	A18.0	f
A18.02	A18	Tuberculous arthritis of other joints	A18.0	f
A18.03	A18	Tuberculosis of other bones	A18.0	f
A18.09	A18	Other musculoskeletal tuberculosis	A18.0	f
A18.1	A18	Tuberculosis of genitourinary system	A18	f
A18.10	A18	Tuberculosis of genitourinary system, unspecified	A18.1	t
A18.11	A18	Tuberculosis of kidney and ureter	A18.1	f
A18.12	A18	Tuberculosis of bladder	A18.1	f
A18.13	A18	Tuberculosis of other urinary organs	A18.1	f
A18.14	A18	Tuberculosis of prostate	A18.1	f
A18.15	A18	Tuberculosis of other male genital organs	A18.1	f
A18.16	A18	Tuberculosis of cervix	A18.1	f
A18.17	A18	Tuberculous female pelvic inflammatory disease	A18.1	f
A18.18	A18	Tuberculosis of other female genital organs	A18.1	f
A18.2	A18	Tuberculous peripheral lymphadenopathy	A18	f
A18.3	A18	Tuberculosis of intestines, peritoneum and mesenteric glands	A18	f
A18.31	A18	Tuberculous peritonitis	A18.3	f
A18.32	A18	Tuberculous enteritis	A18.3	f
A18.39	A18	Retroperitoneal tuberculosis	A18.3	f
A18.4	A18	Tuberculosis of skin and subcutaneous tissue	A18	f
A18.5	A18	Tuberculosis of eye	A18	f
A18.50	A18	Tuberculosis of eye, unspecified	A18.5	t
A18.51	A18	Tuberculous episcleritis	A18.5	f
A18.52	A18	Tuberculous keratitis	A18.5	f
A18.53	A18	Tuberculous chorioretinitis	A18.5	f
A18.54	A18	Tuberculous iridocyclitis	A18.5	f
A18.59	A18	Other tuberculosis of eye	A18.5	f
A18.6	A18	Tuberculosis of (inner) (middle) ear	A18	f
A18.7	A18	Tuberculosis of adrenal glands	A18	f
A18.8	A18	Tuberculosis of other specified organs	A18	f
A18.81	A18	Tuberculosis of thyroid gland	A18.8	f
A18.82	A18	Tuberculosis of other endocrine glands	A18.8	f
A18.83	A18	Tuberculosis of digestive tract organs, not elsewhere classified	A18.8	f
A18.84	A18	Tuberculosis of heart	A18.8	f
A18.85	A18	Tuberculosis of spleen	A18.8	f
A18.89	A18	Tuberculosis of other sites	A18.8	f
A19	A19	Miliary tuberculosis		f
A19.0	A19	Acute miliary tuberculosis of a single specified site	A19	f
A19.1	A19	Acute miliary tuberculosis of multiple sites	A19	f
A19.2	A19	Acute miliary tuberculosis, unspecified	A19	t
A19.8	A19	Other miliary tuberculosis	A19	f
A19.9	A19	Miliary tuberculosis, unspecified	A19	t
A20	A20	Plague		f
A20.0	A20	Bubonic plague	A20	f
A20.1	A20	Cellulocutaneous plague	A20	f
A20.2	A20	Pneumonic plague	A20	f
A20.3	A20	Plague meningitis	A20	f
A20.7	A20	Septicemic plague	A20	f
A20.8	A20	Other forms of plague	A20	f
A20.9	A20	Plague, unspecified	A20	t
A21	A21	Tularemia		f
A21.0	A21	Ulceroglandular tularemia	A21	f
A21.1	A21	Oculoglandular tularemia	A21	f
A21.2	A21	Pulmonary tularemia	A21	f
A21.3	A21	Gastrointestinal tularemia	A21	f
A21.7	A21	Generalized tularemia	A21	t
A21.8	A21	Other forms of tularemia	A21	f
A21.9	A21	Tularemia, unspecified	A21	t
A22	A22	Anthrax		f
A22.0	A22	Cutaneous anthrax	A22	f
A22.1	A22	Pulmonary anthrax	A22	f
A22.2	A22	Gastrointestinal anthrax	A22	f
A22.7	A22	Anthrax sepsis	A22	f
A22.8	A22	Other forms of anthrax	A22	f
A22.9	A22	Anthrax, unspecified	A22	t
A23	A23	Brucellosis		f
A23.0	A23	Brucellosis due to Brucella melitensis	A23	f
A23.1	A23	Brucellosis due to Brucella abortus	A23	f
A23.2	A23	Brucellosis due to Brucella suis	A23	f
A23.3	A23	Brucellosis due to Brucella canis	A23	f
A23.8	A23	Other brucellosis	A23	f
A23.9	A23	Brucellosis, unspecified	A23	t
A24	A24	Glanders and melioidosis		f
A24.0	A24	Glanders	A24	f
A24.1	A24	Acute and fulminating melioidosis	A24	f
A24.2	A24	Subacute and chronic melioidosis	A24	f
A24.3	A24	Other melioidosis	A24	f
A24.9	A24	Melioidosis, unspecified	A24	t
A25	A25	Rat-bite fevers		f
A25.0	A25	Spirillosis	A25	f
A25.1	A25	Streptobacillosis	A25	f
A25.9	A25	Rat-bite fever, unspecified	A25	t
A26	A26	Erysipeloid		f
A26.0	A26	Cutaneous erysipeloid	A26	f
A26.7	A26	Erysipelothrix sepsis	A26	f
A26.8	A26	Other forms of erysipeloid	A26	f
A26.9	A26	Erysipeloid, unspecified	A26	t
A27	A27	Leptospirosis		f
A27.0	A27	Leptospirosis icterohemorrhagica	A27	f
A27.8	A27	Other forms of leptospirosis	A27	f
A27.81	A27	Aseptic meningitis in leptospirosis	A27.8	f
A27.89	A27	Other forms of leptospirosis	A27.8	f
A27.9	A27	Leptospirosis, unspecified	A27	t
A28	A28	Other zoonotic bacterial diseases, not elsewhere classified		f
A28.0	A28	Pasteurellosis	A28	f
A28.1	A28	Cat-scratch disease	A28	f
A28.2	A28	Extraintestinal yersiniosis	A28	f
A28.8	A28	Other specified zoonotic bacterial diseases, not elsewhere classified	A28	f
A28.9	A28	Zoonotic bacterial disease, unspecified	A28	t
A30	A30	Leprosy [Hansen's disease]		f
A30.0	A30	Indeterminate leprosy	A30	f
A30.1	A30	Tuberculoid leprosy	A30	f
A30.2	A30	Borderline tuberculoid leprosy	A30	f
A30.3	A30	Borderline leprosy	A30	f
A30.4	A30	Borderline lepromatous leprosy	A30	f
A30.5	A30	Lepromatous leprosy	A30	f
A30.8	A30	Other forms of leprosy	A30	f
A30.9	A30	Leprosy, unspecified	A30	t
A31	A31	Infection due to other mycobacteria		f
A31.0	A31	Pulmonary mycobacterial infection	A31	f
A31.1	A31	Cutaneous mycobacterial infection	A31	f
A31.2	A31	Disseminated mycobacterium avium-intracellulare complex (DMAC)	A31	f
A31.8	A31	Other mycobacterial infections	A31	f
A31.9	A31	Mycobacterial infection, unspecified	A31	t
A32	A32	Listeriosis		f
A32.0	A32	Cutaneous listeriosis	A32	f
A32.1	A32	Listerial meningitis and meningoencephalitis	A32	f
A32.11	A32	Listerial meningitis	A32.1	f
A32.12	A32	Listerial meningoencephalitis	A32.1	f
A32.7	A32	Listerial sepsis	A32	f
A32.8	A32	Other forms of listeriosis	A32	f
A32.81	A32	Oculoglandular listeriosis	A32.8	f
A32.82	A32	Listerial endocarditis	A32.8	f
A32.89	A32	Other forms of listeriosis	A32.8	f
A32.9	A32	Listeriosis, unspecified	A32	t
A33	A33	Tetanus neonatorum		f
A34	A34	Obstetrical tetanus		f
A35	A35	Other tetanus		f
A36	A36	Diphtheria		f
A36.0	A36	Pharyngeal diphtheria	A36	f
A36.1	A36	Nasopharyngeal diphtheria	A36	f
A36.2	A36	Laryngeal diphtheria	A36	f
A36.3	A36	Cutaneous diphtheria	A36	f
A36.8	A36	Other diphtheria	A36	f
A36.81	A36	Diphtheritic cardiomyopathy	A36.8	f
A36.82	A36	Diphtheritic radiculomyelitis	A36.8	f
A36.83	A36	Diphtheritic polyneuritis	A36.8	f
A36.84	A36	Diphtheritic tubulo-interstitial nephropathy	A36.8	f
A36.85	A36	Diphtheritic cystitis	A36.8	f
A36.86	A36	Diphtheritic conjunctivitis	A36.8	f
A36.89	A36	Other diphtheritic complications	A36.8	f
A36.9	A36	Diphtheria, unspecified	A36	t
A37	A37	Whooping cough		f
A37.0	A37	Whooping cough due to Bordetella pertussis	A37	f
A37.00	A37	Whooping cough due to Bordetella pertussis without pneumonia	A37.0	f
A37.01	A37	Whooping cough due to Bordetella pertussis with pneumonia	A37.0	f
A37.1	A37	Whooping cough due to Bordetella parapertussis	A37	f
A37.10	A37	Whooping cough due to Bordetella parapertussis without pneumonia	A37.1	f
A37.11	A37	Whooping cough due to Bordetella parapertussis with pneumonia	A37.1	f
A37.8	A37	Whooping cough due to other Bordetella species	A37	f
A37.80	A37	Whooping cough due to other Bordetella species without pneumonia	A37.8	f
A37.81	A37	Whooping cough due to other Bordetella species with pneumonia	A37.8	f
A37.9	A37	Whooping cough, unspecified species	A37	t
A37.90	A37	Whooping cough, unspecified species without pneumonia	A37.9	t
A37.91	A37	Whooping cough, unspecified species with pneumonia	A37.9	t
A38	A38	Scarlet fever		f
A38.0	A38	Scarlet fever with otitis media	A38	f
A38.1	A38	Scarlet fever with myocarditis	A38	f
A38.8	A38	Scarlet fever with other complications	A38	f
A38.9	A38	Scarlet fever, uncomplicated	A38	f
A39	A39	Meningococcal infection		f
A39.0	A39	Meningococcal meningitis	A39	f
A39.1	A39	Waterhouse-Friderichsen syndrome	A39	f
A39.2	A39	Acute meningococcemia	A39	f
A39.3	A39	Chronic meningococcemia	A39	f
A39.4	A39	Meningococcemia, unspecified	A39	t
A39.5	A39	Meningococcal heart disease	A39	f
A39.50	A39	Meningococcal carditis, unspecified	A39.5	t
A39.51	A39	Meningococcal endocarditis	A39.5	f
A39.52	A39	Meningococcal myocarditis	A39.5	f
A39.53	A39	Meningococcal pericarditis	A39.5	f
A39.8	A39	Other meningococcal infections	A39	f
A39.81	A39	Meningococcal encephalitis	A39.8	f
A39.82	A39	Meningococcal retrobulbar neuritis	A39.8	f
A39.83	A39	Meningococcal arthritis	A39.8	f
A39.84	A39	Postmeningococcal arthritis	A39.8	f
A39.89	A39	Other meningococcal infections	A39.8	f
A39.9	A39	Meningococcal infection, unspecified	A39	t
A40	A40	Streptococcal sepsis		f
A40.0	A40	Sepsis due to streptococcus, group A	A40	f
A40.1	A40	Sepsis due to streptococcus, group B	A40	f
A40.3	A40	Sepsis due to Streptococcus pneumoniae	A40	f
A40.8	A40	Other streptococcal sepsis	A40	f
A40.9	A40	Streptococcal sepsis, unspecified	A40	t
A41	A41	Other sepsis		f
A41.0	A41	Sepsis due to Staphylococcus aureus	A41	f
A41.01	A41	Sepsis due to Methicillin susceptible Staphylococcus aureus	A41.0	f
A41.02	A41	Sepsis due to Methicillin resistant Staphylococcus aureus	A41.0	f
A41.1	A41	Sepsis due to other specified staphylococcus	A41	f
A41.2	A41	Sepsis due to unspecified staphylococcus	A41	t
A41.3	A41	Sepsis due to Hemophilus influenzae	A41	f
A41.4	A41	Sepsis due to anaerobes	A41	f
A41.5	A41	Sepsis due to other Gram-negative organisms	A41	f
A41.50	A41	Gram-negative sepsis, unspecified	A41.5	t
A41.51	A41	Sepsis due to Escherichia coli [E. coli]	A41.5	f
A41.52	A41	Sepsis due to Pseudomonas	A41.5	f
A41.53	A41	Sepsis due to Serratia	A41.5	f
A41.54	A41	Sepsis due to Acinetobacter baumannii	A41.5	f
A41.59	A41	Other Gram-negative sepsis	A41.5	f
A41.8	A41	Other specified sepsis	A41	f
A41.81	A41	Sepsis due to Enterococcus	A41.8	f
A41.89	A41	Other specified sepsis	A41.8	f
A41.9	A41	Sepsis, unspecified organism	A41	t
A42	A42	Actinomycosis		f
A42.0	A42	Pulmonary actinomycosis	A42	f
A42.1	A42	Abdominal actinomycosis	A42	f
A42.2	A42	Cervicofacial actinomycosis	A42	f
A42.7	A42	Actinomycotic sepsis	A42	f
A42.8	A42	Other forms of actinomycosis	A42	f
A42.81	A42	Actinomycotic meningitis	A42.8	f
A42.82	A42	Actinomycotic encephalitis	A42.8	f
A42.89	A42	Other forms of actinomycosis	A42.8	f
A42.9	A42	Actinomycosis, unspecified	A42	t
A43	A43	Nocardiosis		f
A43.0	A43	Pulmonary nocardiosis	A43	f
A43.1	A43	Cutaneous nocardiosis	A43	f
A43.8	A43	Other forms of nocardiosis	A43	f
A43.9	A43	Nocardiosis, unspecified	A43	t
A44	A44	Bartonellosis		f
A44.0	A44	Systemic bartonellosis	A44	f
A44.1	A44	Cutaneous and mucocutaneous bartonellosis	A44	f
A44.8	A44	Other forms of bartonellosis	A44	f
A44.9	A44	Bartonellosis, unspecified	A44	t
A46	A46	Erysipelas		f
A48	A48	Other bacterial diseases, not elsewhere classified		f
A48.0	A48	Gas gangrene	A48	f
A48.1	A48	Legionnaires' disease	A48	f
A48.2	A48	Nonpneumonic Legionnaires' disease [Pontiac fever]	A48	f
A48.3	A48	Toxic shock syndrome	A48	f
A48.4	A48	Brazilian purpuric fever	A48	f
A48.5	A48	Other specified botulism	A48	f
A48.51	A48	Infant botulism	A48.5	f
A48.52	A48	Wound botulism	A48.5	f
A48.8	A48	Other specified bacterial diseases	A48	f
A49	A49	Bacterial infection of unspecified site		f
A49.0	A49	Staphylococcal infection, unspecified site	A49	t
A49.01	A49	Methicillin susceptible Staphylococcus aureus infection, unspecified site	A49.0	t
A49.02	A49	Methicillin resistant Staphylococcus aureus infection, unspecified site	A49.0	t
A49.1	A49	Streptococcal infection, unspecified site	A49	t
A49.2	A49	Hemophilus influenzae infection, unspecified site	A49	t
A49.3	A49	Mycoplasma infection, unspecified site	A49	t
A49.8	A49	Other bacterial infections of unspecified site	A49	t
A49.9	A49	Bacterial infection, unspecified	A49	t
A50	A50	Congenital syphilis		f
A50.0	A50	Early congenital syphilis, symptomatic	A50	f
A50.01	A50	Early congenital syphilitic oculopathy	A50.0	f
A50.02	A50	Early congenital syphilitic osteochondropathy	A50.0	f
A50.03	A50	Early congenital syphilitic pharyngitis	A50.0	f
A50.04	A50	Early congenital syphilitic pneumonia	A50.0	f
A50.05	A50	Early congenital syphilitic rhinitis	A50.0	f
A50.06	A50	Early cutaneous congenital syphilis	A50.0	f
A50.07	A50	Early mucocutaneous congenital syphilis	A50.0	f
A50.08	A50	Early visceral congenital syphilis	A50.0	f
A50.09	A50	Other early congenital syphilis, symptomatic	A50.0	f
A50.1	A50	Early congenital syphilis, latent	A50	f
A50.2	A50	Early congenital syphilis, unspecified	A50	t
A50.3	A50	Late congenital syphilitic oculopathy	A50	f
A50.30	A50	Late congenital syphilitic oculopathy, unspecified	A50.3	t
A50.31	A50	Late congenital syphilitic interstitial keratitis	A50.3	f
A50.32	A50	Late congenital syphilitic chorioretinitis	A50.3	f
A50.39	A50	Other late congenital syphilitic oculopathy	A50.3	f
A50.4	A50	Late congenital neurosyphilis [juvenile neurosyphilis]	A50	f
A50.40	A50	Late congenital neurosyphilis, unspecified	A50.4	t
A50.41	A50	Late congenital syphilitic meningitis	A50.4	f
A50.42	A50	Late congenital syphilitic encephalitis	A50.4	f
A50.43	A50	Late congenital syphilitic polyneuropathy	A50.4	f
A50.44	A50	Late congenital syphilitic optic nerve atrophy	A50.4	f
A50.45	A50	Juvenile general paresis	A50.4	f
A50.49	A50	Other late congenital neurosyphilis	A50.4	f
A50.5	A50	Other late congenital syphilis, symptomatic	A50	f
A50.51	A50	Clutton's joints	A50.5	f
A50.52	A50	Hutchinson's teeth	A50.5	f
A50.53	A50	Hutchinson's triad	A50.5	f
A50.54	A50	Late congenital cardiovascular syphilis	A50.5	f
A50.55	A50	Late congenital syphilitic arthropathy	A50.5	f
A50.56	A50	Late congenital syphilitic osteochondropathy	A50.5	f
A50.57	A50	Syphilitic saddle nose	A50.5	f
A50.59	A50	Other late congenital syphilis, symptomatic	A50.5	f
A50.6	A50	Late congenital syphilis, latent	A50	f
A50.7	A50	Late congenital syphilis, unspecified	A50	t
A50.9	A50	Congenital syphilis, unspecified	A50	t
A51	A51	Early syphilis		f
A51.0	A51	Primary genital syphilis	A51	f
A51.1	A51	Primary anal syphilis	A51	f
A51.2	A51	Primary syphilis of other sites	A51	f
A51.3	A51	Secondary syphilis of skin and mucous membranes	A51	f
A51.31	A51	Condyloma latum	A51.3	f
A51.32	A51	Syphilitic alopecia	A51.3	f
A51.39	A51	Other secondary syphilis of skin	A51.3	f
A51.4	A51	Other secondary syphilis	A51	f
A51.41	A51	Secondary syphilitic meningitis	A51.4	f
A51.42	A51	Secondary syphilitic female pelvic disease	A51.4	f
A51.43	A51	Secondary syphilitic oculopathy	A51.4	f
A51.44	A51	Secondary syphilitic nephritis	A51.4	f
A51.45	A51	Secondary syphilitic hepatitis	A51.4	f
A51.46	A51	Secondary syphilitic osteopathy	A51.4	f
A51.49	A51	Other secondary syphilitic conditions	A51.4	f
A51.5	A51	Early syphilis, latent	A51	f
A51.9	A51	Early syphilis, unspecified	A51	t
A52	A52	Late syphilis		f
A52.0	A52	Cardiovascular and cerebrovascular syphilis	A52	f
A52.00	A52	Cardiovascular syphilis, unspecified	A52.0	t
A52.01	A52	Syphilitic aneurysm of aorta	A52.0	f
A52.02	A52	Syphilitic aortitis	A52.0	f
A52.03	A52	Syphilitic endocarditis	A52.0	f
A52.04	A52	Syphilitic cerebral arteritis	A52.0	f
A52.05	A52	Other cerebrovascular syphilis	A52.0	f
A52.06	A52	Other syphilitic heart involvement	A52.0	f
A52.09	A52	Other cardiovascular syphilis	A52.0	f
A52.1	A52	Symptomatic neurosyphilis	A52	f
A52.10	A52	Symptomatic neurosyphilis, unspecified	A52.1	t
A52.11	A52	Tabes dorsalis	A52.1	f
A52.12	A52	Other cerebrospinal syphilis	A52.1	f
A52.13	A52	Late syphilitic meningitis	A52.1	f
A52.14	A52	Late syphilitic encephalitis	A52.1	f
A52.15	A52	Late syphilitic neuropathy	A52.1	f
A52.16	A52	Charcôt's arthropathy (tabetic)	A52.1	f
A52.17	A52	General paresis	A52.1	f
A52.19	A52	Other symptomatic neurosyphilis	A52.1	f
A52.2	A52	Asymptomatic neurosyphilis	A52	f
A52.3	A52	Neurosyphilis, unspecified	A52	t
A52.7	A52	Other symptomatic late syphilis	A52	f
A52.71	A52	Late syphilitic oculopathy	A52.7	f
A52.72	A52	Syphilis of lung and bronchus	A52.7	f
A52.73	A52	Symptomatic late syphilis of other respiratory organs	A52.7	f
A52.74	A52	Syphilis of liver and other viscera	A52.7	f
A52.75	A52	Syphilis of kidney and ureter	A52.7	f
A52.76	A52	Other genitourinary symptomatic late syphilis	A52.7	f
A52.77	A52	Syphilis of bone and joint	A52.7	f
A52.78	A52	Syphilis of other musculoskeletal tissue	A52.7	f
A52.79	A52	Other symptomatic late syphilis	A52.7	f
A52.8	A52	Late syphilis, latent	A52	f
A52.9	A52	Late syphilis, unspecified	A52	t
A53	A53	Other and unspecified syphilis		f
A53.0	A53	Latent syphilis, unspecified as early or late	A53	t
A53.9	A53	Syphilis, unspecified	A53	t
A54	A54	Gonococcal infection		f
A54.0	A54	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess	A54	f
A54.00	A54	Gonococcal infection of lower genitourinary tract, unspecified	A54.0	t
A54.01	A54	Gonococcal cystitis and urethritis, unspecified	A54.0	t
A54.02	A54	Gonococcal vulvovaginitis, unspecified	A54.0	t
A54.03	A54	Gonococcal cervicitis, unspecified	A54.0	t
A54.09	A54	Other gonococcal infection of lower genitourinary tract	A54.0	f
A54.1	A54	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess	A54	f
A54.2	A54	Gonococcal pelviperitonitis and other gonococcal genitourinary infection	A54	f
A54.21	A54	Gonococcal infection of kidney and ureter	A54.2	f
A54.22	A54	Gonococcal prostatitis	A54.2	f
A54.23	A54	Gonococcal infection of other male genital organs	A54.2	f
A54.24	A54	Gonococcal female pelvic inflammatory disease	A54.2	f
A54.29	A54	Other gonococcal genitourinary infections	A54.2	f
A54.3	A54	Gonococcal infection of eye	A54	f
A54.30	A54	Gonococcal infection of eye, unspecified	A54.3	t
A54.31	A54	Gonococcal conjunctivitis	A54.3	f
A54.32	A54	Gonococcal iridocyclitis	A54.3	f
A54.33	A54	Gonococcal keratitis	A54.3	f
A54.39	A54	Other gonococcal eye infection	A54.3	f
A54.4	A54	Gonococcal infection of musculoskeletal system	A54	f
A54.40	A54	Gonococcal infection of musculoskeletal system, unspecified	A54.4	t
A54.41	A54	Gonococcal spondylopathy	A54.4	f
A54.42	A54	Gonococcal arthritis	A54.4	f
A54.43	A54	Gonococcal osteomyelitis	A54.4	f
A54.49	A54	Gonococcal infection of other musculoskeletal tissue	A54.4	f
A54.5	A54	Gonococcal pharyngitis	A54	f
A54.6	A54	Gonococcal infection of anus and rectum	A54	f
A54.8	A54	Other gonococcal infections	A54	f
A54.81	A54	Gonococcal meningitis	A54.8	f
A54.82	A54	Gonococcal brain abscess	A54.8	f
A54.83	A54	Gonococcal heart infection	A54.8	f
A54.84	A54	Gonococcal pneumonia	A54.8	f
A54.85	A54	Gonococcal peritonitis	A54.8	f
A54.86	A54	Gonococcal sepsis	A54.8	f
A54.89	A54	Other gonococcal infections	A54.8	f
A54.9	A54	Gonococcal infection, unspecified	A54	t
A55	A55	Chlamydial lymphogranuloma (venereum)		f
A56	A56	Other sexually transmitted chlamydial diseases		f
A56.0	A56	Chlamydial infection of lower genitourinary tract	A56	f
A56.00	A56	Chlamydial infection of lower genitourinary tract, unspecified	A56.0	t
A56.01	A56	Chlamydial cystitis and urethritis	A56.0	f
A56.02	A56	Chlamydial vulvovaginitis	A56.0	f
A56.09	A56	Other chlamydial infection of lower genitourinary tract	A56.0	f
A56.1	A56	Chlamydial infection of pelviperitoneum and other genitourinary organs	A56	f
A56.11	A56	Chlamydial female pelvic inflammatory disease	A56.1	f
A56.19	A56	Other chlamydial genitourinary infection	A56.1	f
A56.2	A56	Chlamydial infection of genitourinary tract, unspecified	A56	t
A56.3	A56	Chlamydial infection of anus and rectum	A56	f
A56.4	A56	Chlamydial infection of pharynx	A56	f
A56.8	A56	Sexually transmitted chlamydial infection of other sites	A56	f
A57	A57	Chancroid		f
A58	A58	Granuloma inguinale		f
A59	A59	Trichomoniasis		f
A59.0	A59	Urogenital trichomoniasis	A59	f
A59.00	A59	Urogenital trichomoniasis, unspecified	A59.0	t
A59.01	A59	Trichomonal vulvovaginitis	A59.0	f
A59.02	A59	Trichomonal prostatitis	A59.0	f
A59.03	A59	Trichomonal cystitis and urethritis	A59.0	f
A59.09	A59	Other urogenital trichomoniasis	A59.0	f
