id	created_at	updated_at	name	is_medication
32	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACCUMAX CO 10/12.5 12.5MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
33	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 150MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
34	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ANTHEL 400MG TABLET by PHARMACEUTICAL & CHEMICAL DISTRIBUTORS P/L	
35	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	KIVEXA 600MG TABLET by GLAXOSMITHKLINE S.A (PTY) LTD	
36	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LAMIVUDINE 150MG TABLET, COATED by CAPS PVT LTD	
37	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ZIAGEN 300MG TABLET, COATED by GLAXOSMITHKLINE S.A (PTY) LTD	
38	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACETAZOLAMIDE 250MG TABLET by REMEDICA LTD	
39	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACICLOVIR 200 200MG TABLET by CIPLA LTD	
40	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACCUMAX CO 20/12.5 12.5MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
41	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 25MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
42	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ZENTEL 400MG TABLET by GLAXOSMITHKLINE S.A (PTY) LTD	
43	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 300MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
44	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 300MG TABLET, COATED by HETERO LABS LTD	
45	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LAMIVUDINE 150MG TABLET, COATED by VARICHEM PHARMACEUTICALS (PVT) LTD	
46	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	APO-ACETAZOLAMIDE 250MG TABLET by APOTEX INC.	
47	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACOVIR 800MG TABLET by HETERO LABS LTD	
48	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACCUMAX CO 20/12.5 20MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
49	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABISART HCTZ 300MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
50	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 600MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
51	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE 20MG SOLUTION by HETERO LABS LTD	
52	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 600MG TABLET, COATED by HETERO LABS LTD	
53	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACLOTAS 100MG TABLET, COATED by INTAS PHARMACEUTICALS LTD	
54	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ZESTAVAL 200MG TABLET, COATED by REMEDICA LTD	
55	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACYCLOVIR 200MG TABLET by VARICHEM PHARMACEUTICALS (PVT) LTD	
56	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	IRBIS-HT 12.5MG TABLET, COATED by HETERO LABS LTD	
57	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	3TC 10MG SOLUTION by GLAXO-WELLCOME ZIMBABWE PVT LTD	
58	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 30MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
59	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ZIAGEN 20MG SOLUTION by GLAXO-WELLCOME ZIMBABWE PVT LTD	
60	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	REFPAIN PLAIN 100MG TABLET, COATED by COSPHARM INVESTMENTS (PTY) LTD	
61	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACRIPTEGA 50MG TABLET, COATED by MYLAN LABORATORIES LIMITED	
62	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTAN 360MG TABLET by DATLABS PRIVATE LIMITED	
63	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	IRBIS-HT 150MG TABLET, COATED by HETERO LABS LTD	
64	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULFATE; LAMIVUDINE 60MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
65	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTIFED COLD TABLETS 1.25MG TABLET by GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD	
66	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACYCLOVIR 200MG TABLET by MYLAN LAB LTD	
67	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LAMIVUDINE 10MG SOLUTION by HETERO LABS LTD	
68	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACRIPTEGA 300MG TABLET, COATED by MYLAN LABORATORIES LIMITED	
69	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTRAPHANE FLEXPEN 1001U INJECTABLE by NOVO-NORDISK A/S	
70	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE 300MG TABLET by HETERO LABS LTD	
71	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTIFED COLD TABLETS 30MG TABLET by GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD	
72	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	NOVACID 216MG TABLET by PHARMANOVA (PVT) LTD	
73	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	IRBIS-HT 12.5MG TABLET, COATED by HETERO LABS LTD	
74	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 300MG TABLET, COATED by CIPLA LTD	
75	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACRIPTEGA 300MG TABLET, COATED by MYLAN LABORATORIES LIMITED	
76	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACYCLOVIR 400MG TABLET by MYLAN LAB LTD	
77	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTRAPHANE HM (GE) 100IU INJECTABLE by NOVO NORDISK (PTY) LTD,	
78	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LAMIVUDINE ORAL SOLUTION 10MG SOLUTION by AUROBINDO PHARMA LIMITED	
79	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	IRBIS-HT 300MG TABLET, COATED by HETERO LABS LTD	
80	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	PROTAPHANE FLEXPEN 1001U INJECTABLE by NOVO-NORDISK A/S	
81	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 600MG TABLET, COATED by CIPLA LTD	
82	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL 50MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
83	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ALOVIR 400MG TABLET by HETERO LABS LTD	
84	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	GRAYS NYONGOCID 216MG TABLET by PHARMANOVA PVT LTD	
85	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTRAPID HM (GE) 100UNITS INJECTABLE by NOVO NORDISK (PTY) LTD,	
86	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADALAT XL 20 20MG TABLET, COATED by BAYER (PTY) LTD	
87	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL 300MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
88	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO CIPROFLOXACIN 2MG SOLUTION by ADCOCK INGRAM CRITICAL CARE	
89	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-AMOXYCILLIN 125MG GRANULE, FOR SUSPENSION by ADCOCK INGRAM LIMITED	
90	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACTRAPID FLEXPEN 100IU SOLUTION by NOVO-NORDISK A/S	
91	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 300MG TABLET by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
92	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	APO-ACYCLOVIR 200MG TABLET by APOTEX INC.	
93	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-ATORVASTATIN 10MG TABLET, COATED by ADCOCK INGRAM LIMITED	
94	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADALAT XL 30 30MG TABLET, COATED by BAYER (PTY) LTD	
95	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL 300MG TABLET, COATED by AUROBINDO PHARMA LIMITED	
96	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ABACAVIR SULPHATE; LAMIVUDINE 600MG TABLET by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
97	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-CETIRIZINE 10MG TABLET, COATED by ADCOCK INGRAM LIMITED	
98	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOCILLIN 125MG GRANULE, FOR SUSPENSION by CAPS PVT LTD	
99	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-CIMETIDINE 400MG TABLET by ADCOCK INGRAM LIMITED	
100	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CYCLOVAX 200MG TABLET by REMEDICA LTD	
101	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CIPROBAY 250MG TABLET by BAYER (PTY) LTD	
102	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-ATORVASTATIN 40MG TABLET, COATED by ADCOCK INGRAM LIMITED	
103	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADALAT XL 60 60MG TABLET, COATED by BAYER (PTY) LTD	
104	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 50MG TABLET, COATED by MACLEODS PHARMACEUTICALS LIMITED	
105	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CANDID 1G POWDER by GLENMARK PHARMACEUTICALS LTD	
106	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ALERID-10 10MG TABLET, COATED by CIPLA LTD	
107	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOCILLIN 250MG GRANULE, FOR SUSPENSION by CAPS PVT LTD	
108	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-CIMETIDINE 200MG TABLET by ADCOCK INGRAM LIMITED	
109	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by MACLEODS PHARMACEUTICALS LIMITED	
110	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	HERPERAX 200MG TABLET by GRANITESIDE CHEMICALS (PVT) LTD	
111	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CIPROBAY 500MG TABLET by BAYER (PTY) LTD	
112	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-ATORVASTIN 20MG TABLET, COATED by ADCOCK INGRAM LIMITED	
113	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-DOL 5MG TABLET by ADCOCK INGRAM LIMITED	
114	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CALCIGARD RETARD 20MG TABLET, COATED by TORRENT PHARMACEUTICALS	
115	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by MACLEODS PHARMACEUTICALS LIMITED	
116	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ALLERCET 10MG TABLET, COATED by MICRO LABS LTD	
117	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOXEN 250MG GRANULE, FOR SUSPENSION by VARICHEM PHARMACEUTICALS (PVT) LTD	
118	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CANDID 1G LOTION by GLENMARK PHARMACEUTICALS LTD	
119	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-DOL 10MG TABLET by ADCOCK INGRAM LIMITED	
120	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ULCERIN 400 400MG TABLET by PLUS FIVE PHARMACEUTICALS PVT LTD	
121	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	VIRAMED 200MG TABLET by PLUS FIVE PHARMACEUTICALS PVT LTD	
122	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ASPAVOR 10 10MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
123	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	NIFELAT 20MG TABLET, COATED by REMEDICA LTD	
124	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CIPROBAY SUSPENSION 5G GRANULE, FOR SUSPENSION by BAYER (PTY) LTD	
125	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-DOL 45MG TABLET by ADCOCK INGRAM LIMITED	
126	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 50MG TABLET, COATED by HETERO LABS LTD	
127	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ZYNCET 10MG TABLET, COATED by UNICHEM LABORATORIES LIMITED	
128	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ULCERINE 200 200MG TABLET by PLUS FIVE PHARMACEUTICALS PVT LTD	
129	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	VIRATAK 200MG TABLET by CAPS PVT LTD	
130	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ASPAVOR 20 20MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
131	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-AMOXYCILLIN 250MG CAPSULE by ADCOCK INGRAM LIMITED	
132	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CANDID 1G SOLUTION/DROPS by GLENMARK PHARMACEUTICALS LTD	
133	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-DOL 450MG TABLET by ADCOCK INGRAM LIMITED	
134	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	NIFELAT 10MG TABLET, COATED by REMEDICA LTD	
135	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by HETERO LABS LTD	
136	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	TYFLOX-500 500MG TABLET, COATED by AJANTA PHARMA	
137	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	VARI-CIMETIDINE 200MG TABLET by VARICHEM PHARMACEUTICALS (PVT) LTD	
138	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by HETERO LABS LTD	
139	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	HISTACET 5MG SOLUTION by VARICHEM PHARMACEUTICALS (PVT) LTD	
285	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMILORIDE 5MG TABLET by CAPS PVT LTD	
140	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ASPAVOR 40 40MG TABLET, COATED by PHARMACIA SOUTH AFRICA PTY LTD	
141	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOCILLIN 500MG CAPSULE by CAPS PVT LTD	
142	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	BETAPYN 5MG TABLET by ADCOCK INGRAM LIMITED	
143	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACYCLOVIR 200MG SUSPENSION by VARICHEM PHARMACEUTICALS (PVT) LTD	
144	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CANDID 1G PAINT by GLENMARK PHARMACEUTICALS LTD	
145	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	BETAPYN 10MG TABLET by ADCOCK INGRAM LIMITED	
146	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	VARI-CIMETIDINE 400 400MG TABLET by VARICHEM PHARMACEUTICALS (PVT) LTD	
147	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-EFAVIRENZ 600MG TABLET, COATED by ADCOCK INGRAM LIMITED	
148	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 50MG TABLET, COATED by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
149	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ATOREG 10 10MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
150	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOCILLIN 250MG CAPSULE by CAPS PVT LTD	
151	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-INDOGEL 10MG GEL by ADCOCK INGRAM LIMITED	
152	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	BETAPYN 50MG TABLET by ADCOCK INGRAM LIMITED	
153	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
154	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ACYZOX 25MG INJECTABLE by BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED	
155	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ADCO-MEFENAMIC ACID 50MG SUSPENSION by ADCOCK INGRAM LIMITED	
156	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	CLOSCRIPT VAGINAL CREAM 1G CREAM by MULLER & PHIPPS	
157	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AVIRANZ 600MG TABLET, COATED by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
158	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ATOREG 20 20MG TABLET, COATED by MYLAN PHARMACEUTICALS PVT LTD	
159	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOXEN 250MG CAPSULE by VARICHEM PHARMACEUTICALS (PVT) LTD	
160	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	BETAPYN 450MG TABLET by ADCOCK INGRAM LIMITED	
161	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	BIO-CIMETIDINE 200MG TABLET, COATED by BIOTECH LABS PTY LTD	
162	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE 300MG TABLET, COATED by SUN PHARMACEUTICAL INDUSTRIES LIMITED	
163	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	ARTHREXIN 100MG SUPPOSITORY by PHARMACARE LIMITED	
164	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	PONSTAN 50MG SUSPENSION by PFIZER LABORATORIES (PTY) LTD	
165	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	EFAMAT 600MG TABLET, COATED by MYLAN LABORATORIES LIMITED	
166	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	LIPITAS 20 20MG TABLET, COATED by INTAS PHARMACEUTICALS LTD	
167	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	AMOXEN 500MG CAPSULE by VARICHEM PHARMACEUTICALS (PVT) LTD	
168	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	DOXSYN 5MG TABLET by MULLER & PHIPPS	
