code	name	created_at	updated_at
S83.509S	Sprain of unspecified cruciate ligament of unspecified knee, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N52.9	Male erectile dysfunction, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H54.7	Unspecified visual loss	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R51.9	Headache, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H53.8	Other visual disturbances	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M62.10	Other rupture of muscle (nontraumatic), unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E11.21	Type 2 diabetes mellitus with diabetic nephropathy	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K90.81	Whipple's disease	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M14.80	Arthropathies in other specified diseases classified elsewhere, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K22.0	Achalasia of cardia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M05.00	Felty's syndrome, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T78.2XXA	Anaphylactic shock, unspecified, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T78.2XXD	Anaphylactic shock, unspecified, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T78.2XXS	Anaphylactic shock, unspecified, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E11.69	Type 2 diabetes mellitus with other specified complication	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K59.89	Other specified functional intestinal disorders	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N85.7	Hematometra	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B01.9	Varicella without complication	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R19.7	Diarrhea, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N05.3	Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E06.5	Other chronic thyroiditis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M88.9	Osteitis deformans of unspecified bone	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J33.0	Polyp of nasal cavity	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D75.1	Secondary polycythemia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E87.3	Alkalosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q85.89	Other phakomatoses, not elsewhere classified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B02.30	Zoster ocular disease, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T81.30XA	Disruption of wound, unspecified, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T81.30XD	Disruption of wound, unspecified, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T81.30XS	Disruption of wound, unspecified, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L98.1	Factitial dermatitis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B46.5	Mucormycosis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N18.9	Chronic kidney disease, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I70.1	Atherosclerosis of renal artery	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N92.0	Excessive and frequent menstruation with regular cycle	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D74.8	Other methemoglobinemias	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I86.4	Gastric varices	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M79.673	Pain in unspecified foot	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T56.891A	Toxic effect of other metals, accidental (unintentional), initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T56.891D	Toxic effect of other metals, accidental (unintentional), subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T56.891S	Toxic effect of other metals, accidental (unintentional), sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M34.9	Systemic sclerosis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N46.01	Organic azoospermia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R14.3	Flatulence	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.90XA	Injury, unspecified, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.90XD	Injury, unspecified, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T14.90XS	Injury, unspecified, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D68.2	Hereditary deficiency of other clotting factors	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F40.01	Agoraphobia with panic disorder	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K29.40	Chronic atrophic gastritis without bleeding	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R20.0	Anesthesia of skin	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H35.30	Unspecified macular degeneration	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K08.109	Complete loss of teeth, unspecified cause, unspecified class	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K82.4	Cholesterolosis of gallbladder	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K83.1	Obstruction of bile duct	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J16.0	Chlamydial pneumonia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H11.30	Conjunctival hemorrhage, unspecified eye	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D16.4	Benign neoplasm of bones of skull and face	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B25.8	Other cytomegaloviral diseases	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H32	Chorioretinal disorders in diseases classified elsewhere	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D71	Functional disorders of polymorphonuclear neutrophils	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D56.1	Beta thalassemia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L63.9	Alopecia areata, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L65.0	Telogen effluvium	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K63.5	Polyp of colon	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N63.0	Unspecified lump in unspecified breast	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L81.3	Cafe au lait spots	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XA	Unspecified fracture of facial bones, initial encounter for closed fracture	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XB	Unspecified fracture of facial bones, initial encounter for open fracture	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XD	Unspecified fracture of facial bones, subsequent encounter for fracture with routine healing	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XG	Unspecified fracture of facial bones, subsequent encounter for fracture with delayed healing	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XK	Unspecified fracture of facial bones, subsequent encounter for fracture with nonunion	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S02.92XS	Unspecified fracture of facial bones, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R06.4	Hyperventilation	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N64.59	Other signs and symptoms in breast	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I83.90	Asymptomatic varicose veins of unspecified lower extremity	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L73.2	Hidradenitis suppurativa	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N28.89	Other specified disorders of kidney and ureter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M79.10	Myalgia, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K14.8	Other diseases of tongue	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J39.2	Other diseases of pharynx	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C80.1	Malignant (primary) neoplasm, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R17	Unspecified jaundice	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M31.4	Aortic arch syndrome [Takayasu]	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L30.5	Pityriasis alba	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F91.9	Conduct disorder, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H50.00	Unspecified esotropia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R04.2	Hemoptysis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J64	Unspecified pneumoconiosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G25.89	Other specified extrapyramidal and movement disorders	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I61.5	Nontraumatic intracerebral hemorrhage, intraventricular	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R29.898	Other symptoms and signs involving the musculoskeletal system	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I95.9	Hypotension, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q24.9	Congenital malformation of heart, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N94.6	Dysmenorrhea, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D73.5	Infarction of spleen	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E87.20	Acidosis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D49.7	Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G70.9	Myoneural disorder, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D58.2	Other hemoglobinopathies	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L12.0	Bullous pemphigoid	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D39.2	Neoplasm of uncertain behavior of placenta	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q82.8	Other specified congenital malformations of skin	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C49.9	Malignant neoplasm of connective and soft tissue, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J45.30	Mild persistent asthma, uncomplicated	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H02.109	Unspecified ectropion of unspecified eye, unspecified eyelid	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q65.2	Congenital dislocation of hip, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q65.5	Congenital partial dislocation of hip, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C74.90	Malignant neoplasm of unspecified part of unspecified adrenal gland	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N00.9	Acute nephritic syndrome with unspecified morphologic changes	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C69.20	Malignant neoplasm of unspecified retina	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L72.0	Epidermal cyst	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M04.1	Periodic fever syndromes	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H92.10	Otorrhea, unspecified ear	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F90.9	Attention-deficit hyperactivity disorder, unspecified type	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K56.609	Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J45.40	Moderate persistent asthma, uncomplicated	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G47.00	Insomnia, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L41.9	Parapsoriasis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q21.10	Atrial septal defect, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K86.1	Other chronic pancreatitis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T82.9XXA	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T82.9XXD	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T82.9XXS	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
P55.8	Other hemolytic diseases of newborn	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C56.9	Malignant neoplasm of unspecified ovary	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J81.1	Chronic pulmonary edema	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M19.90	Unspecified osteoarthritis, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B07.8	Other viral warts	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L75.0	Bromhidrosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J35.8	Other chronic diseases of tonsils and adenoids	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
O03.9	Complete or unspecified spontaneous abortion without complication	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L92.8	Other granulomatous disorders of the skin and subcutaneous tissue	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
P59.29	Neonatal jaundice from other hepatocellular damage	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J38.7	Other diseases of larynx	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G45.0	Vertebro-basilar artery syndrome	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K11.5	Sialolithiasis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S96.919A	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S96.919D	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S96.919S	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R35.89	Other polyuria	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R40.20	Unspecified coma	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T76.92XA	Unspecified child maltreatment, suspected, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T76.92XD	Unspecified child maltreatment, suspected, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T76.92XS	Unspecified child maltreatment, suspected, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E87.6	Hypokalemia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I20.9	Angina pectoris, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H42	Glaucoma in diseases classified elsewhere	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R16.0	Hepatomegaly, not elsewhere classified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F33.9	Major depressive disorder, recurrent, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H30.90	Unspecified chorioretinal inflammation, unspecified eye	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I67.1	Cerebral aneurysm, nonruptured	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C85.10	Unspecified B-cell lymphoma, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L44.4	Infantile papular acrodermatitis [Gianotti-Crosti]	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G12.21	Amyotrophic lateral sclerosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L28.0	Lichen simplex chronicus	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E72.02	Hartnup's disease	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T43.505A	Adverse effect of unspecified antipsychotics and neuroleptics, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T43.505D	Adverse effect of unspecified antipsychotics and neuroleptics, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T43.505S	Adverse effect of unspecified antipsychotics and neuroleptics, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G21.0	Malignant neuroleptic syndrome	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F07.81	Postconcussional syndrome	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M47.814	Spondylosis without myelopathy or radiculopathy, thoracic region	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F79	Unspecified intellectual disabilities	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F48.9	Nonpsychotic mental disorder, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
O13.9	Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J84.01	Alveolar proteinosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D75.89	Other specified diseases of blood and blood-forming organs	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C91.90	Lymphoid leukemia, unspecified not having achieved remission	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D18.00	Hemangioma unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D16.9	Benign neoplasm of bone and articular cartilage, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Z20.5	Contact with and (suspected) exposure to viral hepatitis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G93.7	Reye's syndrome	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G56.10	Other lesions of median nerve, unspecified upper limb	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
I70.90	Unspecified atherosclerosis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
G56.20	Lesion of ulnar nerve, unspecified upper limb	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E72.09	Other disorders of amino-acid transport	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T68.XXXA	Hypothermia, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T68.XXXD	Hypothermia, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T68.XXXS	Hypothermia, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E84.9	Cystic fibrosis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R31.9	Hematuria, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
H49.10	Fourth [trochlear] nerve palsy, unspecified eye	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K56.2	Volvulus	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K55.9	Vascular disorder of intestine, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
P77.9	Necrotizing enterocolitis in newborn, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T46.0X4A	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T46.0X4D	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
T46.0X4S	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E78.3	Hyperchylomicronemia	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M79.646	Pain in unspecified finger(s)	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S63.619A	Unspecified sprain of unspecified finger, initial encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S63.619D	Unspecified sprain of unspecified finger, subsequent encounter	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
S63.619S	Unspecified sprain of unspecified finger, sequela	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D36.9	Benign neoplasm, unspecified site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
J03.90	Acute tonsillitis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D61.82	Myelophthisis	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D48.1	Neoplasm of uncertain behavior of connective and other soft tissue	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L92.0	Granuloma annulare	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
B07.0	Plantar wart	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M25.369	Other instability, unspecified knee	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
M25.319	Other instability, unspecified shoulder	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
D18.1	Lymphangioma, any site	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E22.0	Acromegaly and pituitary gigantism	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L51.9	Erythema multiforme, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
L40.9	Psoriasis, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
K92.2	Gastrointestinal hemorrhage, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
E04.1	Nontoxic single thyroid nodule	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
F10.10	Alcohol abuse, uncomplicated	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R55	Syncope and collapse	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
C44.92	Squamous cell carcinoma of skin, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
Q89.2	Congenital malformations of other endocrine glands	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R09.89	Other specified symptoms and signs involving the circulatory and respiratory systems	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
N21.0	Calculus in bladder	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
R41.0	Disorientation, unspecified	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
