id	created_at	updated_at	drug_id	form	routes	strength_numerators	strength_numerator_unit	strength_denominator	strength_denominator_unit
42	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	28	LOTION	{TOPICAL}	{1}	G	100	G
43	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	23	GRANULE, FOR SUSPENSION	{ORAL}	{5}	G	100	G
44	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	14	SUSPENSION	{ORAL}	{200}	MG	5	ML
45	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	24	CAPSULE	{ORAL}	{250,500}	MG	1	CAPSULE
46	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	30	TABLET, COATED	{ORAL}	{200,600}	MG	1	TABLET
47	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	28	SOLUTION/DROPS	{OTIC}	{1}	G	100	ML
48	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	23	TABLET, COATED	{ORAL}	{500}	MG	1	TABLET
49	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	26	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{5}	MG	5	ML
50	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	14	INJECTABLE	"{""IV (INFUSION)""}"	{25}	MG	1	ML
51	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	31	GEL	{ORAL,TOPICAL}	{10}	MG	1	G
52	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	32	SUSPENSION	{ORAL}	{50}	MG	5	ML
53	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	28	PAINT	{TOPICAL}	{1}	G	100	ML
54	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	27	TABLET, COATED	{ORAL}	{200,400}	MG	1	TABLET
55	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	31	SUPPOSITORY	{RECTAL}	{100}	MG	1	SUPPOSITORY
56	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	33	CAPSULE	{ORAL}	{10,20}	MG	1	CAPSULE
57	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	34	SUSPENSION	{ORAL}	{250}	MG	5	ML
58	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	TABLET, COATED	{ORAL}	{300}	MG	1	TABLET
59	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	28	CREAM	{TOPICAL,VAGINAL,RECTAL}	{1}	G	100	G
60	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	31	CAPSULE	{ORAL}	{25}	MG	1	CAPSULE
61	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	32	CAPSULE	{ORAL}	{250}	MG	1	CAPSULE
62	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	34	TABLET	{ORAL}	{500}	MG	1	TABLET
63	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	36	INJECTABLE	"{""IV (INFUSION)""}"	{10.5,17.29,19.79,102.3,540}	MCG	1	INFUSION
64	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	CAPSULE	{ORAL}	{100}	MG	1	CAPSULE
65	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	37	INJECTABLE	{INJECTION}	{1}	MG	1	ML
66	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	30	TABLET	{ORAL}	{200,600}	MG	1	TABLET
67	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	38	SOLUTION	{INJECTION}	{10,50}	MG	1	INJECTION
68	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	SYRUP	{ORAL}	{50}	MG	5	ML
69	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	32	SUSPENSION	{ORAL,INJECTION}	{50}	MG	5	ML
70	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	24	TABLET	{ORAL}	{250}	MG	1	TABLET
71	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	37	INJECTABLE	"{""IV (INFUSION)""}"	{1}	MG	1	ML
72	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	39	VACCINE	{ORAL,INJECTION}	{20}	LF	1	ML
73	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	34	SUSPENSION	{ORAL,INJECTION}	{250}	MG	5	ML
74	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	TABLET	{ORAL}	{300}	MG	1	TABLET
75	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	24	SUSPENSION	{ORAL}	{125}	MG	5	ML
76	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	37	INJECTABLE	"{""INJECTION, AMPOULE""}"	{1}	MG	1	ML
77	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	40	MIXTURE	{ORAL}	{6.25}	G	100	G
78	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	41	TABLET	{ORAL}	{2.5,5,10}	MG	1	TABLET
79	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	30	CAPSULE	{ORAL}	{50}	MG	1	CAPSULE
80	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	42	GAS	{INHALATION}	{99.5}	ML	100	ML
81	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	43	SOLUTION	{INFUSION}	{20}	G	100	ML
82	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{50}	MG	5	ML
83	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	44	TABLET	{ORAL}	{25}	MG	1	TABLET
84	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	45	TABLET	{ORAL}	{10}	MG	1	TABLET
85	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	46	CAPSULE	{ORAL}	{100}	MG	1	CAPSULE
86	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	47	SYRUP	{ORAL}	{2}	MG	5	ML
87	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	48	SOLUTION/DROPS	{OPHTHALMIC}	{2}	ML	100	ML
88	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	49	OINTMENT	{TOPICAL}	{1}	G	100	G
89	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	42	LIQUID	{ORAL}	{100}	G	100	G
90	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	43	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{20}	G	100	G
91	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	35	LIQUID	{ORAL}	{50}	MG	5	ML
92	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	47	TABLET	{ORAL}	{4}	MG	1	TABLET
93	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	50	CREAM	{TOPICAL}	{2}	G	100	G
94	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	51	TABLET	{ORAL}	{100}	MG	1	TABLET
95	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	52	TABLET, COATED	{ORAL}	{25,50,100,200}	MG	1	TABLET
96	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	53	TABLET, COATED	{ORAL}	{25,50,100}	MG	1	TABLET
97	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	54	TABLET	{ORAL}	{25,500}	MG	1	TABLET
98	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	55	TABLET	{ORAL}	{1,2,4}	MG	1	TABLET
99	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	56	SUSPENSION	{ORAL,INJECTION}	{200}	MG	5	ML
100	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	57	TABLET	{ORAL}	{2.5,5,10}	MG	1	TABLET
101	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	58	TABLET	{ORAL}	{5}	MG	1	TABLET
102	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	50	ELIXIR	{ORAL}	{0.5}	G	100	G
103	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	47	ELIXIR	{ORAL}	{2}	MG	5	ML
104	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	59	TABLET	{ORAL}	{100}	MG	1	TABLET
105	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	60	TABLET, COATED	{ORAL}	{25}	MG	1	TABLET
106	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	56	TABLET	{ORAL}	{200,400}	MG	1	TABLET
107	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	61	TABLET	{ORAL}	{5,10}	MG	1	TABLET
108	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	62	TABLET	{ORAL}	{5,10,40,80}	MG	1	TABLET
109	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	59	INJECTABLE	"{""INJECTION, AMPOULE""}"	{25}	MG	1	ML
110	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	52	TABLET	{ORAL}	{25,50,100,200}	MG	1	TABLET
111	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	63	POWDER/INJECTABLE	{INJECTION}	{50}	MG	1	INJECTION
112	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	64	INJECTABLE	{INJECTION}	{500}	MG	1	INJECTION
113	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	65	POWDER/INJECTABLE	{INJECTION}	{500}	MG	1	INJECTION
114	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	66	TABLET	{ORAL}	{22.7,24,400}	MG	1	TABLET
115	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	67	TABLET, COATED	{ORAL}	{25}	MG	1	TABLET
116	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	68	TABLET, COATED	{ORAL}	{1}	MG	1	TABLET
117	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	53	TABLET	{ORAL}	{50}	MG	1	TABLET
118	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	69	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{18,22.5}	MG	15	ML
119	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	70	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{22.5}	MG	15	ML
120	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	65	INJECTABLE	{INJECTION}	{500}	MG	1	VIAL
121	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	71	GEL	{ORAL,TOPICAL}	{1,10}	MG	1	G
122	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	72	TABLET, COATED	{ORAL}	{100}	MG	1	TABLET
123	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	53	SUPPOSITORY	{RECTAL}	{50}	MG	1	SUPPOSITORY
124	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	73	TABLET	{ORAL}	{25}	MG	1	TABLET
125	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	70	TROCHE/LOZENGE	{ORAL}	{3}	MG	1	LOZENGE
126	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	56	INJECTABLE	{INJECTION}	{0.5}	G	100	ML
127	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	74	SOLUTION	{INJECTION}	{0.1}	MG	1	ML
128	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	TABLET	{ORAL}	{120,125,500}	MG	1	TABLET
129	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	72	TABLET	{ORAL}	{50,100}	MG	1	TABLET
130	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	53	INJECTABLE	"{""INJECTION, AMPOULE""}"	{75}	MG	3	ML
131	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	76	CAPSULE	{ORAL}	{25,50,75,150}	MG	1	CAPSULE
132	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	77	SUPPOSITORY	{RECTAL}	{24,49,59,296}	MG	1	SUPPOSITORY
133	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	70	GEL	{ORAL,TOPICAL}	{3}	G	100	G
134	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	56	GEL	{ORAL,TOPICAL}	{37.5}	G	5	G
135	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	78	TABLET	{ORAL}	{100,300}	MG	1	TABLET
136	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	79	TABLET	{ORAL}	{25,50,67.5,100,135,270}	MG	1	TABLET
137	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	56	INJECTABLE	"{""IV (INFUSION)""}"	{500}	MG	100	ML
138	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	80	TABLET	{ORAL}	{3,6}	MG	1	TABLET
139	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	81	TABLET	{ORAL}	{2.5}	MG	1	TABLET
140	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	82	TABLET	{ORAL}	{200}	MG	1	TABLET
141	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	83	TABLET, COATED	{ORAL}	{10,50}	MG	1	TABLET
142	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	78	TABLET, COATED	{ORAL}	{100,300}	MG	1	TABLET
143	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	84	TABLET	{ORAL}	{10}	MG	1	TABLET
144	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	85	TABLET	{ORAL}	{1}	MG	1	TABLET
145	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	86	TABLET	{ORAL}	{250,500}	MG	1	TABLET
146	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	87	TABLET, COATED	{ORAL}	{5}	MG	1	TABLET
147	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	88	TABLET	{ORAL}	{5}	MG	1	TABLET
148	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	89	POWDER/INJECTABLE	{INJECTION}	{150}	MG	1	VIAL
149	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	90	TABLET	{ORAL}	{40}	MG	1	TABLET
150	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	91	CREAM	{TOPICAL}	{6,9,16}	G	100	G
151	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	92	TABLET, COATED	{ORAL}	{20}	MG	1	TABLET
152	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	82	SYRUP	{ORAL}	{100}	MG	5	ML
153	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	93	CAPSULE	{RECTAL}	{100}	MG	1	CAPSULE
154	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	94	TABLET	{ORAL}	{20,40,60,80,120,240,360,480}	MG	1	TABLET
155	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	91	OINTMENT	{TOPICAL}	{20,30,50}	G	100	G
156	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	95	INJECTABLE	{INJECTION}	{80}	MG	1	ML
157	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	96	TABLET	{ORAL}	{5,15,150}	MG	1	TABLET
158	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	82	TABLET, COATED	{ORAL}	{200,400}	MG	1	TABLET
159	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	97	TABLET	{ORAL}	{100,250,500}	MG	1	TABLET
160	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	93	TABLET	{ORAL}	{50}	MG	1	TABLET
161	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	90	SOLUTION	{INJECTION}	{20}	MG	2	ML
162	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	98	TABLET	{ORAL}	{2,4}	MG	1	TABLET
163	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	99	TABLET	{ORAL}	{5}	MG	1	TABLET
164	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	100	TABLET	{ORAL}	{81,100,300}	MG	1	TABLET
165	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	101	TABLET	{ORAL}	{8,400}	MG	1	TABLET
166	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	SYRUP	{ORAL}	{120}	MG	5	ML
167	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	102	TABLET	{ORAL}	{4,5,10}	MG	1	TABLET
168	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	76	CAPSULE	{ORAL,RECTAL,VAGINAL}	{25,50,100,150}	MG	1	CAPSULE
169	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	90	INJECTABLE	"{""INJECTION, AMPOULE""}"	{10}	MG	1	ML
170	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	103	TABLET	{ORAL}	{100,400}	MG	1	TABLET
171	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	104	TABLET	{ORAL}	{8,16,32}	MG	1	TABLET
172	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	105	TABLET	{ORAL}	{12.5,16,25,32}	MG	1	TABLET
173	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	98	SYRUP	{ORAL}	{2}	MG	5	ML
174	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	106	TABLET, COATED	{ORAL}	{50,100}	MG	1	TABLET
175	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	107	SOLUTION/DROPS	{OPHTHALMIC}	{1}	G	100	ML
176	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	108	TABLET, COATED	{ORAL}	{125,250,375,500,625,875}	MG	1	TABLET
177	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	109	SOLUTION/DROPS	{OTIC}	{5}	G	100	G
178	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	106	TABLET	{ORAL}	{50}	MG	1	TABLET
179	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	110	CAPSULE	{ORAL}	{2.455,15,75,165,349.755}	MG	1	CAPSULE
180	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	111	INHALATION	{INHALATION}	{6,12,100,200,400}	MCG	1	INHALATION
181	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	98	SUSPENSION	{ORAL}	{2}	MG	5	ML
182	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	112	SOLUTION	{INFUSION}	{20,80}	MG	1	ML
183	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{10}	MG	1	ML
184	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	102	TABLET, COATED	{ORAL}	{4,5,10}	MG	1	TABLET
185	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	113	POWDER/INJECTABLE	{INJECTION}	{200,1000}	MG	1	INJECTION
186	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	98	INHALATION	{INHALATION}	{100}	MCG	1	INHALATION
187	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	114	SOLUTION	{INJECTION}	{10}	MG	1	ML
188	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	115	POWDER/INJECTABLE	{INJECTION}	{10,50}	MG	1	INJECTION
189	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	112	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{20,80}	MG	1	ML
190	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	116	INHALATION	{INHALATION}	{25,50,100,125,250,500}	MCG	1	INHALATION
191	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	98	AEROSOL	{INHALATION}	{100}	MCG	1	INHALATION
192	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	117	INJECTABLE	{INJECTION}	{25}	MG	1	ML
193	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	SUSPENSION	{ORAL,INJECTION}	{120,250}	MG	5	ML
