id	created_at	updated_at	trade_name	applicant_name	manufacturer_name	strength_numerators	medication_id	consumable_id
44	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTIFED COLD TABLETS	GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD	GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA;  GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD CAPE TOWN SOUTH AFRICA	{1.25,30}	22	45
45	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACYCLOVIR	MYLAN LAB LTD	MYLAN LAB LTD MAHARASHTRA INDIA	{200}	15	46
86	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	AMOCILLIN	CAPS PVT LTD	CAPS PVT LTD HARARE ZIMBABWE	{250}	33	87
46	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO-WELLCOME OPERATIONS LIVERPOOL UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA	{10}	23	47
47	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ZESTAVAL	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	{200}	24	48
48	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ZIAGEN	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK	{20}	19	49
49	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LTD JEDCHERLA INDIA	{50,300,300}	20	50
50	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE; LAMIVUDINE	SUN PHARMACEUTICAL INDUSTRIES LIMITED	SUN PHARMACEUTICAL INDUSTRIES LIMITED PAONTA SAHIB INDIA	{300,600}	25	51
51	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	NOVACID	PHARMANOVA (PVT) LTD	PHARMANOVA (PVT) LTD HARARE ZIMBABWE	{216}	21	52
52	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACYCLOVIR	MYLAN LAB LTD	MYLAN LAB LTD MAHARASHTRA INDIA	{400}	15	53
53	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTRAPHANE FLEXPEN	NOVO-NORDISK A/S	NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO-NORDISK A/S BAGSVAERD DENMARK	{1001}	26	54
54	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	LAMIVUDINE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	{10}	23	55
55	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	MACLEODS PHARMACEUTICALS LIMITED	MACLEODS PHARMACEUTICALS LIMITED MUMBAI INDIA	{50,300,300}	20	56
56	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTRAPHANE HM (GE)	NOVO NORDISK (PTY) LTD,	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO-NORDISK (PTY) LTD SANDTON SOUTH AFRICA;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PHARMACEUTICAL INDUSTRIES INC CLAYTON USA;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  TEVA PHARMACEUTICAL WORKS PVT LTD GODOLLO HUNGARY	{100}	27	57
57	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	{300}	28	58
58	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTRAPID HM (GE)	NOVO NORDISK (PTY) LTD,	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO-NORDISK (PTY) LTD SANDTON SOUTH AFRICA;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PHARMACEUTICAL INDUSTRIES INC CLAYTON USA;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  TEVA PHARMACEUTICAL WORKS PVT LTD GODOLLO HUNGARY;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL	{100}	29	59
59	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ALOVIR	HETERO LABS LTD	HETERO LABS LTD MAHABOOBNARGAR INDIA	{400}	15	60
60	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	PROTAPHANE FLEXPEN	NOVO-NORDISK A/S	NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO-NORDISK A/S BAGSVAERD DENMARK	{1001}	26	61
61	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	LAMIVUDINE ORAL SOLUTION	AUROBINDO PHARMA LIMITED	AUROBINDO PRADESH INDIA	{10}	23	62
62	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADALAT XL 20	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY	{20}	30	63
63	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	HETERO LABS LTD	HETERO LABS LIMITED HYDARABAD INDIA	{50,300,300}	20	64
64	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	GRAYS NYONGOCID	PHARMANOVA PVT LTD	PHARMANOVA PVT LTD HARARE ZIMBABWE	{216}	31	65
65	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO CIPROFLOXACIN	ADCOCK INGRAM CRITICAL CARE	INFORLIFE S.A. CAMPASCIO SWITZERLAND	{2}	32	66
66	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	APO-ACYCLOVIR	APOTEX INC.	APOTEX INC. TORONTO CANADA	{200}	15	67
67	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADALAT XL 30	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY	{30}	30	68
68	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	SUN PHARMACEUTICAL INDUSTRIES LIMITED	SUN PHARMACEUTICAL INDUSTRIES LIMITED PAONTA SAHIB INDIA	{50,300,300}	20	69
69	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-AMOXYCILLIN	ADCOCK INGRAM LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{125}	33	70
70	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACTRAPID FLEXPEN	NOVO-NORDISK A/S	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL	{100}	34	71
71	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-ATORVASTATIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	{10}	35	72
72	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-CETIRIZINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE;  DELTA LTD HAFNARFJODUR ICELAND	{10}	36	73
73	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CYCLOVAX	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	{200}	15	74
74	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-CIMETIDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAMS SA (PTY) LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{400}	37	75
75	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADALAT XL 60	BAYER (PTY) LTD	BAYER PHARMA AG LEVERKUSEN GERMANY	{60}	30	76
76	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CIPROBAY	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY;  GLAXO-WELLCOME  SOUTH AFRICA	{250}	38	77
77	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	CIPLA LTD	CIPLA LIMITED (GOA UNIT VII) GOA INDIA	{50,300,300}	20	78
78	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CANDID	GLENMARK PHARMACEUTICALS LTD	GLENMARK PHARMACEUTICALS LTD NASIK INDIA	{1}	39	79
79	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	AMOCILLIN	CAPS PVT LTD	CAPS PVT LTD HARARE ZIMBABWE	{125}	33	80
80	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-ATORVASTATIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	{40}	35	81
81	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ALERID-10	CIPLA LTD	CIPLA LTD MUMBAI INDIA	{10}	36	82
82	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	HERPERAX	GRANITESIDE CHEMICALS (PVT) LTD	MICRO LABS LTD HOSUR INDIA	{200}	15	83
83	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-CIMETIDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAMS SA (PTY) LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{200}	37	84
84	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CALCIGARD RETARD	TORRENT PHARMACEUTICALS	TORRENT PHARMACEUTICALS LTD MEHSANA INDIA;  TORRENT PHARM LTD BADDI INDIA	{20}	30	85
85	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CIPROBAY	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY;  GLAXO-WELLCOME  SOUTH AFRICA	{500}	38	86
87	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-DOL	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE;  ADCOCK INGRAM LIMITED BANGALORE INDIA	{5,10,45,450}	40	88
88	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-ATORVASTIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	{20}	35	89
89	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	LAURUS LABS LIMITED	LAURUS LABS LIMITED ANDHRA PRADESH INDIA	{50,300,300}	41	90
90	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CANDID	GLENMARK PHARMACEUTICALS LTD	GLENMARK PHARMACEUTICALS LTD NASIK INDIA	{1}	42	91
91	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ALLERCET	MICRO LABS LTD	MICRO LABS LTD HOSUR INDIA	{10}	36	92
92	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	VIRAMED	PLUS FIVE PHARMACEUTICALS PVT LTD	PLUS FIVE PHARMACEUTICALS PVT LTD HARARE ZIMBABWE	{200}	15	93
93	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ULCERIN 400	PLUS FIVE PHARMACEUTICALS PVT LTD	PLUS FIVE PHARMACEUTICALS PVT LTD HARARE ZIMBABWE	{400}	37	94
94	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	NIFELAT	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	{20}	30	95
95	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	AMOXEN	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{250}	33	96
96	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	BETAPYN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LIMITED BANGALORE INDIA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{5,10,50,450}	40	97
97	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CIPROBAY SUSPENSION	BAYER (PTY) LTD	BAYER HEALTHCARE S.R.L GARBAGNATE MILANESE ITALY	{5}	43	98
98	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ASPAVOR 10	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER PHARMACEUTICALS LLC NORTH OF MOROVIS PUERTO RICO;  PFIZER GMBH KARLSRUHE  GERMANY;  PFIZER PHARMACEUTICALS RINGASKIDDY IRELAND	{10}	35	99
99	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ZYNCET	UNICHEM LABORATORIES LIMITED	UNICHEM LABORATORIES LIMITED BADDI INDIA	{10}	36	100
100	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	VIRATAK	CAPS PVT LTD	CAPS PVT LTD HARARE ZIMBABWE	{200}	15	101
101	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ULCERINE 200	PLUS FIVE PHARMACEUTICALS PVT LTD	PLUS FIVE PHARMACEUTICALS PVT LTD HARARE ZIMBABWE	{200}	37	102
102	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	NIFELAT	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	{10}	30	103
103	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CANDID	GLENMARK PHARMACEUTICALS LTD	GLENMARK PHARMACEUTICALS LTD NASIK INDIA	{1}	44	104
104	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	DOXSYN	MULLER & PHIPPS	PHARMANOVA (PVT) LTD HARARE ZIMBABWE	{5,10,30,450}	40	105
105	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ASPAVOR 20	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER IRELAND PHARMACEUTICALS COBH IRELAND;  PFIZER MANUFACTURING DEUTSCHLAND GMBH FREIBURG GERMANY;  PFIZER PHARMACEUTICALS LLC NORTH OF MOROVIS PUERTO RICO	{20}	35	106
106	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-EFAVIRENZ	ADCOCK INGRAM LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE;  ADCOCK INGRAM LTD GERM SOUTH AFRICA;  ADCOCK INGRAM LTD JOHANNESBURG SOUTH AFRICA	{600}	45	107
107	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ADCO-AMOXYCILLIN	ADCOCK INGRAM LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	{250}	46	108
108	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	VARI-CIMETIDINE	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{200}	37	109
109	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	TYFLOX-500	AJANTA PHARMA	AJANTA PHARMA AURANGABAD INDIA	{500}	47	110
110	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	HISTACET	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{5}	48	111
111	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ACYCLOVIR	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	{200}	49	112
112	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	ASPAVOR 40	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER PHARMACEUTICALS RINGASKIDDY IRELAND	{40}	35	113
113	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	AVIRANZ	SUN PHARMACEUTICAL INDUSTRIES LIMITED	SUN PHARMACEUTICAL INDUSTRIES LIMITED PAONTA SAHIB INDIA;  SUN PHARMACEUTICAL INDUSTRIES LTD DEWAS INDIA	{600}	45	114
114	2024-03-23 12:53:49.884493-04	2024-03-23 12:53:49.884493-04	CANDID	GLENMARK PHARMACEUTICALS LTD	GLENMARK PHARMACEUTICALS LTD BOMBAY INDIA	{1}	50	115
