id	created_at	updated_at	measurement_snomed_concept_id	age_min_days	age_max_days	gender	condition_codes	normal_min	normal_max	critical_min	critical_max	units	reference_source	evidence_level	clinical_context	effective_date	expiration_date	active
7ca2b4c1-0425-40b9-aa21-323958f276ef	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	405176005	4380	18250	female	{11687002}	63	95	40	200	mg/dL	ADA_2025	high	Gestational diabetes fasting target <95 mg/dL; requires multiple daily measurements (ADA 2025)	2025-10-10		t
fa80be45-a5ba-4d16-a791-7c58ad0a3de0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	4380	18250	female	{77386006}	90	139	70	160	mmHg	ACOG_2020	high	Pregnancy systolic BP; Alert: ≥140 mmHg, Urgent: ≥160 mmHg (ACOG Practice Bulletin 222)	2025-10-10		t
cc7c2f5a-dc63-46a1-af4d-0d975842e6a6	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	4380	18250	female	{77386006}	60	89	40	110	mmHg	ACOG_2020	high	Pregnancy diastolic BP; Alert: ≥90 mmHg, Urgent: ≥110 mmHg (ACOG Practice Bulletin 222)	2025-10-10		t
1a7b4ddc-4a4e-420d-a9d8-5a3e5a85017c	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	6935			{38341003}	90	130	70	180	mmHg	AHA_2025	high	Hypertension management target <130 mmHg systolic; home BP monitoring recommended (AHA/ACC 2025)	2025-10-10		t
1705feed-c76c-4c77-bcc1-4f18fe55b3f1	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	6935			{38341003}	60	80	40	120	mmHg	AHA_2025	high	Hypertension management target <80 mmHg diastolic (AHA/ACC 2025)	2025-10-10		t
dc2918ee-3b3d-40d9-b38d-eec1b29ec6e0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271649006	6935			{709044004}	90	120	70	180	mmHg	KDIGO_2021	high	CKD BP target <120 mmHg systolic using standardized office measurement (KDIGO 2021)	2025-10-10		t
a8a8f09f-0df0-42d7-8218-1b9546439c4b	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	271650006	6935			{709044004}	60	80	40	100	mmHg	KDIGO_2021	high	CKD diastolic BP; home BP monitoring recommended (KDIGO 2021)	2025-10-10		t
8f82235b-e6c6-4fd0-bd24-84573e6e5f88	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	103228002	6935			{13645005}	88	92	80		%	GOLD_2025	high	COPD oxygen saturation target 88-92% on supplemental oxygen during exacerbations; <92% off oxygen requires ABG (GOLD 2025)	2025-10-10		t
048b180e-e32b-46f1-92b9-8f7d3527e779	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	43396009	0				4	5.6		15	%	ADA_2025	high	Non-diabetic A1c range; Prediabetes: 5.7-6.4%, Diabetes: ≥6.5% (ADA 2025)	2025-10-10		t
6cf87b3c-7af7-4ee2-a4da-ffd3fe4c178b	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	43396009	0			{46635009,44054006}	4	7		12	%	ADA_2025	high	Type 1 & 2 diabetes A1c target <7% for most nonpregnant adults; <8% for elderly or complicated cases (ADA 2025)	2025-10-10		t
4e3a9d64-1933-44bc-ab3b-44907ae2c914	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	43396009	4380	18250	female	{11687002}	4	6		10	%	ADA_2025	high	Gestational diabetes A1c target <6% in second/third trimesters if achievable without significant hypoglycemia (ADA 2025)	2025-10-10		t
d46caac3-3822-436d-8628-6d2c171a6335	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	698094009	6935				18.5	24.9	12	45	kg/m²	WHO_2023	high	Adult BMI classification per WHO 2023: Underweight <18.5, Normal 18.5-24.9, Overweight 25-29.9, Obese Class I 30-34.9, Class II 35-39.9, Class III ≥40	2025-10-10		t
ad85ab8b-bad1-4aff-a8fa-d0f3eb30c475	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	698094009	1826	6934			14	25	12	35	kg/m²	WHO_2023	high	Pediatric BMI (5-18 years) requires age/sex-specific percentiles for classification; this range captures 5th-95th percentiles (WHO 2023)	2025-10-10		t
cadd4d8c-96c1-447a-9eb1-5e9a72b871b8	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	6797001	6935				70	100	60	120	mmHg	AHA_2025	high	Mean Arterial Pressure (MAP) for adults; MAP <60 indicates inadequate organ perfusion, >100 indicates hypertension risk (AHA 2025)	2025-10-10		t
8306c9ac-32e3-4fb6-b1cd-d2c15bd90174	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	0	28	male		32	38	30	40	cm	WHO_2023	high	Male neonate head circumference (3rd-97th percentile); microcephaly <32cm, macrocephaly >38cm (WHO Child Growth Standards 2023)	2025-10-10		t
37ce0c4e-9a16-47b2-982c-e7e221c5a8dd	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	0	28	female		31.5	37.5	29.5	39.5	cm	WHO_2023	high	Female neonate head circumference (3rd-97th percentile); microcephaly <31.5cm, macrocephaly >37.5cm (WHO Child Growth Standards 2023)	2025-10-10		t
68c9436e-2df3-4f0c-9ba2-c4a5946702ff	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	29	365	male		36	48	34	50	cm	WHO_2023	high	Male infant head circumference 1-12 months (3rd-97th percentile); critical for brain development monitoring (WHO 2023)	2025-10-10		t
4b6a904f-97bb-461d-aec3-bbde0bfcc1e8	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	29	365	female		35	47	33	49	cm	WHO_2023	high	Female infant head circumference 1-12 months (3rd-97th percentile); critical for brain development monitoring (WHO 2023)	2025-10-10		t
85b4db0b-213c-488c-8da1-ef108c87a673	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	366	1095	male		45	52	43	54	cm	WHO_2023	high	Male toddler head circumference 1-3 years (3rd-97th percentile); measured until age 3 per WHO standards	2025-10-10		t
77e9d264-6252-4830-a32f-924ff0dcb0ba	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363812007	366	1095	female		44	51	42	53	cm	WHO_2023	high	Female toddler head circumference 1-3 years (3rd-97th percentile); measured until age 3 per WHO standards	2025-10-10		t
22847c28-5451-4d3a-8190-1e541ba8c3e8	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	284473002	90	1825			12.5	18	11.5		cm	WHO_2023	high	MUAC for malnutrition screening 3 months-5 years: <11.5cm severe acute malnutrition (SAM), 11.5-12.5cm moderate acute malnutrition (MAM), ≥12.5cm normal (WHO 2023)	2025-10-10		t
96cd0030-d9da-46f6-becf-2efa101e75c0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	301851003	90	1825	male		6	12	3	20	mm	WHO_2023	moderate	Male triceps skinfold thickness 3 months-5 years for nutritional assessment; <5th percentile indicates undernutrition (WHO 2023)	2025-10-10		t
6abb1070-117c-424c-8044-122435ae0ca0	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	301851003	90	1825	female		6.5	13	3	20	mm	WHO_2023	moderate	Female triceps skinfold thickness 3 months-5 years for nutritional assessment; <5th percentile indicates undernutrition (WHO 2023)	2025-10-10		t
60afbb61-040d-4b17-a9f4-84abd65d856e	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	0	28	male		2.5	4.5	1.5	6	kg	WHO_2023	high	Male neonate birth weight (3rd-97th percentile); <2.5kg low birth weight, >4.5kg macrosomia (WHO 2023)	2025-10-10		t
e5e122cf-8e22-4aa6-b25a-09f06b9f122d	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	0	28	female		2.4	4.2	1.5	5.5	kg	WHO_2023	high	Female neonate birth weight (3rd-97th percentile); <2.4kg low birth weight, >4.2kg macrosomia (WHO 2023)	2025-10-10		t
1501e534-d041-4455-8ddd-62cee9f85ce3	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	29	365	male		4	12	3	15	kg	WHO_2023	high	Male infant weight 1-12 months (3rd-97th percentile); rapid growth expected, double birth weight by 5 months (WHO 2023)	2025-10-10		t
f1c8ec22-d98d-4e7e-a47b-1fb9c8e4b200	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	29	365	female		3.5	11	2.5	14	kg	WHO_2023	high	Female infant weight 1-12 months (3rd-97th percentile); rapid growth expected (WHO 2023)	2025-10-10		t
561f4312-93b3-4841-b092-da2658a7c96d	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	366	1095	male		9	17	7	22	kg	WHO_2023	high	Male toddler weight 1-3 years (3rd-97th percentile); steady growth ~2kg/year expected (WHO 2023)	2025-10-10		t
72d9d67d-a6e3-4ac2-9c13-32bba62f6542	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	366	1095	female		8.5	16	6.5	20	kg	WHO_2023	high	Female toddler weight 1-3 years (3rd-97th percentile); steady growth expected (WHO 2023)	2025-10-10		t
10d48eb4-665f-4c98-87eb-353e9a5cf381	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	363808001	6935			{84114007}	40	150	30	200	kg	ACC_2022	high	Heart failure daily weight monitoring: Alert for 2-3 lbs (0.9-1.4kg) gain in 1 day or 5+ lbs (2.3kg) in 1 week indicating fluid retention (ACC/AHA/HFSA 2022)	2025-10-10		t
e13aa833-6700-433d-af9f-ff4a8f8fefb6	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	0	28	male		46	54	43	57	cm	WHO_2023	high	"Male neonate birth length (3rd-97th percentile); measured supine as ""length"" until age 2 (WHO 2023)"	2025-10-10		t
4b69c3a7-faa8-43a0-a77e-2b9fcedfbfa6	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	0	28	female		45	53	42	56	cm	WHO_2023	high	"Female neonate birth length (3rd-97th percentile); measured supine as ""length"" until age 2 (WHO 2023)"	2025-10-10		t
09c82be2-38ba-4509-b65b-1dfb68f3c0fe	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	29	365	male		52	80	48	85	cm	WHO_2023	high	Male infant length 1-12 months (3rd-97th percentile); rapid linear growth in first year (WHO 2023)	2025-10-10		t
d2a31324-2bda-4bcf-8afd-09f0fa6b0f8d	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	29	365	female		50	78	46	83	cm	WHO_2023	high	Female infant length 1-12 months (3rd-97th percentile); rapid linear growth in first year (WHO 2023)	2025-10-10		t
0e52ab3a-1a87-401d-8d21-a6dc6f5516fb	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	366	1095	male		75	100	70	110	cm	WHO_2023	high	Male toddler length 1-3 years (3rd-97th percentile); transition to standing height measurement at age 2 (WHO 2023)	2025-10-10		t
c80fd67c-a72d-4995-906d-554b78d9533a	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	366	1095	female		73	98	68	108	cm	WHO_2023	high	Female toddler length 1-3 years (3rd-97th percentile); transition to standing height measurement at age 2 (WHO 2023)	2025-10-10		t
60de22b7-c905-4717-8359-1a6221521862	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	1096	6934	male		95	185	85	200	cm	WHO_2023	high	Male height 3-18 years (3rd-97th percentile); steady growth with adolescent growth spurt; required for BP percentile calculation (WHO 2023, AAP 2017)	2025-10-10		t
d15307e8-728c-4a0b-9a18-654c1c7c3dc6	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	1096	6934	female		94	175	84	190	cm	WHO_2023	high	Female height 3-18 years (3rd-97th percentile); steady growth with adolescent growth spurt; required for BP percentile calculation (WHO 2023, AAP 2017)	2025-10-10		t
7c5f2643-ee54-42be-a001-4e4d1afe7c2c	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	6935		male		150	200	120	230	cm	WHO_2023	high	Adult male height; used for BMI calculation and nutritional assessment (WHO 2023)	2025-10-10		t
a139eb2a-443e-425c-bc0b-6da3ec076a34	2025-10-10 14:57:54.157662+00	2025-10-10 14:57:54.157662+00	1153637007	6935		female		140	185	115	210	cm	WHO_2023	high	Adult female height; used for BMI calculation and nutritional assessment (WHO 2023)	2025-10-10		t
