category	section	description
A88	A80-A89	Other viral infections of central nervous system, not elsewhere classified
A89	A80-A89	Unspecified viral infection of central nervous system
A90	A90-A99	Dengue fever [classical dengue]
A91	A90-A99	Dengue hemorrhagic fever
A92	A90-A99	Other mosquito-borne viral fevers
A93	A90-A99	Other arthropod-borne viral fevers, not elsewhere classified
A94	A90-A99	Unspecified arthropod-borne viral fever
A95	A90-A99	Yellow fever
A96	A90-A99	Arenaviral hemorrhagic fever
A98	A90-A99	Other viral hemorrhagic fevers, not elsewhere classified
A99	A90-A99	Unspecified viral hemorrhagic fever
B00	B00-B09	Herpesviral [herpes simplex] infections
B01	B00-B09	Varicella [chickenpox]
B02	B00-B09	Zoster [herpes zoster]
B03	B00-B09	Smallpox
B04	B00-B09	Monkeypox
B05	B00-B09	Measles
B06	B00-B09	Rubella [German measles]
B07	B00-B09	Viral warts
B08	B00-B09	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
B09	B00-B09	Unspecified viral infection characterized by skin and mucous membrane lesions
B10	B10	Other human herpesviruses
B15	B15-B19	Acute hepatitis A
B16	B15-B19	Acute hepatitis B
B17	B15-B19	Other acute viral hepatitis
B18	B15-B19	Chronic viral hepatitis
B19	B15-B19	Unspecified viral hepatitis
B20	B20	Human immunodeficiency virus [HIV] disease
B25	B25-B34	Cytomegaloviral disease
B26	B25-B34	Mumps
B27	B25-B34	Infectious mononucleosis
B30	B25-B34	Viral conjunctivitis
B33	B25-B34	Other viral diseases, not elsewhere classified
B34	B25-B34	Viral infection of unspecified site
B35	B35-B49	Dermatophytosis
B36	B35-B49	Other superficial mycoses
B37	B35-B49	Candidiasis
B38	B35-B49	Coccidioidomycosis
B39	B35-B49	Histoplasmosis
B40	B35-B49	Blastomycosis
B41	B35-B49	Paracoccidioidomycosis
B42	B35-B49	Sporotrichosis
B43	B35-B49	Chromomycosis and pheomycotic abscess
B44	B35-B49	Aspergillosis
B45	B35-B49	Cryptococcosis
B46	B35-B49	Zygomycosis
B47	B35-B49	Mycetoma
B48	B35-B49	Other mycoses, not elsewhere classified
B49	B35-B49	Unspecified mycosis
B50	B50-B64	Plasmodium falciparum malaria
B51	B50-B64	Plasmodium vivax malaria
B52	B50-B64	Plasmodium malariae malaria
B53	B50-B64	Other specified malaria
B54	B50-B64	Unspecified malaria
B55	B50-B64	Leishmaniasis
B56	B50-B64	African trypanosomiasis
B57	B50-B64	Chagas' disease
B58	B50-B64	Toxoplasmosis
B59	B50-B64	Pneumocystosis
B60	B50-B64	Other protozoal diseases, not elsewhere classified
B64	B50-B64	Unspecified protozoal disease
B65	B65-B83	Schistosomiasis [bilharziasis]
B66	B65-B83	Other fluke infections
B67	B65-B83	Echinococcosis
B68	B65-B83	Taeniasis
B69	B65-B83	Cysticercosis
B70	B65-B83	Diphyllobothriasis and sparganosis
B71	B65-B83	Other cestode infections
B72	B65-B83	Dracunculiasis
B73	B65-B83	Onchocerciasis
B74	B65-B83	Filariasis
B75	B65-B83	Trichinellosis
B76	B65-B83	Hookworm diseases
B77	B65-B83	Ascariasis
B78	B65-B83	Strongyloidiasis
B79	B65-B83	Trichuriasis
B80	B65-B83	Enterobiasis
B81	B65-B83	Other intestinal helminthiases, not elsewhere classified
B82	B65-B83	Unspecified intestinal parasitism
B83	B65-B83	Other helminthiases
B85	B85-B89	Pediculosis and phthiriasis
B86	B85-B89	Scabies
B87	B85-B89	Myiasis
B88	B85-B89	Other infestations
B89	B85-B89	Unspecified parasitic disease
B90	B90-B94	Sequelae of tuberculosis
B91	B90-B94	Sequelae of poliomyelitis
B92	B90-B94	Sequelae of leprosy
B94	B90-B94	Sequelae of other and unspecified infectious and parasitic diseases
B95	B95-B97	Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere
B96	B95-B97	Other bacterial agents as the cause of diseases classified elsewhere
B97	B95-B97	Viral agents as the cause of diseases classified elsewhere
B99	B99	Other and unspecified infectious diseases
C00	C00-C14	Malignant neoplasm of lip
C01	C00-C14	Malignant neoplasm of base of tongue
C02	C00-C14	Malignant neoplasm of other and unspecified parts of tongue
C03	C00-C14	Malignant neoplasm of gum
C04	C00-C14	Malignant neoplasm of floor of mouth
C05	C00-C14	Malignant neoplasm of palate
C06	C00-C14	Malignant neoplasm of other and unspecified parts of mouth
C07	C00-C14	Malignant neoplasm of parotid gland
C08	C00-C14	Malignant neoplasm of other and unspecified major salivary glands
C09	C00-C14	Malignant neoplasm of tonsil
C10	C00-C14	Malignant neoplasm of oropharynx
C11	C00-C14	Malignant neoplasm of nasopharynx
C12	C00-C14	Malignant neoplasm of pyriform sinus
C13	C00-C14	Malignant neoplasm of hypopharynx
C14	C00-C14	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx
C15	C15-C26	Malignant neoplasm of esophagus
C16	C15-C26	Malignant neoplasm of stomach
C17	C15-C26	Malignant neoplasm of small intestine
C18	C15-C26	Malignant neoplasm of colon
C19	C15-C26	Malignant neoplasm of rectosigmoid junction
C20	C15-C26	Malignant neoplasm of rectum
C21	C15-C26	Malignant neoplasm of anus and anal canal
C22	C15-C26	Malignant neoplasm of liver and intrahepatic bile ducts
C23	C15-C26	Malignant neoplasm of gallbladder
C24	C15-C26	Malignant neoplasm of other and unspecified parts of biliary tract
C25	C15-C26	Malignant neoplasm of pancreas
C26	C15-C26	Malignant neoplasm of other and ill-defined digestive organs
C30	C30-C39	Malignant neoplasm of nasal cavity and middle ear
C31	C30-C39	Malignant neoplasm of accessory sinuses
C32	C30-C39	Malignant neoplasm of larynx
C33	C30-C39	Malignant neoplasm of trachea
C34	C30-C39	Malignant neoplasm of bronchus and lung
C37	C30-C39	Malignant neoplasm of thymus
C38	C30-C39	Malignant neoplasm of heart, mediastinum and pleura
C39	C30-C39	Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40	C40-C41	Malignant neoplasm of bone and articular cartilage of limbs
C41	C40-C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43	C43-C44	Malignant melanoma of skin
C4A	C43-C44	Merkel cell carcinoma
C44	C43-C44	Other and unspecified malignant neoplasm of skin
C45	C45-C49	Mesothelioma
C46	C45-C49	Kaposi's sarcoma
C47	C45-C49	Malignant neoplasm of peripheral nerves and autonomic nervous system
C48	C45-C49	Malignant neoplasm of retroperitoneum and peritoneum
C49	C45-C49	Malignant neoplasm of other connective and soft tissue
C50	C50	Malignant neoplasm of breast
C51	C51-C58	Malignant neoplasm of vulva
C52	C51-C58	Malignant neoplasm of vagina
C53	C51-C58	Malignant neoplasm of cervix uteri
C54	C51-C58	Malignant neoplasm of corpus uteri
C55	C51-C58	Malignant neoplasm of uterus, part unspecified
C56	C51-C58	Malignant neoplasm of ovary
C57	C51-C58	Malignant neoplasm of other and unspecified female genital organs
C58	C51-C58	Malignant neoplasm of placenta
C60	C60-C63	Malignant neoplasm of penis
C61	C60-C63	Malignant neoplasm of prostate
C62	C60-C63	Malignant neoplasm of testis
C63	C60-C63	Malignant neoplasm of other and unspecified male genital organs
C64	C64-C68	Malignant neoplasm of kidney, except renal pelvis
C65	C64-C68	Malignant neoplasm of renal pelvis
C66	C64-C68	Malignant neoplasm of ureter
C67	C64-C68	Malignant neoplasm of bladder
C68	C64-C68	Malignant neoplasm of other and unspecified urinary organs
C69	C69-C72	Malignant neoplasm of eye and adnexa
C70	C69-C72	Malignant neoplasm of meninges
C71	C69-C72	Malignant neoplasm of brain
C72	C69-C72	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system
C73	C73-C75	Malignant neoplasm of thyroid gland
C74	C73-C75	Malignant neoplasm of adrenal gland
C75	C73-C75	Malignant neoplasm of other endocrine glands and related structures
C7A	C7A	Malignant neuroendocrine tumors
C7B	C7B	Secondary neuroendocrine tumors
C76	C76-C80	Malignant neoplasm of other and ill-defined sites
C77	C76-C80	Secondary and unspecified malignant neoplasm of lymph nodes
C78	C76-C80	Secondary malignant neoplasm of respiratory and digestive organs
C79	C76-C80	Secondary malignant neoplasm of other and unspecified sites
C80	C76-C80	Malignant neoplasm without specification of site
C81	C81-C96	Hodgkin lymphoma
C82	C81-C96	Follicular lymphoma
C83	C81-C96	Non-follicular lymphoma
C84	C81-C96	Mature T/NK-cell lymphomas
C85	C81-C96	Other specified and unspecified types of non-Hodgkin lymphoma
C86	C81-C96	Other specified types of T/NK-cell lymphoma
C88	C81-C96	Malignant immunoproliferative diseases and certain other B-cell lymphomas
C90	C81-C96	Multiple myeloma and malignant plasma cell neoplasms
C91	C81-C96	Lymphoid leukemia
C92	C81-C96	Myeloid leukemia
C93	C81-C96	Monocytic leukemia
C94	C81-C96	Other leukemias of specified cell type
C95	C81-C96	Leukemia of unspecified cell type
C96	C81-C96	Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue
D00	D00-D09	Carcinoma in situ of oral cavity, esophagus and stomach
D01	D00-D09	Carcinoma in situ of other and unspecified digestive organs
D02	D00-D09	Carcinoma in situ of middle ear and respiratory system
D03	D00-D09	Melanoma in situ
D04	D00-D09	Carcinoma in situ of skin
D05	D00-D09	Carcinoma in situ of breast
D06	D00-D09	Carcinoma in situ of cervix uteri
D07	D00-D09	Carcinoma in situ of other and unspecified genital organs
D09	D00-D09	Carcinoma in situ of other and unspecified sites
D10	D10-D36	Benign neoplasm of mouth and pharynx
D11	D10-D36	Benign neoplasm of major salivary glands
D12	D10-D36	Benign neoplasm of colon, rectum, anus and anal canal
D13	D10-D36	Benign neoplasm of other and ill-defined parts of digestive system
D14	D10-D36	Benign neoplasm of middle ear and respiratory system
D15	D10-D36	Benign neoplasm of other and unspecified intrathoracic organs
D16	D10-D36	Benign neoplasm of bone and articular cartilage
D17	D10-D36	Benign lipomatous neoplasm
D18	D10-D36	Hemangioma and lymphangioma, any site
D19	D10-D36	Benign neoplasm of mesothelial tissue
D20	D10-D36	Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21	D10-D36	Other benign neoplasms of connective and other soft tissue
D22	D10-D36	Melanocytic nevi
D23	D10-D36	Other benign neoplasms of skin
D24	D10-D36	Benign neoplasm of breast
D25	D10-D36	Leiomyoma of uterus
D26	D10-D36	Other benign neoplasms of uterus
D27	D10-D36	Benign neoplasm of ovary
D28	D10-D36	Benign neoplasm of other and unspecified female genital organs
D29	D10-D36	Benign neoplasm of male genital organs
D30	D10-D36	Benign neoplasm of urinary organs
D31	D10-D36	Benign neoplasm of eye and adnexa
D32	D10-D36	Benign neoplasm of meninges
D33	D10-D36	Benign neoplasm of brain and other parts of central nervous system
D34	D10-D36	Benign neoplasm of thyroid gland
D35	D10-D36	Benign neoplasm of other and unspecified endocrine glands
D36	D10-D36	Benign neoplasm of other and unspecified sites
D3A	D3A	Benign neuroendocrine tumors
D37	D37-D48	Neoplasm of uncertain behavior of oral cavity and digestive organs
D38	D37-D48	Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D39	D37-D48	Neoplasm of uncertain behavior of female genital organs
D40	D37-D48	Neoplasm of uncertain behavior of male genital organs
D41	D37-D48	Neoplasm of uncertain behavior of urinary organs
D42	D37-D48	Neoplasm of uncertain behavior of meninges
D43	D37-D48	Neoplasm of uncertain behavior of brain and central nervous system
D44	D37-D48	Neoplasm of uncertain behavior of endocrine glands
D45	D37-D48	Polycythemia vera
D46	D37-D48	Myelodysplastic syndromes
D47	D37-D48	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue
D48	D37-D48	Neoplasm of uncertain behavior of other and unspecified sites
D49	D49	Neoplasms of unspecified behavior
D50	D50-D53	Iron deficiency anemia
D51	D50-D53	Vitamin B12 deficiency anemia
D52	D50-D53	Folate deficiency anemia
D53	D50-D53	Other nutritional anemias
D55	D55-D59	Anemia due to enzyme disorders
D56	D55-D59	Thalassemia
D57	D55-D59	Sickle-cell disorders
D58	D55-D59	Other hereditary hemolytic anemias
D59	D55-D59	Acquired hemolytic anemia
D60	D60-D64	Acquired pure red cell aplasia [erythroblastopenia]
D61	D60-D64	Other aplastic anemias and other bone marrow failure syndromes
D62	D60-D64	Acute posthemorrhagic anemia
D63	D60-D64	Anemia in chronic diseases classified elsewhere
D64	D60-D64	Other anemias
D65	D65-D69	Disseminated intravascular coagulation [defibrination syndrome]
D66	D65-D69	Hereditary factor VIII deficiency
D67	D65-D69	Hereditary factor IX deficiency
D68	D65-D69	Other coagulation defects
D69	D65-D69	Purpura and other hemorrhagic conditions
D70	D70-D77	Neutropenia
D71	D70-D77	Functional disorders of polymorphonuclear neutrophils
D72	D70-D77	Other disorders of white blood cells
D73	D70-D77	Diseases of spleen
D74	D70-D77	Methemoglobinemia
D75	D70-D77	Other and unspecified diseases of blood and blood-forming organs
D76	D70-D77	Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D77	D70-D77	Other disorders of blood and blood-forming organs in diseases classified elsewhere
D78	D78	Intraoperative and postprocedural complications of the spleen
D80	D80-D89	Immunodeficiency with predominantly antibody defects
D81	D80-D89	Combined immunodeficiencies
D82	D80-D89	Immunodeficiency associated with other major defects
D83	D80-D89	Common variable immunodeficiency
D84	D80-D89	Other immunodeficiencies
D86	D80-D89	Sarcoidosis
D89	D80-D89	Other disorders involving the immune mechanism, not elsewhere classified
E00	E00-E07	Congenital iodine-deficiency syndrome
E01	E00-E07	Iodine-deficiency related thyroid disorders and allied conditions
E02	E00-E07	Subclinical iodine-deficiency hypothyroidism
E03	E00-E07	Other hypothyroidism
E04	E00-E07	Other nontoxic goiter
E05	E00-E07	Thyrotoxicosis [hyperthyroidism]
E06	E00-E07	Thyroiditis
E07	E00-E07	Other disorders of thyroid
E08	E08-E13	Diabetes mellitus due to underlying condition
E09	E08-E13	Drug or chemical induced diabetes mellitus
E10	E08-E13	Type 1 diabetes mellitus
E11	E08-E13	Type 2 diabetes mellitus
E13	E08-E13	Other specified diabetes mellitus
E15	E15-E16	Nondiabetic hypoglycemic coma
E16	E15-E16	Other disorders of pancreatic internal secretion
E20	E20-E35	Hypoparathyroidism
E21	E20-E35	Hyperparathyroidism and other disorders of parathyroid gland
E22	E20-E35	Hyperfunction of pituitary gland
E23	E20-E35	Hypofunction and other disorders of the pituitary gland
E24	E20-E35	Cushing's syndrome
E25	E20-E35	Adrenogenital disorders
E26	E20-E35	Hyperaldosteronism
E27	E20-E35	Other disorders of adrenal gland
E28	E20-E35	Ovarian dysfunction
E29	E20-E35	Testicular dysfunction
E30	E20-E35	Disorders of puberty, not elsewhere classified
E31	E20-E35	Polyglandular dysfunction
E32	E20-E35	Diseases of thymus
E34	E20-E35	Other endocrine disorders
E35	E20-E35	Disorders of endocrine glands in diseases classified elsewhere
E36	E36	Intraoperative complications of endocrine system
E40	E40-E46	Kwashiorkor
E41	E40-E46	Nutritional marasmus
E42	E40-E46	Marasmic kwashiorkor
E43	E40-E46	Unspecified severe protein-calorie malnutrition
E44	E40-E46	Protein-calorie malnutrition of moderate and mild degree
E45	E40-E46	Retarded development following protein-calorie malnutrition
E46	E40-E46	Unspecified protein-calorie malnutrition
E50	E50-E64	Vitamin A deficiency
E51	E50-E64	Thiamine deficiency
E52	E50-E64	Niacin deficiency [pellagra]
E53	E50-E64	Deficiency of other B group vitamins
E54	E50-E64	Ascorbic acid deficiency
E55	E50-E64	Vitamin D deficiency
E56	E50-E64	Other vitamin deficiencies
E58	E50-E64	Dietary calcium deficiency
E59	E50-E64	Dietary selenium deficiency
E60	E50-E64	Dietary zinc deficiency
E61	E50-E64	Deficiency of other nutrient elements
E63	E50-E64	Other nutritional deficiencies
E64	E50-E64	Sequelae of malnutrition and other nutritional deficiencies
E65	E65-E68	Localized adiposity
E66	E65-E68	Overweight and obesity
E67	E65-E68	Other hyperalimentation
E68	E65-E68	Sequelae of hyperalimentation
E70	E70-E88	Disorders of aromatic amino-acid metabolism
E71	E70-E88	Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E72	E70-E88	Other disorders of amino-acid metabolism
E73	E70-E88	Lactose intolerance
E74	E70-E88	Other disorders of carbohydrate metabolism
E75	E70-E88	Disorders of sphingolipid metabolism and other lipid storage disorders
E76	E70-E88	Disorders of glycosaminoglycan metabolism
E77	E70-E88	Disorders of glycoprotein metabolism
E78	E70-E88	Disorders of lipoprotein metabolism and other lipidemias
E79	E70-E88	Disorders of purine and pyrimidine metabolism
E80	E70-E88	Disorders of porphyrin and bilirubin metabolism
E83	E70-E88	Disorders of mineral metabolism
E84	E70-E88	Cystic fibrosis
E85	E70-E88	Amyloidosis
E86	E70-E88	Volume depletion
E87	E70-E88	Other disorders of fluid, electrolyte and acid-base balance
E88	E70-E88	Other and unspecified metabolic disorders
E89	E89	Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified
F01	F01-F09	Vascular dementia
F02	F01-F09	Dementia in other diseases classified elsewhere
F03	F01-F09	Unspecified dementia
F04	F01-F09	Amnestic disorder due to known physiological condition
F05	F01-F09	Delirium due to known physiological condition
F06	F01-F09	Other mental disorders due to known physiological condition
F07	F01-F09	Personality and behavioral disorders due to known physiological condition
F09	F01-F09	Unspecified mental disorder due to known physiological condition
F10	F10-F19	Alcohol related disorders
F11	F10-F19	Opioid related disorders
F12	F10-F19	Cannabis related disorders
F13	F10-F19	Sedative, hypnotic, or anxiolytic related disorders
F14	F10-F19	Cocaine related disorders
F15	F10-F19	Other stimulant related disorders
F16	F10-F19	Hallucinogen related disorders
F17	F10-F19	Nicotine dependence
F18	F10-F19	Inhalant related disorders
F19	F10-F19	Other psychoactive substance related disorders
F20	F20-F29	Schizophrenia
F21	F20-F29	Schizotypal disorder
F22	F20-F29	Delusional disorders
F23	F20-F29	Brief psychotic disorder
F24	F20-F29	Shared psychotic disorder
F25	F20-F29	Schizoaffective disorders
F28	F20-F29	Other psychotic disorder not due to a substance or known physiological condition
F29	F20-F29	Unspecified psychosis not due to a substance or known physiological condition
F30	F30-F39	Manic episode
F31	F30-F39	Bipolar disorder
F32	F30-F39	Depressive episode
F33	F30-F39	Major depressive disorder, recurrent
F34	F30-F39	Persistent mood [affective] disorders
F39	F30-F39	Unspecified mood [affective] disorder
F40	F40-F48	Phobic anxiety disorders
F41	F40-F48	Other anxiety disorders
F42	F40-F48	Obsessive-compulsive disorder
F43	F40-F48	Reaction to severe stress, and adjustment disorders
F44	F40-F48	Dissociative and conversion disorders
F45	F40-F48	Somatoform disorders
F48	F40-F48	Other nonpsychotic mental disorders
F50	F50-F59	Eating disorders
F51	F50-F59	Sleep disorders not due to a substance or known physiological condition
F52	F50-F59	Sexual dysfunction not due to a substance or known physiological condition
F53	F50-F59	Mental and behavioral disorders associated with the puerperium, not elsewhere classified
F54	F50-F59	Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55	F50-F59	Abuse of non-psychoactive substances
F59	F50-F59	Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F60	F60-F69	Specific personality disorders
F63	F60-F69	Impulse disorders
F64	F60-F69	Gender identity disorders
F65	F60-F69	Paraphilias
F66	F60-F69	Other sexual disorders
F68	F60-F69	Other disorders of adult personality and behavior
F69	F60-F69	Unspecified disorder of adult personality and behavior
F70	F70-F79	Mild intellectual disabilities
F71	F70-F79	Moderate intellectual disabilities
F72	F70-F79	Severe intellectual disabilities
F73	F70-F79	Profound intellectual disabilities
F78	F70-F79	Other intellectual disabilities
F79	F70-F79	Unspecified intellectual disabilities
F80	F80-F89	Specific developmental disorders of speech and language
F81	F80-F89	Specific developmental disorders of scholastic skills
F82	F80-F89	Specific developmental disorder of motor function
F84	F80-F89	Pervasive developmental disorders
F88	F80-F89	Other disorders of psychological development
F89	F80-F89	Unspecified disorder of psychological development
F90	F90-F98	Attention-deficit hyperactivity disorders
F91	F90-F98	Conduct disorders
F93	F90-F98	Emotional disorders with onset specific to childhood
F94	F90-F98	Disorders of social functioning with onset specific to childhood and adolescence
F95	F90-F98	Tic disorder
F98	F90-F98	Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99	F99	Mental disorder, not otherwise specified
G00	G00-G09	Bacterial meningitis, not elsewhere classified
G01	G00-G09	Meningitis in bacterial diseases classified elsewhere
G02	G00-G09	Meningitis in other infectious and parasitic diseases classified elsewhere
G03	G00-G09	Meningitis due to other and unspecified causes
G04	G00-G09	Encephalitis, myelitis and encephalomyelitis
G05	G00-G09	Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere
G06	G00-G09	Intracranial and intraspinal abscess and granuloma
G07	G00-G09	Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08	G00-G09	Intracranial and intraspinal phlebitis and thrombophlebitis
G09	G00-G09	Sequelae of inflammatory diseases of central nervous system
G10	G10-G14	Huntington's disease
G11	G10-G14	Hereditary ataxia
G12	G10-G14	Spinal muscular atrophy and related syndromes
G13	G10-G14	Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G14	G10-G14	Postpolio syndrome
G20	G20-G26	Parkinson's disease
G21	G20-G26	Secondary parkinsonism
G23	G20-G26	Other degenerative diseases of basal ganglia
G24	G20-G26	Dystonia
G25	G20-G26	Other extrapyramidal and movement disorders
G26	G20-G26	Extrapyramidal and movement disorders in diseases classified elsewhere
G30	G30-G32	Alzheimer's disease
G31	G30-G32	Other degenerative diseases of nervous system, not elsewhere classified
G32	G30-G32	Other degenerative disorders of nervous system in diseases classified elsewhere
G35	G35-G37	Multiple sclerosis
G36	G35-G37	Other acute disseminated demyelination
G37	G35-G37	Other demyelinating diseases of central nervous system
G40	G40-G47	Epilepsy and recurrent seizures
G43	G40-G47	Migraine
G44	G40-G47	Other headache syndromes
G45	G40-G47	Transient cerebral ischemic attacks and related syndromes
G46	G40-G47	Vascular syndromes of brain in cerebrovascular diseases
G47	G40-G47	Sleep disorders
G50	G50-G59	Disorders of trigeminal nerve
G51	G50-G59	Facial nerve disorders
G52	G50-G59	Disorders of other cranial nerves
G53	G50-G59	Cranial nerve disorders in diseases classified elsewhere
G54	G50-G59	Nerve root and plexus disorders
G55	G50-G59	Nerve root and plexus compressions in diseases classified elsewhere
G56	G50-G59	Mononeuropathies of upper limb
G57	G50-G59	Mononeuropathies of lower limb
G58	G50-G59	Other mononeuropathies
G59	G50-G59	Mononeuropathy in diseases classified elsewhere
G60	G60-G65	Hereditary and idiopathic neuropathy
G61	G60-G65	Inflammatory polyneuropathy
G62	G60-G65	Other and unspecified polyneuropathies
G63	G60-G65	Polyneuropathy in diseases classified elsewhere
G64	G60-G65	Other disorders of peripheral nervous system
G65	G60-G65	Sequelae of inflammatory and toxic polyneuropathies
G70	G70-G73	Myasthenia gravis and other myoneural disorders
G71	G70-G73	Primary disorders of muscles
G72	G70-G73	Other and unspecified myopathies
G73	G70-G73	Disorders of myoneural junction and muscle in diseases classified elsewhere
G80	G80-G83	Cerebral palsy
G81	G80-G83	Hemiplegia and hemiparesis
G82	G80-G83	Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G83	G80-G83	Other paralytic syndromes
G89	G89-G99	Pain, not elsewhere classified
G90	G89-G99	Disorders of autonomic nervous system
G91	G89-G99	Hydrocephalus
G92	G89-G99	Toxic encephalopathy
G93	G89-G99	Other disorders of brain
G94	G89-G99	Other disorders of brain in diseases classified elsewhere
G95	G89-G99	Other and unspecified diseases of spinal cord
G96	G89-G99	Other disorders of central nervous system
G97	G89-G99	Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified
G98	G89-G99	Other disorders of nervous system not elsewhere classified
G99	G89-G99	Other disorders of nervous system in diseases classified elsewhere
H00	H00-H05	Hordeolum and chalazion
H01	H00-H05	Other inflammation of eyelid
H02	H00-H05	Other disorders of eyelid
H04	H00-H05	Disorders of lacrimal system
H05	H00-H05	Disorders of orbit
H10	H10-H11	Conjunctivitis
H11	H10-H11	Other disorders of conjunctiva
H15	H15-H22	Disorders of sclera
H16	H15-H22	Keratitis
H17	H15-H22	Corneal scars and opacities
H18	H15-H22	Other disorders of cornea
H20	H15-H22	Iridocyclitis
H21	H15-H22	Other disorders of iris and ciliary body
H22	H15-H22	Disorders of iris and ciliary body in diseases classified elsewhere
H25	H25-H28	Age-related cataract
H26	H25-H28	Other cataract
H27	H25-H28	Other disorders of lens
H28	H25-H28	Cataract in diseases classified elsewhere
H30	H30-H36	Chorioretinal inflammation
H31	H30-H36	Other disorders of choroid
H32	H30-H36	Chorioretinal disorders in diseases classified elsewhere
H33	H30-H36	Retinal detachments and breaks
H34	H30-H36	Retinal vascular occlusions
H35	H30-H36	Other retinal disorders
H36	H30-H36	Retinal disorders in diseases classified elsewhere
H40	H40-H42	Glaucoma
H42	H40-H42	Glaucoma in diseases classified elsewhere
H43	H43-H44	Disorders of vitreous body
H44	H43-H44	Disorders of globe
H46	H46-H47	Optic neuritis
H47	H46-H47	Other disorders of optic [2nd] nerve and visual pathways
H49	H49-H52	Paralytic strabismus
