id	created_at	updated_at	trade_name	applicant_name	manufacturer_name	medication_id	strength_numerators
6faa76e0-a819-4d13-bb36-6a3335e92d30	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE	CAPS PVT LTD	""	44d79aa1-5d71-47c2-af16-57bb7357b5de	{150}
e07fbed2-a826-4fe2-8d8a-6b8e95283bac	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ZIAGEN	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK;  GLAXOSMITHKLINE PHARMACEUTICALS POZNAN POLAND	61e0b011-59d9-493d-a313-cbb730cef41f	{300}
5ffd1c3e-e288-4365-b4a0-e844dbaac383	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACCUMAX CO 20/12.5	PHARMACIA SOUTH AFRICA PTY LTD	PFIZER MANUFACTURING DEUTSCHLAND GMBH FREIBURG GERMANY	9d11bc58-066c-4499-b510-cb50ca739cd3	{12.5,20}
8468e111-a461-46b8-b551-9a8a58f972e6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABISART HCTZ	MYLAN PHARMACEUTICALS PVT LTD	AIZANT DRUG RESEARCH SOLUTIONS PVT LTD HYDERABAD INDIA	5d942c50-a9b2-4be0-89e7-bfdb658c833c	{25,300}
1896f9ae-8864-4429-8d94-e2dff57510aa	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LIMITED HYDERABAD 	1c0fa420-c11d-4fc8-9395-e7a1b8af6ddf	{300,600}
6f35913b-3ed9-4db8-8542-7ecabbe44309	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	22f013ce-7551-496a-a0a8-9f71afb66cd7	{300,600}
7e2bd9da-a971-4b82-b299-75ea924f9076	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ZENTEL	GLAXOSMITHKLINE S.A (PTY) LTD	GLAXOSMITHKLINE CONSUMER HEALTHCARE S.A. (PTY) LTD CAPE TOWN SOUTH AFRICA	7e6703bd-047d-4463-91d4-3947874f8a16	{400}
d0a61f72-c420-4fa3-b0ee-3595eb05fe33	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	APO-ACETAZOLAMIDE	APOTEX INC.	APOTEX INC. TORONTO CANADA	d5f8af1e-9132-4ed6-b13b-03c18e91214f	{250}
875877da-7849-4867-bc0a-f9eb38b3283d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACOVIR	HETERO LABS LTD	HETERO LABS LTD MAHABOOBNARGAR INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{800}
4f9340d3-cc1d-442b-aec0-d699003b6621	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACLOTAS	INTAS PHARMACEUTICALS LTD	INTAS PHARMACEUTICALS LTD AHMEDABAD INDIA	827be4df-5151-4bc8-8bb6-5bd6a06e3b5c	{100}
2185def9-a42e-4b54-a940-8ca35207300a	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	44d79aa1-5d71-47c2-af16-57bb7357b5de	{150}
1607fe48-e38d-4cb1-8937-cbb61fae05a6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	2eb94bb8-c2f1-4841-b29c-1e1b83e06902	{20}
bf2fb48d-02d5-464d-b832-ed6631852beb	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACYCLOVIR	VARICHEM PHARMACEUTICALS (PVT) LTD	VARICHEM PHARMACEUTICALS (PVT) LTD HARARE ZIMBABWE	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
aab82201-e2d9-4c68-8f80-eb4493a68632	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	IRBIS-HT	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	5d942c50-a9b2-4be0-89e7-bfdb658c833c	{12.5,150}
3b9ef510-cf5f-4258-af97-c0d742e71d6e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ZESTAVAL	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	10e333aa-59fd-4485-8616-eab989a8b277	{200}
770ebb5d-36b5-40c0-be6b-9d4a072eba51	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULFATE; LAMIVUDINE	AUROBINDO PHARMA LIMITED	AURO BINDO PHARMA LTD  INDIA	1c0fa420-c11d-4fc8-9395-e7a1b8af6ddf	{30,60}
e492626b-2261-4f29-9da5-dc7f87554d8d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	REFPAIN PLAIN	COSPHARM INVESTMENTS (PTY) LTD	ACME FORMULATION PVT LTD SOLAN INDIA	827be4df-5151-4bc8-8bb6-5bd6a06e3b5c	{100}
0736ea3b-7338-4f16-b0d7-61e001995ee9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACRIPTEGA	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LIMITED HYDERABAD - 500034 INDIA	ce24234c-914a-4630-9314-92fad2d7d133	{50,300,300}
226abcb7-5256-4603-b39c-a07151d31bf9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTAN	DATLABS PRIVATE LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	2961592b-0169-4d18-97c7-2545cfad7545	{360}
9b0401e8-370e-409f-a0bf-4fe9fabba174	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO-WELLCOME OPERATIONS LIVERPOOL UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA	a2272e4d-4951-48d7-a934-020e69c97111	{10}
eb455bc7-a70a-4c65-a373-2efdde0fbfa4	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ZIAGEN	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK	2eb94bb8-c2f1-4841-b29c-1e1b83e06902	{20}
a9c016ba-6e5c-41a3-a46a-9ba09d34efff	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTIFED COLD TABLETS	GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD	GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA;  GLAXOSMITHKLINE SOUTH AFRICA (PTY) LTD CAPE TOWN SOUTH AFRICA	b3c92eb4-6efd-4b9a-ad45-e10d5f8b26d6	{1.25,30}
44e35054-909f-47ab-9625-beefb5a1adda	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACYCLOVIR	MYLAN LAB LTD	MYLAN LAB LTD MAHARASHTRA INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
ddf211d3-c633-41e7-8675-c684bdcd8efb	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	NOVACID	PHARMANOVA (PVT) LTD	PHARMANOVA (PVT) LTD HARARE ZIMBABWE	2961592b-0169-4d18-97c7-2545cfad7545	{216}
851366c6-3c43-4f32-accc-2d52a6c628cd	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	IRBIS-HT	HETERO LABS LTD	HETERO LABS LTD, ANDHRA PRADESH INDIA	5d942c50-a9b2-4be0-89e7-bfdb658c833c	{12.5,300}
a363ba44-c100-4154-92e6-442edb9ba6e4	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	a2272e4d-4951-48d7-a934-020e69c97111	{10}
23a3b6fd-05e2-4a62-b9d0-f855cea142f7	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTRAPHANE FLEXPEN	NOVO-NORDISK A/S	NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO-NORDISK A/S BAGSVAERD DENMARK	fd2ee5c9-5c87-4057-b136-0b78676aec57	{1001}
5e6c534d-8cae-402f-8801-d306cbb77c83	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE	CIPLA LTD	CIPLA LTD MAHAD INDIA;  CIPLA LIMITED (GOA UNIT VII) GOA INDIA	1c0fa420-c11d-4fc8-9395-e7a1b8af6ddf	{300,600}
4a84a9b3-14cf-426b-a076-023ad1df4a24	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTRAPHANE HM (GE)	NOVO NORDISK (PTY) LTD,	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO-NORDISK (PTY) LTD SANDTON SOUTH AFRICA;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PHARMACEUTICAL INDUSTRIES INC CLAYTON USA;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  TEVA PHARMACEUTICAL WORKS PVT LTD GODOLLO HUNGARY	91f0f116-9a09-4e4d-842b-9d6ab603437c	{100}
639d8e38-9cd3-4555-bbfc-56d2c0ea7c1b	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE	HETERO LABS LTD	HETERO DRUGS LTD JADCHERLA INDIA	8aeaff4e-582f-4b74-97dc-d8196762e7d0	{300}
41263ed9-4eb7-43a2-8b77-985db819e653	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACYCLOVIR	MYLAN LAB LTD	MYLAN LAB LTD MAHARASHTRA INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{400}
8c4b7107-ecc1-4e7a-b4bc-c5c706ef9981	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LTD JEDCHERLA INDIA	ce24234c-914a-4630-9314-92fad2d7d133	{50,300,300}
f169ee47-38e0-4043-8c05-95a9a555b7e6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	LAMIVUDINE ORAL SOLUTION	AUROBINDO PHARMA LIMITED	AUROBINDO PRADESH INDIA	a2272e4d-4951-48d7-a934-020e69c97111	{10}
85725ab9-b373-432f-ac82-2d6566de436d	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	PROTAPHANE FLEXPEN	NOVO-NORDISK A/S	NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO-NORDISK A/S BAGSVAERD DENMARK	fd2ee5c9-5c87-4057-b136-0b78676aec57	{1001}
f885740e-bb63-47e0-a855-01211cb7fbd5	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTRAPID HM (GE)	NOVO NORDISK (PTY) LTD,	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO-NORDISK (PTY) LTD SANDTON SOUTH AFRICA;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PHARMACEUTICAL INDUSTRIES INC CLAYTON USA;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  TEVA PHARMACEUTICAL WORKS PVT LTD GODOLLO HUNGARY;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL	ee778e6a-8b67-421e-9293-0ee726b09d4d	{100}
34017280-3dce-45b9-8d0e-49a496ac4700	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	GRAYS NYONGOCID	PHARMANOVA PVT LTD	PHARMANOVA PVT LTD HARARE ZIMBABWE	2cf6ac2d-2a21-4c59-9ecd-3cd1845369ad	{216}
77a908ce-6151-4efd-a9e0-102d4fea8128	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ALOVIR	HETERO LABS LTD	HETERO LABS LTD MAHABOOBNARGAR INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{400}
37406f18-50da-4aec-9d95-8852ce62eb62	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADALAT XL 20	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY	9dbc4ba6-9b2e-457f-bcb2-82f3bc3b55c3	{20}
6bba2d59-13bf-4bb5-adfb-cddd63a70904	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE	SUN PHARMACEUTICAL INDUSTRIES LIMITED	SUN PHARMACEUTICAL INDUSTRIES LIMITED PAONTA SAHIB INDIA	089673d6-36c4-4450-bca8-670c0c6dda82	{300,600}
f4484560-3a64-4c17-bdfa-da31ba136486	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO CIPROFLOXACIN	ADCOCK INGRAM CRITICAL CARE	INFORLIFE S.A. CAMPASCIO SWITZERLAND	d39070e4-87e6-4c24-90c0-796fe40bfa27	{2}
8c19ab22-53e7-430b-9718-fd8b2b822fdf	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-AMOXYCILLIN	ADCOCK INGRAM LIMITED	DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	1d0eff28-6456-49be-b6e4-a23deef1f552	{125}
e1b92f18-eecc-4ddb-94d4-96400ad8284e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ACTRAPID FLEXPEN	NOVO-NORDISK A/S	NOVO-NORDISK A/S BAGSVAERD DENMARK;  NOVO NORDISK  A/S HILLEROED DENMARK;  NOVO NORDISK A/S  DENMARK;  NOVO NORDISK PHARMACEUTIQUE  FRANCE;  NOVO NORDISK PRODUCAO MONTE CLAROS MINAS GERAIS  BRAZIL	b239d583-db58-4672-8205-73d744ebc124	{100}
2a56a82d-7a31-453a-92e1-0cca52362f6b	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	APO-ACYCLOVIR	APOTEX INC.	APOTEX INC. TORONTO CANADA	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
1177f444-15f1-446d-99c7-0c6f4b61a6d2	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-ATORVASTATIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	ffc1f62b-73a0-470f-bc62-54ff54b22841	{10}
0d7c4a68-c5c9-41ee-a952-102aac6c037a	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-CETIRIZINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE;  DELTA LTD HAFNARFJODUR ICELAND	438d6936-da57-4f0b-b2a5-45c484962588	{10}
576e9c5a-433e-4996-907d-625f0201f77e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADALAT XL 30	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY	9dbc4ba6-9b2e-457f-bcb2-82f3bc3b55c3	{30}
84bfa216-0664-42b9-b54e-bc08c8eab24c	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-CIMETIDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAMS SA (PTY) LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	3f51d666-df5c-4df7-9843-3cfcec5e97a8	{400}
5c44bb4e-f688-468f-9fcc-ef873528f7b9	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	DOLUTEGRAVIR; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE	MACLEODS PHARMACEUTICALS LIMITED	MACLEODS PHARMACEUTICALS LIMITED MUMBAI INDIA	ce24234c-914a-4630-9314-92fad2d7d133	{50,300,300}
6ba2c87b-64f6-48a5-8cb7-6fb3f9a06e3e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	AMOCILLIN	CAPS PVT LTD	CAPS PVT LTD HARARE ZIMBABWE	1d0eff28-6456-49be-b6e4-a23deef1f552	{125}
50d8e2a5-cb0a-4c0e-a28d-8a236bc27f71	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CIPROBAY	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY;  GLAXO-WELLCOME  SOUTH AFRICA	0aa8a483-524e-4360-abb8-d1adb080010c	{250}
11d6bec3-6f6e-416a-ab5b-4958f6932fcb	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CYCLOVAX	REMEDICA LTD	REMEDICA LTD LIMASSOL CYPRUS	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
5638ec27-d1aa-42a7-9c6b-82deaad1f1dc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-ATORVASTATIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	ffc1f62b-73a0-470f-bc62-54ff54b22841	{40}
120b11c7-75e8-4d0e-bcf7-07096adeb966	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ALERID-10	CIPLA LTD	CIPLA LTD MUMBAI INDIA	438d6936-da57-4f0b-b2a5-45c484962588	{10}
b93051aa-448a-4387-90be-35e9af7a0afa	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADALAT XL 60	BAYER (PTY) LTD	BAYER PHARMA AG LEVERKUSEN GERMANY	9dbc4ba6-9b2e-457f-bcb2-82f3bc3b55c3	{60}
6833f7ad-760d-4189-a614-2df78262786b	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-CIMETIDINE	ADCOCK INGRAM LIMITED	ADCOCK INGRAMS SA (PTY) LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE	3f51d666-df5c-4df7-9843-3cfcec5e97a8	{200}
e320bd2b-c88b-4ed5-9908-3c26d183a2d1	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CANDID	GLENMARK PHARMACEUTICALS LTD	GLENMARK PHARMACEUTICALS LTD NASIK INDIA	1446898b-6a91-4667-90c0-00e6d07fe55e	{1}
e2d0c8df-32d7-4e59-9338-a32985f83be6	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-DOL	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD JOHANNESBURG SOUTH AFRICA;  DATLABS PRIVATE LIMITED BULAWAYO ZIMBABWE;  ADCOCK INGRAM LIMITED BANGALORE INDIA	10d666f6-3174-4fb6-9727-a665079ef961	{5,10,45,450}
e5b0f6ba-f647-4991-81d4-ad335c7a23fd	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	AMOCILLIN	CAPS PVT LTD	CAPS PVT LTD HARARE ZIMBABWE	1d0eff28-6456-49be-b6e4-a23deef1f552	{250}
4f967afd-259c-45ee-9b3e-137b52b59408	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	CIPROBAY	BAYER (PTY) LTD	BAYER AG LEVERKUSEN GERMANY;  GLAXO-WELLCOME  SOUTH AFRICA	0aa8a483-524e-4360-abb8-d1adb080010c	{500}
21922a37-91e1-4870-ab04-8ff8ed887f88	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	HERPERAX	GRANITESIDE CHEMICALS (PVT) LTD	MICRO LABS LTD HOSUR INDIA	28a76d13-2045-4dcf-b0d8-32931442b475	{200}
cc064f73-ac09-48e7-881a-04ea5eb39075	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ADCO-ATORVASTIN	ADCOCK INGRAM LIMITED	ADCOCK INGRAM LTD GERM SOUTH AFRICA	ffc1f62b-73a0-470f-bc62-54ff54b22841	{20}
1e19eb1a-7053-4084-b29b-d5bb463e397e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	3TC	GLAXO-WELLCOME ZIMBABWE PVT LTD	GLAXO WELLCOME OPERATIONS HERTFORDSHIRE UK;  GLAXO R.S.A.(PTY) LTD MIDRAND SOUTH AFRICA	44d79aa1-5d71-47c2-af16-57bb7357b5de	{150}
6806defe-e39e-4995-a92b-733e4108450e	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR	AUROBINDO PHARMA LIMITED	AUROBINDO PHARMA LTD JEDCHERLA INDIA	bc47250e-21fb-45be-a42d-f6a4d1aa30a8	{300}
4db85295-8881-485c-8718-e497d70c2be3	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULFATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA	102baaa8-ae8d-4090-be2e-d56f9b334c8b	{30,60}
844ebf8c-dbdd-4641-a25f-43f9a9f1a693	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE	STRIDES ARCOLAB LTD	STRIDES ARCOLAB LTD BANGALOR INDIA	61e0b011-59d9-493d-a313-cbb730cef41f	{300}
709e0c50-0897-4dad-a800-54659a0011fc	2025-07-27 18:00:34.214326-04	2025-07-27 18:00:34.214326-04	ABACAVIR SULPHATE; LAMIVUDINE	MYLAN LABORATORIES LIMITED	MYLAN LABORATORIES LTD SINNAR INDIA	91f9ed3b-644a-49c9-bb0e-4478e2edb070	{30,60}
