id	created_at	updated_at	licence_number	name	licensee	address	town	expiry_date	premises_types
8cac3e35-2924-450e-9974-39f309a5c75b	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1957-2024	ARC PHARMACY	ALBERRICHARDSON MART INCORPORATED (PBC)	19622 / 15 MBIZO	KWEKWE	2025-01-31	Pharmacy in any other location
62dd25a1-2756-4722-8196-82f00d8d2231	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1753-2024	ARCADE PHARMACY	M J CHEMISTS (PVT) LTD	SHOP 4, FIRST MUTUAL CENTRE	MUTARE	2025-01-31	Pharmacy in any other location
f2571931-9fad-4507-805f-252a2e13cda1	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1648-2024	ARCADIA MEDICAL CENTRE PHARMACY	KUREBWA PHARMACIES	NO 2 BARDIA ROAD, ARCADIA	HARARE	2025-11-30	Pharmacy in any other location
7d06166a-29a1-47de-81e6-9c1b3a366393	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1355-2024	ARDBENNIE PHARMACY	STRAITON INVESTMENTS (PVT) LTD	1 BOSHOFF DrIVE	HARARE	2025-11-30	Pharmacy in any other location
213503cd-35df-4383-b824-2c0664ac18d3	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P2022-2024	ARIMED PHARMACY	ARIMED PHARMACY (PVT) LTD	20 NDONGWE RD, MAZVITA MALL	HARARE	2025-10-31	Pharmacy in any other location
a3ca8450-6fff-46f1-a069-b452563eda18	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1298-2024	ARIMED PHARMACY	ARIMED PHARMACY (PVT) LTD	NO. 40 381, MCH FUELS COMPLEX	HARARE	2025-09-30	Pharmacy in any other location
e8790c3d-e2fb-4239-81a3-bf53d1a49095	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I03-P0140-2023	ARUNDEL SCHOOL CLINIC	ARUNDEL SCHOOL TRUST	28 ARUNDEL SCHOOL ROAD	HARARE	2024-09-30	Clinics: Class C
4756b741-45f1-4c17-9bad-579711e4af38	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1656-2024	ARUNDEL VILLAGE PHARMACY	ARUNDEL PHARMACY (PVT) LTD	SHOP 13&14 ARUNDEL S/CENTRE	HARARE	2025-02-28	Pharmacy in any other location
136663cb-d474-445d-945c-62574cbcc4fb	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0146-2024	ASCA HEALTH CARE	ASCA HEALTH CARE (PVT) LTD	UNIT 1, FINANCE HOUSE 60 SPEKE AVENUE, HARARE	HARARE	2025-03-31	Wholesalers
5c7266f5-7e44-4a6d-9330-030765e33877	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1409-2024	ASCOT PHARMACY	PLUS FIVE PHARMACEUTICAL (PVT) LTD	SHOP 27 ASCOT SHOPPING CENTRE	BULAWAYO	2025-02-28	Pharmacy in any other location
b39483b3-33fa-42a9-8b9f-f3dfda442d14	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1346-2024	ASHBRITTLE PHARMACY	ASHBRITTLE PHARMACY (PVT) LTD	44 GOLDENSTAIRS ROAD EMERALD HILL	HARARE	2025-04-30	Pharmacy in any other location
acf65a5e-9d82-4322-8ba4-08bc7d0ffc1c	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1368-2024	ASHER PHARMACY	ASHER PHARMACY (PVT) LTD	STAND 5551 BUDIRIRO 4 SHOPS	HARARE	2025-12-31	Pharmacy in any other location
ae4ee2cd-b4e0-4985-bd1a-982d0230db11	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1325-2024	ASSISTHEALTH PHARMACY	ASSISTHEALTH PHARMACY (PVT) LTD	26606 BUDIRIRO 2 TOWNSHIP, SHOP 4 MATIPANO BUILDING	HARARE	2025-02-28	Pharmacy in any other location
073c1907-53eb-46f5-ba03-2a3931a625d4	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1343-2024	ATLAS PHARM PHARMACY	ATLASPHARM (PVT) LTD	1 1ST AVENUE	HARARE	2025-01-31	Pharmacy in any other location
8b99b4a3-1413-4aa3-92c0-e3e020e3d59d	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1426-2024	AVENUES PHARMACY	WARNYORN ENTERPRISES (PVT) LTD	CNR MAZOWE ST/BAINES AVENUE	HARARE	2025-12-31	Pharmacy in any other location
0a3c3d34-b466-4365-93d5-0c9b4e85bc11	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1406-2024	AVMED HEALTH PHARMACY	FELMARCH INVESTMENTS (PVT) LTD	1085 7TH STREET	CHIPINGE	2025-05-31	Pharmacy in any other location
0819bfe2-7b7b-4cd7-89da-1a00dac4f492	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I02-P0202-2024	AYRSHIRE MINE INDUSTRIAL CLINIC	PAN AFRICAN MINING (PVT) LTD	AYSHIRE MINE	BANKET	2024-09-30	Clinics: Class B
fc9e71aa-036f-446a-b263-a93655797cbd	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I03-P0082-2023	B A T ZIMBABWE CLINIC	B A T ZIMBABWE LTD	NO 1 MANCHESTER ROAD	HARARE	2024-09-30	Clinics: Class C
cd7a20d8-4ca4-496a-9d01-57b1f7204391	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0149-2024	B. BRAUN ZIMBABWE	B. BRAUN ZIMBABWE (PVT) LTD	32 M & N KENMARK CRESCENT, BLUFFHILL PARK	HARARE	2025-03-31	Wholesalers
6727b8aa-67b2-42b4-99ae-5b40136a1f7c	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P1737-2024	B.R. PHARMACY - MAPHISA	TSAURAI D. MAKURA	STD 2105/6 MAPHISA BUSINESS CENTRE	603	2025-03-31	Pharmacy in rural area
764528e9-91f5-4b35-a9db-6a91df603877	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	H01-P0030-2024	BAINES AVENUE CLINIC PHARMACY	BAINES AVENUE CLINIC (PVT) LTD	66 BAINES AVENUE	HARARE	2025-05-31	Hospital pharmacies
770dd288-efec-4ac0-b177-af7648dc9183	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1564-2024	BAINES AVENUE RETAIL PHARMACY	BELIEVE PHARMACEUTICALS (PVT) LTD	66 BAINES AVENUE	HARARE	2025-02-28	Pharmacy in any other location
3b8eaaa9-eb93-42b6-b7bd-d98452fab724	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1658-2024	BALLANTYNE PARK PHARMACY	EXTRAMED PHARMACY (PVT) LTD	BALLANTYNE PARK S/C, WELLBURN AVE	HARARE	2025-09-30	Pharmacy in any other location
4eb901fc-bf51-497b-b2a6-804298a3f8c0	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1892-2024	BALLU PHARMACY	BALLU PHARMACY (PVT) LTD	52 CNR 4TH STREET AND DE JAGER	MARONDERA	2025-10-31	Pharmacy in any other location
c60c53b6-530a-42a8-b284-223d77317922	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P2019-2024	BALLU PHARMACY- YELLOW CITY	BALLU PHARMACY (PVT) LTD	3051 NUNGU EXT	MARONDERA	2025-05-31	Pharmacy in any other location
723d6ae5-31b3-4591-be5d-d84d66931dec	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1159-2024	BALM PHARMACY	BALM PHARMACY TRUST	STAND 3631 MASOCHA NDLOVU WAY	HARARE	2025-02-28	Pharmacy in any other location
23e2f03c-a7a8-4b2f-9742-2ed770d3b913	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1382-2024	BALSAM PHARMACY	BALSAM PHARMACY	SHOP A3207 JONGWE STREET	MASVINGO	2025-11-30	Pharmacy in any other location
f5c1c7a7-d086-4985-84a9-bbf36afa9607	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I02-P0150-2023	BAMBANANI NEW START CENTRE	POPULATION SOLUTIONS FOR HEALTH	90 S.PARIRENYATWA ST 1ST & 2ND FLOOR	BULAWAYO	2024-09-30	Clinics: Class B
6b7bbf10-a6d3-4f46-afc5-530cfa57c8b7	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1264-2024	BANK STREET PHARMACY	BANK STREET PHARMACY (PVT) LTD	101 CHINHOYI STREET	HARARE	2025-03-31	Pharmacy located in the CBD
e89732ea-c424-435b-911f-be7a4afb164f	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	D01-P0025-2023	BANKET FAMILY PRACTICE	DANDADZI TERENCE N. (Dr)	STD 232 STATION ROAD	BANKET	2024-06-30	Dispensing medical practice
63e2b204-ffff-4d69-a7be-1bdc57c49783	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1586-2024	BANKETMART PHARMACY	CLANGERS ENTERPRISES (PBC)	SHOP NO 2, STAND 20	BANKET	2025-07-31	Pharmacy in any other location
17ae4d1f-83b8-416d-afde-96b228f82de9	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P05-P1453-2024	BARBICOL PHARMACY	CLANGERS ENTERPRISES PBC	NUMBER 294 E.D. MNANGAGWA RD	MASVINGO	2025-02-28	Pharmacy located in the CBD
a774f065-3247-4b73-809b-c7464a3d053e	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1419-2024	BARBOURFIELDS PHARMACY	SIKHUMBUZO MPOFU	SHOP 208 BARBOURFIELDS SHOPPING CENTRE	BULAWAYO	2025-06-30	Pharmacy in any other location
fe93f97d-c9ae-4419-b254-89b6cbb7bed3	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1268-2024	BARRY NELL PHARMACY	TASIMONIES INVESTMENTS (PVT) LTD	264A J. TONGOGARA AVENUE	MASVINGO	2025-04-30	Pharmacy in any other location
7697363e-44a5-48c0-9210-330d1de27de9	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1662-2024	BEACON PHARMACY	BEACON PHARMACIES (PVT) LTD	845 MUBAIRO ROAD HATCLIFFE	HARARE	2025-01-31	Pharmacy in any other location
812fbee0-e303-44f2-a2df-4531637303d1	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1213-2024	BEITBRIDGE PHARMACY	HEALTHMART PHARMACY (PVT) LTD	170 DULIBADZIMU	BEITBRIDGE	2025-10-31	Pharmacy in any other location
07b39c19-be33-4fc6-a6f9-8d749913ebc9	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1458-2024	BELLEVUE PHARMACY	HARDWORK INVESTMENTS (PVT) LTD	105 GLADSTONE RD, BELLEVUE S/CENTRE	BULAWAYO	2025-01-31	Pharmacy in any other location
64ef7d82-98ec-42a1-9056-863395732f87	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P1960-2024	BELVEDERE PHARMACY	LELLYFORD INVESTMENTS (PVT) LTD	STAND 14575	KADOMA	2025-04-30	Pharmacy in rural area
2c976856-26e0-4a0c-8d41-b390c5d93808	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1557-2024	BELVEDERE PHARMACY	LELLYFORD INVESTMENTS (PVT) LTD	189 SAMORA MACHEL	HARARE	2025-11-30	Pharmacy in any other location
24209bc5-a7b2-4c89-aaf2-ef952b29e39f	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P01-P1551-2024	BELVEDERE PHARMACY-LONGCHENG	LELLYFORD INVESTMENTS (PVT) LTD	SHOP 6-7 LONGCHEN PLAZA	HARARE	2025-11-30	Pharmacy in any other location
bd99a0cd-8b86-4cf2-a2a2-9b5e05830657	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	I04-P0117-2023	BELVERDERE TECH. TEACHERS COLLEGE	BELVEDERE TECHNICAL TEACHERS COLLEGE	1 HAVARD RD, BELVEDERE	HARARE	2024-09-30	Clinics: Class D
54bf5cf2-11e4-4695-9e92-a7b4a59cfddf	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P0797-2024	BERTINO PHARMACY	BERTIINO PHARMACY (PVT) LTD	STD NO 57-58 CENTRAL AVENUE	MVUMA	2025-04-30	Pharmacy in rural area
a22abe1e-59b6-4255-a6d7-d16e66d83a57	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	P06-P1747-2024	BERTINO PHARMACY - CHAKA	BERTINO PHARMACY (PVT) LTD	3333 SHOKO STORE CHAKA T/SHIP	MVUMA	2025-02-28	Pharmacy in rural area
e11795ce-5ff7-4de5-a2a9-abe75a8f30ae	2024-07-05 11:12:48.372512-04	2024-07-05 11:12:48.372512-04	W01-P0200-2024	BEST COMFORTS HOLDINGS	BEST COMFORTS HOLDINGS (PVT) LTD	NO 3 ST LUKES ROAD, GREENDALE,	HARARE	2025-03-31	Wholesalers
