id	created_at	updated_at	required_measurement_snomed_concept_id	age_min_days	age_max_days	medical_standard	clinical_rationale	is_required	effective_date	expiration_date	active
49a111da-dd56-437d-a394-4de2fa5e36a7	2025-10-12 17:21:32.795304+00	2025-10-12 17:21:32.795304+00	363808001	366	1095	WHO_2023	Weight measurement for toddler growth monitoring per WHO growth charts	t	2025-10-12		t
891cf56e-8c59-4fd0-825c-6753379c8725	2025-10-12 17:21:32.796898+00	2025-10-12 17:21:32.796898+00	1153637007	366	1095	WHO_2023	Height measurement for toddler growth monitoring per WHO growth charts	t	2025-10-12		t
426d1dd2-ca45-47a4-96a2-fe10276b8dd3	2025-10-12 17:21:32.798355+00	2025-10-12 17:21:32.798355+00	363812007	366	1095	WHO_2023	Head circumference for brain development monitoring in early childhood (measured until 3 years)	t	2025-10-12		t
2b23d077-cb03-4ef7-ad9d-477d03b41a18	2025-10-12 17:21:32.799928+00	2025-10-12 17:21:32.799928+00	284473002	90	1825	WHO_2023	Mid-upper arm circumference for malnutrition screening per WHO guidelines; <115mm indicates severe acute malnutrition	t	2025-10-12		t
34cb7810-9fef-4a03-a3e2-33bf55986500	2025-10-12 17:21:32.801539+00	2025-10-12 17:21:32.801539+00	301851003	90	1825	WHO_2023	Triceps skinfold for nutritional assessment in young children per WHO standards	t	2025-10-12		t
0c449885-5a8c-463b-be8b-356a3b871837	2025-10-12 17:21:32.803085+00	2025-10-12 17:21:32.803085+00	8499008	1096	1825	PALS_2025	Heart rate monitoring for preschool patients per PALS 2020-2025 guidelines	t	2025-10-12		t
89fc35d8-2528-428f-b998-28b27a3ff9ff	2025-10-12 17:21:32.804731+00	2025-10-12 17:21:32.804731+00	86290005	1096	1825	PALS_2025	Respiratory rate monitoring for preschool patients per PALS 2020-2025 guidelines	t	2025-10-12		t
1d8deaba-3ba4-41ec-9831-e14f15e21963	2025-10-12 17:21:32.806579+00	2025-10-12 17:21:32.806579+00	386725007	1096	1825	PALS_2025	Temperature monitoring for preschool patients	t	2025-10-12		t
ef87f17b-15fe-4798-9851-e6731e74ccc3	2025-10-12 17:21:32.808521+00	2025-10-12 17:21:32.808521+00	103228002	1096	1825	PALS_2025	Oxygen saturation monitoring for preschool patients	t	2025-10-12		t
21c9216e-48c3-41a1-9fbd-b8a4b1ac651a	2025-10-12 17:21:32.810901+00	2025-10-12 17:21:32.810901+00	363808001	1096	1825	WHO_2023	Weight measurement for preschool growth monitoring and BMI calculation	t	2025-10-12		t
931116c7-c341-4f93-b28d-cbc51aa41b06	2025-10-12 17:21:32.813308+00	2025-10-12 17:21:32.813308+00	1153637007	1096	1825	WHO_2023	Height measurement for preschool growth monitoring; required for blood pressure percentile calculation	t	2025-10-12		t
33158845-762c-4554-a89f-738ba2f4ffbe	2025-10-12 17:21:32.815433+00	2025-10-12 17:21:32.815433+00	271649006	1096	4380	AAP_2017	Systolic blood pressure screening begins at age 3 per AAP 2017 guidelines; annual screening required	t	2025-10-12		t
ed5de3a1-0f39-4572-b028-3d5937a15772	2025-10-12 17:21:32.817587+00	2025-10-12 17:21:32.817587+00	271650006	1096	4380	AAP_2017	Diastolic blood pressure screening begins at age 3 per AAP 2017 guidelines; annual screening required	t	2025-10-12		t
9722659e-9c9a-4b54-8306-c6ad859617ec	2025-10-12 17:21:32.819838+00	2025-10-12 17:21:32.819838+00	8499008	1826	4380	PALS_2025	Heart rate monitoring for school-age patients per PALS 2020-2025 guidelines	t	2025-10-12		t
cd54a2b7-8cc9-47be-a954-8a40018c1d40	2025-10-12 17:21:32.822067+00	2025-10-12 17:21:32.822067+00	86290005	1826	4380	PALS_2025	Respiratory rate monitoring for school-age patients per PALS 2020-2025 guidelines	t	2025-10-12		t
e08d152c-5568-4c1c-bdff-50a1826a2c0a	2025-10-12 17:21:32.824024+00	2025-10-12 17:21:32.824024+00	386725007	1826	4380	PALS_2025	Temperature monitoring for school-age patients	t	2025-10-12		t
8ee4552e-cf43-4c01-baaa-cd4b51e1f01b	2025-10-12 17:21:32.825865+00	2025-10-12 17:21:32.825865+00	103228002	1826	4380	PALS_2025	Oxygen saturation monitoring for school-age patients	t	2025-10-12		t
3ae4f247-de8c-424f-92c1-15c6edffd342	2025-10-12 17:21:32.827764+00	2025-10-12 17:21:32.827764+00	363808001	1826	4380	WHO_2023	Weight measurement for school-age growth monitoring and BMI calculation	t	2025-10-12		t
3efec344-9123-4757-a3e4-417df8c55998	2025-10-12 17:21:32.829374+00	2025-10-12 17:21:32.829374+00	1153637007	1826	4380	WHO_2023	Height measurement for school-age growth monitoring; required for BP percentile calculation per AAP guidelines	t	2025-10-12		t
7e82b10e-9365-4820-9c88-5374ab09352a	2025-10-12 17:21:32.831069+00	2025-10-12 17:21:32.831069+00	8499008	4381	6934	PALS_2025	Heart rate monitoring for adolescent patients per PALS 2020-2025 guidelines	t	2025-10-12		t
eca2732e-589a-4f6e-968d-358978577969	2025-10-12 17:21:32.832633+00	2025-10-12 17:21:32.832633+00	86290005	4381	6934	PALS_2025	Respiratory rate monitoring for adolescent patients per PALS 2020-2025 guidelines	t	2025-10-12		t
1f8fb544-c583-4638-9051-573f9c257fc9	2025-10-12 17:21:32.834417+00	2025-10-12 17:21:32.834417+00	386725007	4381	6934	PALS_2025	Temperature monitoring for adolescent patients	t	2025-10-12		t
36b018c8-54f9-426b-ab0a-f9d3d1816572	2025-10-12 17:21:32.835999+00	2025-10-12 17:21:32.835999+00	103228002	4381	6934	PALS_2025	Oxygen saturation monitoring for adolescent patients	t	2025-10-12		t
6cd9f35a-ee2e-431d-b227-e569b0917552	2025-10-12 17:21:32.838116+00	2025-10-12 17:21:32.838116+00	363808001	4381	6934	WHO_2023	Weight measurement for adolescent growth monitoring and BMI calculation	t	2025-10-12		t
8bc52d48-2fe2-4c3d-a838-94a2afe75736	2025-10-12 17:21:32.839579+00	2025-10-12 17:21:32.839579+00	1153637007	4381	6934	WHO_2023	Height measurement for adolescent growth completion monitoring	t	2025-10-12		t
deefc71e-4f69-49a7-b217-0a15ccd37010	2025-10-12 17:21:32.841346+00	2025-10-12 17:21:32.841346+00	271649006	4381	6934	AAP_2017	Systolic BP using simplified thresholds for adolescents ≥13 years per AAP 2017 (Elevated: 120-129, HTN Stage 1: 130-139, Stage 2: ≥140)	t	2025-10-12		t
70d9241b-082b-4034-af69-d2cd628742d6	2025-10-12 17:21:32.843038+00	2025-10-12 17:21:32.843038+00	271650006	4381	6934	AAP_2017	Diastolic BP using simplified thresholds for adolescents ≥13 years per AAP 2017 (HTN Stage 1: 80-89, Stage 2: ≥90)	t	2025-10-12		t
c29d2b75-f2f3-4d0a-991d-9a3e42016473	2025-10-12 17:21:32.845054+00	2025-10-12 17:21:32.845054+00	1153637007	6935		WHO_2023	Height measurement for adult health assessment and BMI calculation	t	2025-10-12		t
ce8cbdf3-e623-42e7-b113-fbea4111eeb4	2025-10-12 17:21:32.84713+00	2025-10-12 17:21:32.84713+00	363808001	6935		WHO_2023	Weight measurement for adult health assessment and BMI calculation	t	2025-10-12		t
93829002-9b14-467c-8bce-fae847899233	2025-10-12 17:21:32.849009+00	2025-10-12 17:21:32.849009+00	386725007	6935		WHO_2023	Temperature monitoring for adult patients; fever >38°C (100.4°F)	t	2025-10-12		t
72ede94a-2420-484a-ac12-81a5873035aa	2025-10-12 17:21:32.850893+00	2025-10-12 17:21:32.850893+00	271649006	6935		AHA_2025	Systolic blood pressure monitoring for adult patients per AHA/ACC 2025 guidelines; target <130 mmHg for most adults	t	2025-10-12		t
33d08368-e684-4ab3-a701-c64a4b861679	2025-10-12 17:21:32.852741+00	2025-10-12 17:21:32.852741+00	271650006	6935		AHA_2025	Diastolic blood pressure monitoring for adult patients per AHA/ACC 2025 guidelines; target <80 mmHg	t	2025-10-12		t
5215ca80-3de2-4e74-9232-2755b0f6930c	2025-10-12 17:21:32.854818+00	2025-10-12 17:21:32.854818+00	103228002	6935		WHO_2023	Oxygen saturation monitoring for adult patients; normal ≥95% at sea level	t	2025-10-12		t
ccc9349f-b580-49fc-83c3-7a4e588ffe46	2025-10-12 17:21:32.856836+00	2025-10-12 17:21:32.856836+00	405176005	6935		ADA_2025	Blood glucose monitoring for diabetes screening and management per ADA 2025 standards; normal fasting 70-100 mg/dL	t	2025-10-12		t
d3510563-67f6-409c-a785-dde59a2dbfd6	2025-10-12 17:21:32.85855+00	2025-10-12 17:21:32.85855+00	8499008	6935		AHA_2025	Heart rate monitoring for adult patients; normal resting 60-100 bpm	t	2025-10-12		t
da82977b-a0de-4ce2-adc7-8f7f36a90d06	2025-10-12 17:21:32.860302+00	2025-10-12 17:21:32.860302+00	86290005	6935		WHO_2023	Respiratory rate monitoring for adult patients; normal 12-20 breaths/minute	t	2025-10-12		t
