id	name	term_icd9_code	term_icd9_text	consumer_name	is_procedure	info_link_href	info_link_text	created_at	updated_at
c_8251	Esophageal dysphagia	787.2	Dysphagia	Difficulty swallowing (dysphagia) - esophageal	f	http://www.nlm.nih.gov/medlineplus/esophagusdisorders.html	Swallowing Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9975	Glaucoma - low tension	365.12	Low tension glaucoma	Glaucoma - low tension	f	http://www.nlm.nih.gov/medlineplus/glaucoma.html	Glaucoma	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_13800	Superficial phlebitis	451.89	Phlebitis and thrombophlebitis of other sites	Thrombophlebitis - superficial	f	http://www.nlm.nih.gov/medlineplus/ency/article/000199.htm	Superficial thrombophlebitis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4591	Laceration	998.2	Accidental puncture or laceration during a procedure	Cut (laceration)	f	http://www.nlm.nih.gov/medlineplus/wounds.html	Wounds	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10205	Cruciate ligament tear	844.2	Sprain of cruciate ligament of knee	Cruciate ligament tear	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10195	Erectile dysfunction	V41.7	Problems with sexual function	Erectile dysfunction (ED)	f	http://www.nlm.nih.gov/medlineplus/erectiledysfunction.html	Erectile Dysfunction	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9604	Vision - diminished			Vision - diminished	f	http://www.nlm.nih.gov/medlineplus/visionimpairmentandblindness.html	Vision Impairment and Blindness	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9594	Sinus tenderness	473.8	Other chronic sinusitis	Sinus tenderness	f	http://www.nlm.nih.gov/medlineplus/headache.html	Headache	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_16365	Vision - blurred			Vision - blurred	f	http://www.nlm.nih.gov/medlineplus/ency/article/003029.htm	Vision problems	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8587	Muscle rupture			Muscle rupture	f	http://www.nlm.nih.gov/medlineplus/muscledisorders.html	Muscle Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_25516	Diabetic nephropathy - juvenile controlled	250.41	Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations	Diabetic nephropathy - juvenile controlled	f	http://www.nlm.nih.gov/medlineplus/diabetickidneyproblems.html	Diabetic Kidney Problems	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2474	Whipple's disease	040.2	Whipple's disease	Whipple's disease	f	http://www.nlm.nih.gov/medlineplus/ency/article/000209.htm	Whipple's disease	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2526	Achalasia	530.0	Achalasia and cardiospasm	Achalasia	f	http://www.nlm.nih.gov/medlineplus/ency/article/000267.htm	Achalasia	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8233	Felty syndrome	714.1	Felty's syndrome	Felty syndrome	f	http://www.nlm.nih.gov/medlineplus/ency/article/000445.htm	Felty syndrome	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8305	Anaphylaxis	995.0	Other anaphylactic shock	Anaphylaxis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000844.htm	Allergy	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9775	Diabetic enteropathy	569.9	Unspecified disorder of intestine	Diabetic enteropathy	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_15130	Uterine hemorrhage			Uterine hemorrhage	f	http://www.nlm.nih.gov/medlineplus/vaginalbleeding.html	Vaginal Bleeding	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_15129	Amniocentesis			Amniocentesis	t	http://www.nlm.nih.gov/medlineplus/ency/article/003921.htm	Prenatal Testing	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6225	Varicella	052.9	Varicella without mention of complication	Chickenpox (Varicella)	f	http://www.nlm.nih.gov/medlineplus/chickenpox.html	Chickenpox	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2256	Diarrhea	787.91	Diarrhea	Diarrhea	f	http://www.nlm.nih.gov/medlineplus/diarrhea.html	Diarrhea	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_11528	Glomerulonephritis - mesangial proliferative			Glomerulonephritis - mesangial proliferative (MPGN)	f	http://www.nlm.nih.gov/medlineplus/ency/article/000484.htm	Glomerulonephritis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10711	Riedel's thyroiditis			Riedel's thyroiditis	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10745	Paget's disease of bone	731.0	Osteitis deformans without mention of bone tumor	Paget's disease of bone	f	http://www.nlm.nih.gov/medlineplus/pagetsdiseaseofbone.html	Paget's Disease of Bone	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4342	Nasal polyp	471.9	Unspecified nasal polyp	Nasal polyp	f	http://www.nlm.nih.gov/medlineplus/ency/article/001641.htm	Nasal polyps	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9404	Erythrocytosis	289.6	Familial polycythemia	Red blood cell count - high (erythrocytosis)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003645.htm	Hemoglobin	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8615	Alkalosis - respiratory	276.3	Alkalosis	Alkalosis - respiratory	f	http://www.nlm.nih.gov/medlineplus/ency/article/000111.htm	Respiratory alkalosis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21795	Sturge-Weber syndrome	759.6	Other congenital hamartoses, NEC	Sturge-Weber syndrome	f	http://www.nlm.nih.gov/medlineplus/ency/article/001426.htm	Sturge-Weber syndrome	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9993	Ocular herpes zoster	053.29	Herpes zoster with other ophthalmic complications	Eye shingles (ocular herpes zoster)	f	http://www.nlm.nih.gov/medlineplus/shingles.html	Shingles	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21805	Wound dehiscence	998.31	Disruption of internal operation wound	Surgical wound separation	f	http://www.nlm.nih.gov/medlineplus/wounds.html	Wounds	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21753	Excoriation - neurotic	698.4	Dermatitis factitia [artefacta]	Compulsive scratching	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10483	Mucormycosis	117.7	Zygomycosis [Phycomycosis or Mucormycosis]	Mucormycosis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000649.htm	Mucormycosis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_3981	Renal insufficiency - chronic	588.9	Unspecified disorder resulting from impaired renal function	Kidney (renal) insufficiency - long-term	f	http://www.nlm.nih.gov/medlineplus/kidneydiseases.html	Kidney Diseases	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_3860	Renal artery stenosis	440.1	Atherosclerosis of renal artery	Renal artery stenosis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000204.htm	Renovascular hypertension	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2287	Menorrhagia	626.2	Excessive or frequent menstruation	Heavy menstrual bleeding (menorrhagia)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003263.htm	Menstrual periods - heavy, prolonged, or irregular	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8174	Sulfhemoglobinemia	289.7	Methemoglobinemia	Sulfhemoglobin - high	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_7891	Gastric varices	456.8	Varices of other sites	Gastric varices	f	http://www.nlm.nih.gov/medlineplus/stomachdisorders.html	Stomach Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_7901	Adenoidectomy			Adenoid removal (adenoidectomy)	t	http://www.nlm.nih.gov/medlineplus/ency/article/003011.htm	Tonsils and Adenoids	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_27204	Heel pain	729.5	Pain in limb	Heel pain	f	http://www.nlm.nih.gov/medlineplus/ency/article/003181.htm	Heel pain	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6686	Dog bite	879.8	Open wound(s) (multiple) of unspecified site(s), without mention of complication	Dog bite	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21154	Lithium toxicity			Lithium toxicity	f	http://www.nlm.nih.gov/medlineplus/ency/article/002667.htm	Lithium toxicity	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4157	Anal/rectal surgery			Anal/rectal surgery	t			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2472	Scleroderma	710.1	Systemic sclerosis	Scleroderma	f	http://www.nlm.nih.gov/medlineplus/scleroderma.html	Scleroderma	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10728	Spermatogenic arrest			Spermatogenic arrest	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4368	Flatulence	787.3	Flatulence, eructation, and gas pain	Flatulence (gas)	f	http://www.nlm.nih.gov/medlineplus/gas.html	Gas	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10249	Stab wound	879.8	Open wound(s) (multiple) of unspecified site(s), without mention of complication	Stab wound	f	http://www.nlm.nih.gov/medlineplus/ency/article/001063.htm	Traumatic injury of the bladder and urethra	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8788	Factor X deficiency	286.3	Congenital deficiency of other clotting factors	Factor X deficiency	f	http://www.nlm.nih.gov/medlineplus/ency/article/000553.htm	Factor X deficiency	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_17535	Agoraphobia with panic attacks			Agoraphobia with panic attacks	f	http://www.nlm.nih.gov/medlineplus/phobias.html	Phobias	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4574	Atrophic gastritis	535.10	Atrophic gastritis, without mention of hemorrhage	Atrophic gastritis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000232.htm	Gastritis - chronic	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9438	Numbness	782.0	Disturbance of skin sensation	Loss of feeling (numbness)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003206.htm	Numbness and tingling	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9698	Macular degeneration	362.50	Macular degeneration (senile) of retina, unspecified	Macular degeneration	f	http://www.nlm.nih.gov/medlineplus/maculardegeneration.html	Macular Degeneration	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9708	Tooth loss	525.10	Acquired absence of teeth, unspecified	Tooth loss	f	http://www.nlm.nih.gov/medlineplus/toothdisorders.html	Tooth Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10510	Cholesterolosis	575.6	Cholesterolosis of gallbladder	Cholesterolosis	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10509	Bile stasis	576.8	Other specified disorders of biliary tract	Bile stasis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000215.htm	Cholestasis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_14670	Chlamydia pneumonia	483.1	Pneumonia due to Chlamydia	Chlamydia pneumonia	f	http://www.nlm.nih.gov/medlineplus/chlamydiainfections.html	Chlamydia Infections	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_15759	Conjunctival hemorrhage			Conjunctival hemorrhage	f	http://www.nlm.nih.gov/medlineplus/ency/article/001616.htm	Subconjunctival hemorrhage	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10433	Osteoma	213.9	Benign neoplasm of bone and articular cartilage, site unspecified	Osteoma	f	http://www.nlm.nih.gov/medlineplus/ency/article/001033.htm	Benign ear cyst or tumor	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21936	CMV retinitis	078.5	Cytomegaloviral disease	CMV retinitis	f	http://www.nlm.nih.gov/medlineplus/ency/article/000665.htm	Cytomegalovirus Infections	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10631	Granuloma - non-necrotizing			Granuloma - non-necrotizing	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_19871	Forearm fracture - open			Forearm fracture - open	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_17263	Beta thalassemia			Beta thalassemia	f	http://www.nlm.nih.gov/medlineplus/thalassemia.html	Thalassemia	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21729	Alopecia areata	704.01	Alopecia areata	Alopecia areata	f	http://www.nlm.nih.gov/medlineplus/ency/article/001450.htm	Alopecia areata	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21730	Telogen effluvium	704.02	Telogen effluvium	Telogen effluvium	f	http://www.nlm.nih.gov/medlineplus/ency/article/003246.htm	Hair loss	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4341	Colon polyp	211.3	Benign neoplasm of colon	Colon polyp	f	http://www.nlm.nih.gov/medlineplus/colonicpolyps.html	Colonic Polyps	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4323	Breast mass	611.72	Lump or mass in breast	Breast mass	f	http://www.nlm.nih.gov/medlineplus/ency/article/003155.htm	Breast lump	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_21736	Café au lait spot	709.09	Other dyschromia	Café au lait spot	f	http://www.nlm.nih.gov/medlineplus/ency/article/000828.htm	Birthmarks - pigmented	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9421	Facial bone fracture	802.8	Other facial bones closed fracture	Facial bone fracture	f	http://www.nlm.nih.gov/medlineplus/ency/article/001062.htm	Facial trauma	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_3953	Hyperventilation	786.01	Hyperventilation	Hyperventilation	f	http://www.nlm.nih.gov/medlineplus/ency/article/003071.htm	Hyperventilation	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10760	Adenosis - sclerosing			Adenosis - sclerosing	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2222	Varices	454.9	Asymptomatic varicose veins	Varices	f	http://www.nlm.nih.gov/medlineplus/varicoseveins.html	Varicose Veins	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6436	Hidradenitis	705.83	Hidradenitis	Hidradenitis	f	http://www.nlm.nih.gov/medlineplus/hidradenitissuppurativa.html	Hidradenitis Suppurativa	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_5111	Mucopolysaccharidosis	277.5	Mucopolysaccharidosis	Mucopolysaccharidosis	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9958	Laryngectomy			Larynx removal (laryngectomy)	t	http://www.nlm.nih.gov/medlineplus/ency/article/007398.htm	Laryngectomy	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8153	Nephropathy - urate	274.10	Gouty nephropathy, unspecified	Nephropathy - urate	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4046	Myalgia	729.1	Mylagia and myositis, unspecified	Muscle aches (myalgia)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003178.htm	Pain	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9270	Tongue - red			Tongue - red	f	http://www.nlm.nih.gov/medlineplus/tonguedisorders.html	Tongue Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9269	Pharyngeal ulcer	462	Acute pharyngitis	Pharyngeal ulcer	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10343	Intraductal carcinoma	199.1	Other malignant neoplasm of unspecified site	Intraductal carcinoma	f	http://www.nlm.nih.gov/medlineplus/ency/article/000913.htm	Breast cancer	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6443	Central nervous system shunt	V45.2	Postsurgical presence of cerebrospinal fluid drainage device	Central nervous system shunt	t	http://www.nlm.nih.gov/medlineplus/ency/article/003019.htm	Ventriculoperitoneal shunting	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2271	Jaundice	782.4	Jaundice, unspecified, not of newborn	Jaundice	f	http://www.nlm.nih.gov/medlineplus/jaundice.html	Jaundice	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8337	Takayasu's arteritis	446.7	Takayasu's disease	Takayasu's arteritis	f	http://www.nlm.nih.gov/medlineplus/ency/article/001250.htm	Takayasu arteritis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10233	Pityriasis alba	696.5	Other and unspecified pityriasis	Pityriasis alba	f	http://www.nlm.nih.gov/medlineplus/ency/article/001463.htm	Pityriasis alba	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9774	Hepatic metastases	197.7	Malignant neoplasm of liver, specified as secondary	Liver (hepatic) metastases	f	http://www.nlm.nih.gov/medlineplus/livercancer.html	Liver Cancer	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_6713	Behavior problem	312.9	Unspecified disturbance of conduct	Behavior problem - child	f	http://www.nlm.nih.gov/medlineplus/childbehaviordisorders.html	Child Behavior Disorders	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9725	Esotropia	378.00	Esotropia, unspecified	Esotropia	f	http://www.nlm.nih.gov/medlineplus/ency/article/001004.htm	Strabismus	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2239	Hemoptysis	786.3	Hemoptysis	Coughing up blood	f	http://www.nlm.nih.gov/medlineplus/ency/article/003118.htm	Vomiting blood	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2240	Pneumoconiosis	505	Pneumoconiosis, unspecified	Pneumoconiosis	f	http://www.nlm.nih.gov/medlineplus/interstitiallungdiseases.html	Interstitial Lung Diseases	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9802	Akathisia	781.0	Abnormal involuntary movements	Restless leg syndrome	f	http://www.nlm.nih.gov/medlineplus/ency/article/000807.htm	Restless leg syndrome	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_19534	Intraventricular hemorrhage	431	Intracerebral hemorrhage	Intraventricular hemorrhage	f	http://www.nlm.nih.gov/medlineplus/ency/article/007301.htm	Intraventricular hemorrhage of the newborn	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9126	Hypotonia			Muscle tone - low (hypotonia)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003298.htm	Hypotonia	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4933	Hypotension	458.9	Hypotension, unspecified	Hypotension	f	http://www.nlm.nih.gov/medlineplus/lowbloodpressure.html	Low Blood Pressure	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2211	Heart disease - congenital	746.89	Other specified congenital anomalies of heart	Heart disease - congenital	f	http://www.nlm.nih.gov/medlineplus/congenitalheartdefects.html	Congenital Heart Defects	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2488	Dysmenorrhea	625.3	Dysmenorrhea	Menstrual cramps (dysmenorrhea)	f	http://www.nlm.nih.gov/medlineplus/ency/article/003150.htm	Menstruation	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_8171	Splenic infarction	289.59	Other diseases of spleen	Splenic infarction	f	http://www.nlm.nih.gov/medlineplus/ency/article/001293.htm	Splenic infarction	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4123	Acidosis - metabolic	276.2	Acidosis	Acidosis - metabolic	f	http://www.nlm.nih.gov/medlineplus/ency/article/000335.htm	Metabolic acidosis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4878	Pituitary tumor	239.7	Neoplasm of unspecified nature of endocrine glands and other parts of nervous system	Pituitary tumor	f	http://www.nlm.nih.gov/medlineplus/pituitarytumors.html	Pituitary Tumors	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4064	Denervation			Denervation	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_15379	Hemoglobin A2 - high			Hemoglobin A2 - high	f	http://www.nlm.nih.gov/medlineplus/ency/article/003639.htm	Hemoglobin electrophoresis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10076	Bullous pemphigoid	694.5	Pemphigoid	Bullous pemphigoid	f	http://www.nlm.nih.gov/medlineplus/pemphigus.html	Pemphigus	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2212	Coronary artery disease	414.9	Chronic ischemic heart disease, unspecified	Coronary artery disease (CAD)	f	http://www.nlm.nih.gov/medlineplus/coronaryarterydisease.html	Coronary Artery Disease	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10423	Hydatidiform mole - invasive	236.1	Neoplasm of uncertain behavior of placenta	Hydatidiform mole - invasive	f	http://www.nlm.nih.gov/medlineplus/ency/article/000909.htm	Hydatidiform mole	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10673	Pseudoxanthoma elasticum	757.39	Other specified congenital anomalies of skin	Pseudoxanthoma elasticum	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_2048	Billroth I gastrectomy			Billroth I gastrectomy	t	http://www.nlm.nih.gov/medlineplus/ency/article/002945.htm	Gastrectomy	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10472	Liposarcoma - myxoid	171.9	Malignant neoplasm of connective and other soft tissue, site unspecified	Liposarcoma - myxoid	f			2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_4237	Vaginal bleeding	623.8	Other specified noninflammatory disorders of vagina	Vaginal bleeding	f	http://www.nlm.nih.gov/medlineplus/vaginalbleeding.html	Vaginal Bleeding	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_30572	Asthma - mild persistent	493.90	Asthma, unspecified type, without mention of status asthmaticus	Asthma - mild persistent	f	http://www.nlm.nih.gov/medlineplus/asthma.html	Asthma	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9900	Ectropion	374.10	Ectropion, unspecified	Ectropion	f	http://www.nlm.nih.gov/medlineplus/ency/article/001007.htm	Ectropion	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9890	Hip dislocation - congenital	754.30	Congenital dislocation of hip, unilateral	Hip dislocation - congenital	f	http://www.nlm.nih.gov/medlineplus/ency/article/000971.htm	Developmental dysplasia of the hip	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_9889	Hip subluxation - congenital	754.32	Congenital subluxation of hip, unilateral	Hip subluxation - congenital	f	http://www.nlm.nih.gov/medlineplus/ency/article/000971.htm	Developmental dysplasia of the hip	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_10455	Ganglioneuroblastoma	171.9	Malignant neoplasm of connective and other soft tissue, site unspecified	Ganglioneuroblastoma	f	http://www.nlm.nih.gov/medlineplus/ency/article/001436.htm	Ganglioneuroblastoma	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
c_25510	Glomerulonephritis - acute	580.9	Acute glomerulonephritis with unspecified pathological lesion in kidney	Glomerulonephritis - acute	f	http://www.nlm.nih.gov/medlineplus/ency/article/000484.htm	Glomerulonephritis	2024-03-14 12:47:03.616257-04	2024-03-14 12:47:03.616257-04
