id	created_at	updated_at	organization_id	name
a7b44326-6bef-42d1-a084-2844bb2ed792	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Triage room 1
d9c78d76-70f3-4da5-8a54-08e9ca1948cc	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Triage room 2
f4ed9c60-b2ed-4ca0-83ac-413c672bf971	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Administration
4e178e2e-9cf7-4738-b6af-8afe04fd854d	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Pharmacy
4d5cbe6a-37eb-4974-a6a0-9954048e114b	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Remote care room 1
02cf1d74-efdc-4271-945e-2ca84d8fe585	2025-12-17 11:19:17.628028-05	2025-12-17 11:19:17.628028-05	00000000-0000-1000-8000-000000000002	Resuscitation area
52b3232f-587d-4e8a-a245-37ae9126d718	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Primary care room 101
c445ef7f-dcb6-4532-a223-3d3479aeb269	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Primary care room 102
8e37a98a-ec2d-4cf4-9e0d-3b05234892ec	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Maternity room 1
515c12a3-1520-41ef-a9ac-c9076d63b98e	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Immunizations room 1
99811469-3c25-4b04-b79a-ad8e830942fc	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Chronic diseases room 1
f7d8ee9d-3205-435f-9d3d-312231554121	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Reception
df3525c8-86c4-436d-8748-a1af24602d9a	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Waiting room
51cbff9d-1f5f-417d-8a6a-3d0165af4d86	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Triage room 1
cb5003c0-6a37-4f97-822e-534483846c28	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Triage room 2
39560637-5a0d-4e00-be61-c3ea4dc61e7e	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Administration
a4db9306-5be9-4488-87b3-067bd1466e63	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Pharmacy
d4b8470b-8bbc-4b1c-8d20-8efdfcc0c7ec	2025-12-17 11:19:17.629167-05	2025-12-17 11:19:17.629167-05	00000000-0000-0000-0000-000000000003	Resuscitation area
06ea0d4a-a37a-48d5-a862-6b0e695cc15d	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Primary care room 101
f22dd8df-08a4-48a6-9b8e-0941fd22f191	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Primary care room 102
63952dde-4f06-4f00-b0db-ff321e5a2d26	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Oncology room 1
0d50c4dc-484b-4357-bb5f-0f1d78ecee4b	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Burns room 1
4743d75a-80d9-421f-8d47-84f72000adff	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Reception
efa19660-52f3-4284-9987-b23bd7f536bf	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Waiting room
a37b072f-29f3-4e3c-b739-b4911db0fa3e	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Triage room 1
1051847d-8e61-441a-9b49-3c9297994222	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Triage room 2
0e5af014-9e63-4d1a-9cd9-8c8751f9c93b	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Administration
ea134783-1c58-4259-801f-079f83e3282d	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Pharmacy
aea94f60-8f31-4e8a-9aa4-572eb98dc4f4	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Remote care room 1
f97bf03f-24f9-4ffb-b82c-a0a3e560e30c	2025-12-17 11:19:17.630142-05	2025-12-17 11:19:17.630142-05	00000000-0000-0000-0000-000000000004	Resuscitation area
