code	name	created_at	updated_at
H35.30	Unspecified macular degeneration	2024-05-01 17:00:03.95598-04	2024-05-01 17:00:03.95598-04
K08.109	Complete loss of teeth, unspecified cause, unspecified class	2024-05-01 17:00:03.956294-04	2024-05-01 17:00:03.956294-04
K82.4	Cholesterolosis of gallbladder	2024-05-01 17:00:03.956622-04	2024-05-01 17:00:03.956622-04
K83.1	Obstruction of bile duct	2024-05-01 17:00:03.956936-04	2024-05-01 17:00:03.956936-04
J16.0	Chlamydial pneumonia	2024-05-01 17:00:03.958148-04	2024-05-01 17:00:03.958148-04
H11.30	Conjunctival hemorrhage, unspecified eye	2024-05-01 17:00:03.958455-04	2024-05-01 17:00:03.958455-04
D16.4	Benign neoplasm of bones of skull and face	2024-05-01 17:00:03.958785-04	2024-05-01 17:00:03.958785-04
B25.8	Other cytomegaloviral diseases	2024-05-01 17:00:03.959268-04	2024-05-01 17:00:03.959268-04
H32	Chorioretinal disorders in diseases classified elsewhere	2024-05-01 17:00:03.959268-04	2024-05-01 17:00:03.959268-04
D71	Functional disorders of polymorphonuclear neutrophils	2024-05-01 17:00:03.959617-04	2024-05-01 17:00:03.959617-04
D56.1	Beta thalassemia	2024-05-01 17:00:03.960104-04	2024-05-01 17:00:03.960104-04
L63.9	Alopecia areata, unspecified	2024-05-01 17:00:03.96042-04	2024-05-01 17:00:03.96042-04
L65.0	Telogen effluvium	2024-05-01 17:00:03.960721-04	2024-05-01 17:00:03.960721-04
K63.5	Polyp of colon	2024-05-01 17:00:03.961029-04	2024-05-01 17:00:03.961029-04
N63.0	Unspecified lump in unspecified breast	2024-05-01 17:00:03.961443-04	2024-05-01 17:00:03.961443-04
L81.3	Cafe au lait spots	2024-05-01 17:00:03.961799-04	2024-05-01 17:00:03.961799-04
S02.92XA	Unspecified fracture of facial bones, initial encounter for closed fracture	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
S02.92XB	Unspecified fracture of facial bones, initial encounter for open fracture	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
S02.92XD	Unspecified fracture of facial bones, subsequent encounter for fracture with routine healing	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
S02.92XG	Unspecified fracture of facial bones, subsequent encounter for fracture with delayed healing	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
S02.92XK	Unspecified fracture of facial bones, subsequent encounter for fracture with nonunion	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
S02.92XS	Unspecified fracture of facial bones, sequela	2024-05-01 17:00:03.962119-04	2024-05-01 17:00:03.962119-04
R06.4	Hyperventilation	2024-05-01 17:00:03.962919-04	2024-05-01 17:00:03.962919-04
N64.59	Other signs and symptoms in breast	2024-05-01 17:00:03.963242-04	2024-05-01 17:00:03.963242-04
I83.90	Asymptomatic varicose veins of unspecified lower extremity	2024-05-01 17:00:03.963553-04	2024-05-01 17:00:03.963553-04
L73.2	Hidradenitis suppurativa	2024-05-01 17:00:03.963876-04	2024-05-01 17:00:03.963876-04
N28.89	Other specified disorders of kidney and ureter	2024-05-01 17:00:03.964365-04	2024-05-01 17:00:03.964365-04
M79.10	Myalgia, unspecified site	2024-05-01 17:00:03.96468-04	2024-05-01 17:00:03.96468-04
K14.8	Other diseases of tongue	2024-05-01 17:00:03.964988-04	2024-05-01 17:00:03.964988-04
J39.2	Other diseases of pharynx	2024-05-01 17:00:03.965293-04	2024-05-01 17:00:03.965293-04
C80.1	Malignant (primary) neoplasm, unspecified	2024-05-01 17:00:03.965617-04	2024-05-01 17:00:03.965617-04
R17	Unspecified jaundice	2024-05-01 17:00:03.966038-04	2024-05-01 17:00:03.966038-04
M31.4	Aortic arch syndrome [Takayasu]	2024-05-01 17:00:03.966334-04	2024-05-01 17:00:03.966334-04
L30.5	Pityriasis alba	2024-05-01 17:00:03.966653-04	2024-05-01 17:00:03.966653-04
C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct	2024-05-01 17:00:03.966962-04	2024-05-01 17:00:03.966962-04
F91.9	Conduct disorder, unspecified	2024-05-01 17:00:03.967268-04	2024-05-01 17:00:03.967268-04
H50.00	Unspecified esotropia	2024-05-01 17:00:03.967561-04	2024-05-01 17:00:03.967561-04
R04.2	Hemoptysis	2024-05-01 17:00:03.96786-04	2024-05-01 17:00:03.96786-04
J64	Unspecified pneumoconiosis	2024-05-01 17:00:03.968167-04	2024-05-01 17:00:03.968167-04
G25.89	Other specified extrapyramidal and movement disorders	2024-05-01 17:00:03.968649-04	2024-05-01 17:00:03.968649-04
I61.5	Nontraumatic intracerebral hemorrhage, intraventricular	2024-05-01 17:00:03.968947-04	2024-05-01 17:00:03.968947-04
R29.898	Other symptoms and signs involving the musculoskeletal system	2024-05-01 17:00:03.96924-04	2024-05-01 17:00:03.96924-04
I95.9	Hypotension, unspecified	2024-05-01 17:00:03.969534-04	2024-05-01 17:00:03.969534-04
Q24.9	Congenital malformation of heart, unspecified	2024-05-01 17:00:03.969846-04	2024-05-01 17:00:03.969846-04
N94.6	Dysmenorrhea, unspecified	2024-05-01 17:00:03.970177-04	2024-05-01 17:00:03.970177-04
D73.5	Infarction of spleen	2024-05-01 17:00:03.970475-04	2024-05-01 17:00:03.970475-04
E87.20	Acidosis, unspecified	2024-05-01 17:00:03.970773-04	2024-05-01 17:00:03.970773-04
D49.7	Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system	2024-05-01 17:00:03.971056-04	2024-05-01 17:00:03.971056-04
G70.9	Myoneural disorder, unspecified	2024-05-01 17:00:03.971349-04	2024-05-01 17:00:03.971349-04
D58.2	Other hemoglobinopathies	2024-05-01 17:00:03.971635-04	2024-05-01 17:00:03.971635-04
L12.0	Bullous pemphigoid	2024-05-01 17:00:03.971954-04	2024-05-01 17:00:03.971954-04
I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris	2024-05-01 17:00:03.972258-04	2024-05-01 17:00:03.972258-04
D39.2	Neoplasm of uncertain behavior of placenta	2024-05-01 17:00:03.97255-04	2024-05-01 17:00:03.97255-04
Q82.8	Other specified congenital malformations of skin	2024-05-01 17:00:03.972862-04	2024-05-01 17:00:03.972862-04
C49.9	Malignant neoplasm of connective and soft tissue, unspecified	2024-05-01 17:00:03.973287-04	2024-05-01 17:00:03.973287-04
J45.30	Mild persistent asthma, uncomplicated	2024-05-01 17:00:03.973706-04	2024-05-01 17:00:03.973706-04
H02.109	Unspecified ectropion of unspecified eye, unspecified eyelid	2024-05-01 17:00:03.974018-04	2024-05-01 17:00:03.974018-04
Q65.2	Congenital dislocation of hip, unspecified	2024-05-01 17:00:03.974351-04	2024-05-01 17:00:03.974351-04
Q65.5	Congenital partial dislocation of hip, unspecified	2024-05-01 17:00:03.974787-04	2024-05-01 17:00:03.974787-04
C74.90	Malignant neoplasm of unspecified part of unspecified adrenal gland	2024-05-01 17:00:03.975115-04	2024-05-01 17:00:03.975115-04
N00.9	Acute nephritic syndrome with unspecified morphologic changes	2024-05-01 17:00:03.975439-04	2024-05-01 17:00:03.975439-04
C69.20	Malignant neoplasm of unspecified retina	2024-05-01 17:00:03.975897-04	2024-05-01 17:00:03.975897-04
L72.0	Epidermal cyst	2024-05-01 17:00:03.976189-04	2024-05-01 17:00:03.976189-04
M04.1	Periodic fever syndromes	2024-05-01 17:00:03.976474-04	2024-05-01 17:00:03.976474-04
H92.10	Otorrhea, unspecified ear	2024-05-01 17:00:03.976767-04	2024-05-01 17:00:03.976767-04
F90.9	Attention-deficit hyperactivity disorder, unspecified type	2024-05-01 17:00:03.977096-04	2024-05-01 17:00:03.977096-04
K56.609	Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction	2024-05-01 17:00:03.977637-04	2024-05-01 17:00:03.977637-04
J45.40	Moderate persistent asthma, uncomplicated	2024-05-01 17:00:03.977927-04	2024-05-01 17:00:03.977927-04
G47.00	Insomnia, unspecified	2024-05-01 17:00:03.978206-04	2024-05-01 17:00:03.978206-04
L41.9	Parapsoriasis, unspecified	2024-05-01 17:00:03.978593-04	2024-05-01 17:00:03.978593-04
Q21.10	Atrial septal defect, unspecified	2024-05-01 17:00:03.978914-04	2024-05-01 17:00:03.978914-04
K86.1	Other chronic pancreatitis	2024-05-01 17:00:03.979215-04	2024-05-01 17:00:03.979215-04
T82.9XXA	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, initial encounter	2024-05-01 17:00:03.979626-04	2024-05-01 17:00:03.979626-04
T82.9XXD	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, subsequent encounter	2024-05-01 17:00:03.979626-04	2024-05-01 17:00:03.979626-04
T82.9XXS	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, sequela	2024-05-01 17:00:03.979626-04	2024-05-01 17:00:03.979626-04
P55.8	Other hemolytic diseases of newborn	2024-05-01 17:00:03.979982-04	2024-05-01 17:00:03.979982-04
C56.9	Malignant neoplasm of unspecified ovary	2024-05-01 17:00:03.980674-04	2024-05-01 17:00:03.980674-04
J81.1	Chronic pulmonary edema	2024-05-01 17:00:03.980978-04	2024-05-01 17:00:03.980978-04
M19.90	Unspecified osteoarthritis, unspecified site	2024-05-01 17:00:03.98127-04	2024-05-01 17:00:03.98127-04
B07.8	Other viral warts	2024-05-01 17:00:03.981565-04	2024-05-01 17:00:03.981565-04
L75.0	Bromhidrosis	2024-05-01 17:00:03.981875-04	2024-05-01 17:00:03.981875-04
J35.8	Other chronic diseases of tonsils and adenoids	2024-05-01 17:00:03.982171-04	2024-05-01 17:00:03.982171-04
O03.9	Complete or unspecified spontaneous abortion without complication	2024-05-01 17:00:03.982493-04	2024-05-01 17:00:03.982493-04
L92.8	Other granulomatous disorders of the skin and subcutaneous tissue	2024-05-01 17:00:03.982792-04	2024-05-01 17:00:03.982792-04
P59.29	Neonatal jaundice from other hepatocellular damage	2024-05-01 17:00:03.983112-04	2024-05-01 17:00:03.983112-04
J38.7	Other diseases of larynx	2024-05-01 17:00:03.983422-04	2024-05-01 17:00:03.983422-04
G45.0	Vertebro-basilar artery syndrome	2024-05-01 17:00:03.984454-04	2024-05-01 17:00:03.984454-04
K11.5	Sialolithiasis	2024-05-01 17:00:03.984795-04	2024-05-01 17:00:03.984795-04
S96.919A	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, initial encounter	2024-05-01 17:00:03.985113-04	2024-05-01 17:00:03.985113-04
S96.919D	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, subsequent encounter	2024-05-01 17:00:03.985113-04	2024-05-01 17:00:03.985113-04
S96.919S	Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, sequela	2024-05-01 17:00:03.985113-04	2024-05-01 17:00:03.985113-04
R35.89	Other polyuria	2024-05-01 17:00:03.985475-04	2024-05-01 17:00:03.985475-04
R40.20	Unspecified coma	2024-05-01 17:00:03.985776-04	2024-05-01 17:00:03.985776-04
T76.92XA	Unspecified child maltreatment, suspected, initial encounter	2024-05-01 17:00:03.986067-04	2024-05-01 17:00:03.986067-04
T76.92XD	Unspecified child maltreatment, suspected, subsequent encounter	2024-05-01 17:00:03.986067-04	2024-05-01 17:00:03.986067-04
T76.92XS	Unspecified child maltreatment, suspected, sequela	2024-05-01 17:00:03.986067-04	2024-05-01 17:00:03.986067-04
E87.6	Hypokalemia	2024-05-01 17:00:03.986421-04	2024-05-01 17:00:03.986421-04
I20.9	Angina pectoris, unspecified	2024-05-01 17:00:03.986714-04	2024-05-01 17:00:03.986714-04
H42	Glaucoma in diseases classified elsewhere	2024-05-01 17:00:03.987149-04	2024-05-01 17:00:03.987149-04
R16.0	Hepatomegaly, not elsewhere classified	2024-05-01 17:00:03.987435-04	2024-05-01 17:00:03.987435-04
F33.9	Major depressive disorder, recurrent, unspecified	2024-05-01 17:00:03.987842-04	2024-05-01 17:00:03.987842-04
H30.90	Unspecified chorioretinal inflammation, unspecified eye	2024-05-01 17:00:03.98813-04	2024-05-01 17:00:03.98813-04
I67.1	Cerebral aneurysm, nonruptured	2024-05-01 17:00:03.988455-04	2024-05-01 17:00:03.988455-04
C85.10	Unspecified B-cell lymphoma, unspecified site	2024-05-01 17:00:03.988744-04	2024-05-01 17:00:03.988744-04
L44.4	Infantile papular acrodermatitis [Gianotti-Crosti]	2024-05-01 17:00:03.989034-04	2024-05-01 17:00:03.989034-04
G12.21	Amyotrophic lateral sclerosis	2024-05-01 17:00:03.989343-04	2024-05-01 17:00:03.989343-04
L28.0	Lichen simplex chronicus	2024-05-01 17:00:03.989683-04	2024-05-01 17:00:03.989683-04
E72.02	Hartnup's disease	2024-05-01 17:00:03.989986-04	2024-05-01 17:00:03.989986-04
T43.505A	Adverse effect of unspecified antipsychotics and neuroleptics, initial encounter	2024-05-01 17:00:03.990318-04	2024-05-01 17:00:03.990318-04
T43.505D	Adverse effect of unspecified antipsychotics and neuroleptics, subsequent encounter	2024-05-01 17:00:03.990318-04	2024-05-01 17:00:03.990318-04
T43.505S	Adverse effect of unspecified antipsychotics and neuroleptics, sequela	2024-05-01 17:00:03.990318-04	2024-05-01 17:00:03.990318-04
G21.0	Malignant neuroleptic syndrome	2024-05-01 17:00:03.990318-04	2024-05-01 17:00:03.990318-04
F07.81	Postconcussional syndrome	2024-05-01 17:00:03.99113-04	2024-05-01 17:00:03.99113-04
M47.814	Spondylosis without myelopathy or radiculopathy, thoracic region	2024-05-01 17:00:03.991466-04	2024-05-01 17:00:03.991466-04
F79	Unspecified intellectual disabilities	2024-05-01 17:00:03.991777-04	2024-05-01 17:00:03.991777-04
F48.9	Nonpsychotic mental disorder, unspecified	2024-05-01 17:00:03.992078-04	2024-05-01 17:00:03.992078-04
O13.9	Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester	2024-05-01 17:00:03.992373-04	2024-05-01 17:00:03.992373-04
J84.01	Alveolar proteinosis	2024-05-01 17:00:03.992668-04	2024-05-01 17:00:03.992668-04
D75.89	Other specified diseases of blood and blood-forming organs	2024-05-01 17:00:03.993116-04	2024-05-01 17:00:03.993116-04
C91.90	Lymphoid leukemia, unspecified not having achieved remission	2024-05-01 17:00:03.993418-04	2024-05-01 17:00:03.993418-04
D18.00	Hemangioma unspecified site	2024-05-01 17:00:03.99372-04	2024-05-01 17:00:03.99372-04
D16.9	Benign neoplasm of bone and articular cartilage, unspecified	2024-05-01 17:00:03.994008-04	2024-05-01 17:00:03.994008-04
Z20.5	Contact with and (suspected) exposure to viral hepatitis	2024-05-01 17:00:03.994307-04	2024-05-01 17:00:03.994307-04
G93.7	Reye's syndrome	2024-05-01 17:00:03.994752-04	2024-05-01 17:00:03.994752-04
G56.10	Other lesions of median nerve, unspecified upper limb	2024-05-01 17:00:03.995083-04	2024-05-01 17:00:03.995083-04
I70.90	Unspecified atherosclerosis	2024-05-01 17:00:03.995414-04	2024-05-01 17:00:03.995414-04
G56.20	Lesion of ulnar nerve, unspecified upper limb	2024-05-01 17:00:03.99573-04	2024-05-01 17:00:03.99573-04
E72.09	Other disorders of amino-acid transport	2024-05-01 17:00:03.996082-04	2024-05-01 17:00:03.996082-04
T68.XXXA	Hypothermia, initial encounter	2024-05-01 17:00:03.996405-04	2024-05-01 17:00:03.996405-04
T68.XXXD	Hypothermia, subsequent encounter	2024-05-01 17:00:03.996405-04	2024-05-01 17:00:03.996405-04
T68.XXXS	Hypothermia, sequela	2024-05-01 17:00:03.996405-04	2024-05-01 17:00:03.996405-04
E84.9	Cystic fibrosis, unspecified	2024-05-01 17:00:03.996777-04	2024-05-01 17:00:03.996777-04
R31.9	Hematuria, unspecified	2024-05-01 17:00:03.997087-04	2024-05-01 17:00:03.997087-04
H49.10	Fourth [trochlear] nerve palsy, unspecified eye	2024-05-01 17:00:03.997388-04	2024-05-01 17:00:03.997388-04
K56.2	Volvulus	2024-05-01 17:00:03.997682-04	2024-05-01 17:00:03.997682-04
K55.9	Vascular disorder of intestine, unspecified	2024-05-01 17:00:03.997986-04	2024-05-01 17:00:03.997986-04
P77.9	Necrotizing enterocolitis in newborn, unspecified	2024-05-01 17:00:03.998287-04	2024-05-01 17:00:03.998287-04
T46.0X4A	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, initial encounter	2024-05-01 17:00:03.99861-04	2024-05-01 17:00:03.99861-04
T46.0X4D	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, subsequent encounter	2024-05-01 17:00:03.99861-04	2024-05-01 17:00:03.99861-04
T46.0X4S	Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, sequela	2024-05-01 17:00:03.99861-04	2024-05-01 17:00:03.99861-04
E78.3	Hyperchylomicronemia	2024-05-01 17:00:03.999166-04	2024-05-01 17:00:03.999166-04
M79.646	Pain in unspecified finger(s)	2024-05-01 17:00:03.999524-04	2024-05-01 17:00:03.999524-04
S63.619A	Unspecified sprain of unspecified finger, initial encounter	2024-05-01 17:00:03.999844-04	2024-05-01 17:00:03.999844-04
S63.619D	Unspecified sprain of unspecified finger, subsequent encounter	2024-05-01 17:00:03.999844-04	2024-05-01 17:00:03.999844-04
S63.619S	Unspecified sprain of unspecified finger, sequela	2024-05-01 17:00:03.999844-04	2024-05-01 17:00:03.999844-04
D36.9	Benign neoplasm, unspecified site	2024-05-01 17:00:04.000468-04	2024-05-01 17:00:04.000468-04
J03.90	Acute tonsillitis, unspecified	2024-05-01 17:00:04.00081-04	2024-05-01 17:00:04.00081-04
D61.82	Myelophthisis	2024-05-01 17:00:04.001575-04	2024-05-01 17:00:04.001575-04
D48.1	Neoplasm of uncertain behavior of connective and other soft tissue	2024-05-01 17:00:04.002124-04	2024-05-01 17:00:04.002124-04
L92.0	Granuloma annulare	2024-05-01 17:00:04.002414-04	2024-05-01 17:00:04.002414-04
B07.0	Plantar wart	2024-05-01 17:00:04.00281-04	2024-05-01 17:00:04.00281-04
M25.369	Other instability, unspecified knee	2024-05-01 17:00:04.003093-04	2024-05-01 17:00:04.003093-04
M25.319	Other instability, unspecified shoulder	2024-05-01 17:00:04.003391-04	2024-05-01 17:00:04.003391-04
D18.1	Lymphangioma, any site	2024-05-01 17:00:04.003786-04	2024-05-01 17:00:04.003786-04
E22.0	Acromegaly and pituitary gigantism	2024-05-01 17:00:04.004459-04	2024-05-01 17:00:04.004459-04
L51.9	Erythema multiforme, unspecified	2024-05-01 17:00:04.004751-04	2024-05-01 17:00:04.004751-04
L40.9	Psoriasis, unspecified	2024-05-01 17:00:04.005061-04	2024-05-01 17:00:04.005061-04
K92.2	Gastrointestinal hemorrhage, unspecified	2024-05-01 17:00:04.00552-04	2024-05-01 17:00:04.00552-04
E04.1	Nontoxic single thyroid nodule	2024-05-01 17:00:04.005806-04	2024-05-01 17:00:04.005806-04
F10.10	Alcohol abuse, uncomplicated	2024-05-01 17:00:04.006125-04	2024-05-01 17:00:04.006125-04
R55	Syncope and collapse	2024-05-01 17:00:04.00641-04	2024-05-01 17:00:04.00641-04
C44.92	Squamous cell carcinoma of skin, unspecified	2024-05-01 17:00:04.006803-04	2024-05-01 17:00:04.006803-04
Q89.2	Congenital malformations of other endocrine glands	2024-05-01 17:00:04.007111-04	2024-05-01 17:00:04.007111-04
R09.89	Other specified symptoms and signs involving the circulatory and respiratory systems	2024-05-01 17:00:04.007442-04	2024-05-01 17:00:04.007442-04
N21.0	Calculus in bladder	2024-05-01 17:00:04.00775-04	2024-05-01 17:00:04.00775-04
R41.0	Disorientation, unspecified	2024-05-01 17:00:04.008051-04	2024-05-01 17:00:04.008051-04
