licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P05-P1518-2024	BESTZONE PHARMACY	BESTZONE (PVT) LTD	749 BORDER GEZI AVENUE	Pharmacy located in the CBD	BINDURA	01/31/2025	
P05-P1299-2024	BESTZONE PHARMACY	BESTZONE (PVT) LTD	52 ROBERT. MUGABE ROAD	Pharmacy located in the CBD	HARARE	10/31/2025	
P05-P1295-2024	BESTZONE PHARMACY	BESTZONE (PVT) LTD	9 NELSON MANDELA AVENUE	Pharmacy located in the CBD	HARARE	05/31/2025	
P01-P1862-2024	BETHEL PHARMACY	KEVEN MUFUDZA	"SHOP 2, STAND 31, MAGAMBA WAY"	Pharmacy in any other location	CHINHOYI	12/31/2025	
P01-P1402-2024	BETTER LIFE PHARMACY	TENUEL (PVT) LTD	STAND NO. 3086/11	Pharmacy in any other location	KWEKWE	10/31/2025	
I02-P0184-2023	BIKITA MINERALS (PVT) LIMITED	BIKITA MINERALS	"GLEN CLOVA FARM, MASVINGO-MUTARE ROAD"	Clinics: Class C	MASVINGO	09/30/2024	
I02-P0064-2023	BINDURA UNIVERSITY CLINIC	BINDURA UNI. OF SCIENCE EDUCATION	"1 CHIMURENGA RD, OFF TROJAN MINE RD"	Clinics: Class B	BINDURA	09/30/2024	
W01-P0141-2024	BIOPHARM PVT LTD	BIOPHARM (PVT) LTD	43 HIGHFIELD ROAD	Wholesalers	HARARE	03/31/2025	
W01-P0167-2024	BIORAY	BIORAY (PVT) LTD	"UNIT 4, 9 CONALD ROAD GRANITESIDE"	Wholesalers	HARARE	03/31/2025	
D01-P0026-2023	BIRCHENOUGH BRIDGE FAMILY SURGERY	RUMBIDZAI MUSVOSVI	STAND 184	Dispensing medical practice	BIRCHENOUGH	06/30/2024	
P06-P0795-2024	BIRCHENOUGH BRIDGE PHARMACY	RONETHIA INVESTMENTS (PVT) LTD	191 BIRCHENOUGH BRIDGE	Pharmacy in rural area	CHIPINGE	04/30/2025	
I02-P0078-2023	BLANKET MINE (1983) PVT LTD CLINIC	BLANKET MINE (1983) PVT LTD	OLD GWANDA RD	Clinics: Class B	GWANDA	09/30/2024	
P05-P2003-2024	BLUE OCEAN PHARMACY	BLUE OCEAN PHARMACEUTICALS (PVT) LTD	"SHOP G02, CORNER ANGWA/KWAME NKURUMAH"	Pharmacy located in the CBD	HARARE	01/31/2025	
W01-P0145-2024	BLUE OCEAN Wholesalers	BLUE OCEAN PHARMACEUTICAL (PVT) LTD	SHOP G02 ANGWA CITY CNR ANGWA/KWAME NKURUMA	Wholesalers	HARARE	03/31/2025	
P01-P1568-2024	BLUELIGHT PHARMACY	BITS SOLUTIONS (PVT) LTD	"STAND A2, CHIKONOHONO"	Pharmacy in any other location	CHINHOYI	11/30/2025	
P01-P1787-2024	BLUELIGHT PHARMACY	BITS SOLUTIONS P/L	STAND 11828 RUJEKO	Pharmacy in any other location	CHINHOYI	11/30/2025	
I02-P0207-2024	BON ACCORD CLINIC	DELTA BEVERAGES (PVT) LTD	NO. 1 BON ACCORD ROAD	Clinics: Class B	BULAWAYO	09/30/2024	
P06-P1625-2024	BONDA PHARMACY	EXPRESS PHARMACEUTICALS (PVT) LTD	NO 1 BONDA MissION FARM	Pharmacy in rural area	NYANGA	09/30/2025	
P01-P1210-2024	BOOTIES MONTAGU PHARMACY	DECRIRE ENTERRISES (PVT LTD	SHOP 7 MONTAGU SHOPPING CENTRE	Pharmacy in any other location	HARARE	01/31/2025	
P05-P1106-2023	BOOTIES PHARMACY	SHAPE PHARMACEUTICALS (PVT) LTD	"SHOP NO. 4,86 R.G. MUGABE WAY BTWN 8TH & 9TH AVE"	Pharmacy located in the CBD	BULAWAYO	12/31/2025	
P01-P1102-2023	BOOTIES PHARMACY	ELS PHARMACIES (PVT) LTD	1 GOWERO HSE 148 MBUYA NEHANDA ST	Pharmacy in any other location	HARARE	04/30/2025	
P05-P1200-2024	BOOTIES PHARMACY - BULAWAYO	SHUTPEN ENTREPRISES (PVT) LTD	SHOP 104B FORT STREET BTWN 8TH & 9TH AVE	Pharmacy located in the CBD	BULAWAYO	03/31/2025	
P05-P1202-2024	BOOTIES PHARMACY - EASTGATE	SHUTPEN ENTERPRISES (PVT) LTD	"SHOP 26 EASTGATE MARKET, R. MUGABE RD"	Pharmacy located in the CBD	HARARE	01/31/2025	
P05-P1203-2024	BOOTIES PHARMACY - FIRST STREET	SHAPE PHARMACEUTICALS (PVT) LTD	56 CNR SPEKE & FIRST STREET SHOP 5	Pharmacy located in the CBD	HARARE	07/31/2025	
P05-P1189-2024	BOOTIES PHARMACY - MASVINGO	SHAPE PHARMACEUTICALS (PVT) LTD	STAND NO. 346	Pharmacy located in the CBD	MASVINGO	01/31/2025	
P05-P1191-2024	BOOTIES PHARMACY - MUTARE	SHUTPEN (PVT) LTD	NO 89 HEBERT CHITEPO ROAD	Pharmacy located in the CBD	MUTARE	09/30/2025	
P01-P1205-2024	BOOTIES PHARMACY BORROWDALE	MASMAG INVESTMENTS (PVT) LTD	SHOP 10 VILLAGE WALK BORROWDALE	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1190-2024	BOOTIES PHARMACY WESTGATE	MASMAG INVESTMENTS (PVT) LTD	SHOP MP013 WESTGATE SHOPPING CENTRE	Pharmacy in any other location	HARARE	03/31/2025	
H01-P0026-2024	BORROWDALE PVT HOSP & CRITICAL CARE	BORROWDALE CRITICAL CARE	1 WENHAM CLOSE BORROWDALE	Hospital pharmacies	HARARE	05/31/2025	
P01-P1397-2024	BR PHARMACY	BLES RAN INVESTMENTS	73B ASHOKA BUILDING LOBENGULA STREET	Pharmacy in any other location	BULAWAYO	06/30/2025	
P01-P1398-2024	BR PHARMACY- HYPER	BLES RAN INVESTMENTS	SHOP NO 5 ATHOL BLD 118 FORT STREET	Pharmacy in any other location	BULAWAYO	06/30/2025	
P06-P0000-2024	BREENYMART PHARMACY	BREENYMART (PVT) LTD	1715 WADZANAYI SHOPPING CENTRE	Pharmacy in rural area	SHAMVA	11/30/2025	
P01-P1937-2024	BRICE PHARMACY	BRICE VISION BUS. CORPORATIO	SHOP NO. 120 CBD	Pharmacy in any other location	KWEKWE	10/31/2025	
P01-P1890-2024	BRICE PHARMACY	BRICE VISION PBC	6878 MKOBA 6	Pharmacy in any other location	534	07/31/2025	
P01-P1976-2024	BRIGHT PHARMACY - CHIVHU	MORCY HEALTH CARE	352 MAIN STREET	Pharmacy in any other location	CHIVHU	02/28/2025	
P06-P0182-2024	BRUCE PHARMACY	GRANNIWELL NHEMA (PBC)	STAND NO.185	Pharmacy in rural area	0	02/28/2025	
P01-P1321-2024	BUDIRIRO PHARMACY	LENAP TRADING (PVT) LTD	"SHOP 1 9195 BUDIRIRO 5, BUDIRIRO"	Pharmacy in any other location	HARARE	10/31/2025	
P05-P1445-2024	BULAWAYO CENTRE PHARMACY	TARADALE INVESTMENTS P/L	SHOP 56 BULAWAYO CENTRE 94 MAIN STREET	Pharmacy in any other location	BULAWAYO	02/28/2025	
I02-P0178-2023	BULAWAYO MINING COMPANY	BULAWAYO MINING COMPANY	UMZINGWANE DISTRICT	Clinics: Class B	BULAWAYO	09/30/2024	
P05-P1350-2024	BULAWAYO ONCOLOGY PHARMACY	HARARE ONCOLOGY PHARMACY (PVT) LTD	"12-9TH AVENUE, SHOP 1 RHODES BLD"	Pharmacy located in the CBD	BULAWAYO	05/31/2025	
P01-P1242-2024	C.G. PHARMACY	CAROLINE AND GODFREY PHARMACY	"B16-17 1A MERSEY BLD, PARKTOWN WATERFALLS"	Pharmacy in any other location	HARARE	02/28/2025	
I02-P0159-2023	CALUNDIKE EXPORTS CLINIC	CALUNDIKE EXPORTS (PVT) LTD	171 MUPFUTI ROAD	Clinics: Class B	RUWA	09/30/2024	
P01-P1300-2024	CAPITAL PHARMACY	CAPITAL PHARMACEUTICALS (PVT) LTD	219 CHIRODZERO BUSS CENTRE	Pharmacy in any other location	DOMBOSHAWA	03/31/2025	
P01-P1306-2024	CAPITAL PHARMACY - RETREAT	CAPITAL PHARMACEUTICALS (PVT) LTD	1934 RETREAT TOWNSHIP	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1717-2024	CARDINAL HEALTHCARE PHARMACY	CARDINAL HEALTHCARE PHARMACY P/L	STD 1746 RUNYARARO SHOPS	Pharmacy in any other location	RUWA	06/30/2025	
P06-P0170-2024	CAREFIRST PHARMACY	CAREFIRST PHARMACY (PVT) LTD	SHOP NO 5 NGENA COMPLEX	Pharmacy in any other location	MBERENGWA	02/28/2025	
P05-P1571-2024	CAREFIRST PHARMACY	CAREFIRST PHARMACY (PVT) LTD	NO. 106 MAINGE STREET	Pharmacy located in the CBD	KADOMA	01/31/2025	
P01-P1539-2024	CARELINK PHARMACY - HWANGE	PROXIMA HEALTH (PVT) LTD	2111 EMPUMALANGA	Pharmacy in any other location	HWANGE	10/31/2025	
P06-P1400-2024	CAREMARK PHARMACY	CAREMARQUE (PVT) LTD	STAND 60 NGUNDU BUSINESS CENTRE	Pharmacy in rural area	NGUNDU	12/31/2025	
P01-P1566-2024	CAREMART PHARMACY	CAREMART PHARMACY (PVT) LTD	SHOP 2 KAMFINSA ARDACE ARCTURUS RD	Pharmacy in any other location	HARARE	12/31/2025	
P05-P1537-2024	CAREPOINT PHARMACY	CAPROMED (PVT) LTD		Pharmacy located in the CBD	HARARE	02/28/2025	
P05-P1543-2024	CAREPOINT PHARMACY	CAPROMED (PVT) LTD	"STD 2363, 29 SPEKE AVENUE CNR J. NYERERE ST"	Pharmacy located in the CBD	HARARE	08/31/2025	
P05-P1835-2024	CAREPOINT PHARMACY	CAPROMED (PVT) LTD	STD 487A CNR CHINHOYI ST & R. MUGABE ST	Pharmacy located in the CBD	HARARE	01/31/2025	
P05-P1227-2024	CAREWELL PHARMACY	CAREWELL PHARMACY (PVT) LTD	146 MBUYA NEHANDA ST	Pharmacy located in the CBD	HARARE	01/31/2025	
P01-P1510-2024	CAREWELL PHARMACY	CAREWELL PHARMACY (PVT) LTD	"LOT 4 KIRKMAN RD, SHOP 3, SANGANAYI INN SHOPS TYNWALD"	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1232-2024	CAREWELL PHARMACY- AVONLEA	CAREWELL PHARMACY (PRIVATE) LIMITED	SHOP NO 9A AVONLEA SHOPPING MALL	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1817-2024	CAREXPRESS PHARMACY	CAREXPRESS PHARMACY (PVT) LTD	"STD NO 3325, 27 K. KAUNDA, SHOP NO.1"	Pharmacy in any other location	HARARE	09/30/2025	
