name,longitude,latitude,address,category,vha,phone,lastColumn
Foothills,31.27804946900,-17.21320000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Freda Rebecca,31.33197975160,-17.30967000000,"Bindura, Mashonaland Central Province, ZW",Mine Clinic,FALSE,,
Manhenga,31.31217002870,-17.39605000000,"Manhenga, Mashonaland Central Province, ZW",Clinic,FALSE,,
ZRP Bindura,31.32880020140,-17.29583000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Muonwe,31.25351905820,-17.52205000000,"Chinamhora, Goromonzi, Mashonaland East Province, ZW",Clinic,FALSE,,
Nyava,31.36051940920,-17.56392000000,"Melfort, Goromonzi, Mashonaland Central Province, ZW",Clinic,FALSE,,
Rusununguko,31.28075027470,-17.06137000000,"Mtepatepa, Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Rutope,31.56554985050,-17.55588000000,"Mhembere, Goromonzi, Mashonaland East Province, ZW",Clinic,FALSE,,
Trojan,31.28507995610,-17.33128000000,"Bindura, Mashonaland Central Province, ZW",Mine Clinic,FALSE,,
ZRP,31.32885000000,-17.29495000000,"Bindura, Mashonaland Central Province, ZW",Clinic Private Clinic,FALSE,,
Mupandira,31.30719000000,-17.45981600000,"Madziwa Road, ZW",Rural Health Centre,FALSE,,
Ponai Medical Centre,31.33509000000,-17.30905000000,"Bindura, Mashonaland Central Province, ZW",Private Hospital,FALSE,,
PSMI Shashi,31.32199000000,-17.30241000000,"Bindura, Mashonaland Central Province, ZW",Private Hospital,FALSE,,
Premier Medical Centre,31.33340000000,-17.30767000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
ZNFPC,31.33429000000,-17.31039000000,"Bindura, Mashonaland Central Province, ZW",Family Planning,FALSE,,
Bindura University,31.33306000000,-17.32484000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Zimbabwe Prison Services,31.32640000000,-17.29262000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Manga,31.25575000000,-16.88900000000,"Mtepatepa, Bindura, Mashonaland Central Province, ZW",,FALSE,,
Katanya,31.38008000000,-16.86920000000,"Mtepatepa, Bindura, Mashonaland Central Province, ZW",Rural Health Centre,FALSE,,
Takunda ,31.15220000000,-17.23160000000,"Bindura, Mashonaland Central Province, ZW",Rural Health Centre,FALSE,,
Busce ,31.33300000000,-17.32490000000,"Bindura, Mashonaland Central Province, ZW",Clinic,FALSE,,
Glamorgan,31.42360000000,-17.43940000000,"Pagariya Nelge Plaza, Pagariya Nelge Plaza pune nashik highway, NH50 Hereford Road, ZW",Clinic,FALSE,,
Binga,27.32666969300,-17.63944000000,"Binga, Matabeleland North Province, ZW",District Hospital,FALSE,,
Chinego,28.07500076290,-17.19472000000,"Chief Simupas Village, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Chinego,28.07500076290,-17.19472000000,"Chief Simupas Village, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Kariangwe,27.53499984740,-17.96972000000,"Kariyangwe Mission, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Lubimbi,27.19194030760,-17.94944000000,"Mibizi, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Lusulu,27.86222076420,-18.06833000000,"Lusulu, Binga, Matabeleland North Province, ZW",Rural Health centre,FALSE,,
Muchesu,27.68917083740,-17.94778000000,"Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Pashu,27.40056037900,-18.20806000000,"Pashu, Binga, Matabeleland North Province, ZW",Rural Health centre,FALSE,,
Siabuwa,28.04388999940,-17.47472000000,"Siabuwa, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Siansundu,27.21916961670,-17.98333000000,"Mlibizi, Binga, Matabeleland North Province, ZW",Rural Health centre,FALSE,,
Sikomena,27.65647000000,-18.18549000000,"Binga, Matabeleland North Province, ZW",Council Clinic(Construction),FALSE,,
Tinde,27.18206000000,-18.26125000000,"Tinde, Hwange, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Sinakoma,27.60401000000,-17.69109000000,"Impampa, Binga, Matabeleland North Province, ZW",Council Clinic,FALSE,,
Siabuwa Turn,27.43380000000,-17.69461000000,"Manjolo, Binga, Matabeleland North Province, ZW",Council Clinic,FALSE,,
Simatelele,27.25738000000,-17.78883000000,"James, Binga, Matabeleland North Province, ZW",Clinic,FALSE,,
Chibila,27.71811000000,-18.17046000000,"Binga, Matabeleland North Province, ZW",Council (Construction),FALSE,,
Siabuzuba,27.43390000000,-17.69480000000,"Manjolo, Binga, Matabeleland North Province, ZW",clinic,FALSE,,
Sinasengwe,27.82320000000,-17.56890000000,"Chief Sinasenkwe, Binga, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Inyathi,28.85610961910,-19.68500000000,"Inyati, Bubi, Matabeleland North Province, ZW",District Hospital,FALSE,,
Isabella Mine,28.54944038390,-19.46111000000,"Eastnor, Bubi, Matabeleland North Province, ZW",Mine Clinic,FALSE,,
Lukala,28.41222000120,-19.26389000000,"Ngiki, Bubi, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Mbembeswana,28.40193939210,-19.33056000000,"Ngiki, Bubi, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
PEHO,28.75250053410,-19.80333000000,"Queens Mine, Bubi, Matabeleland North Province, ZW",,FALSE,,
Sicanda,28.47528076170,-19.33583000000,"Ngiki, Bubi, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Turk Mine,28.79388999940,-19.71306000000,"Turk Mine, Bubi, Matabeleland North Province, ZW",Mine Clinic,FALSE,,
Mdutshane,28.63129000000,-19.47221000000,"Eastnor, Bubi, Matabeleland North Province, ZW",Clinic,FALSE,,
Balanda,28.51540000000,-19.45220000000,"Eastnor, Bubi, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Majiji,28.34680000000,-19.37740000000,"Dabula, Bubi, Matabeleland North Province, ZW",Clinic,FALSE,,
Raafs,28.64630000000,-19.88480000000,"Queens Mine, Bubi, Matabeleland North Province, ZW",Rural Health Centre,FALSE,,
Bangure,31.77325057980,-19.53564000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Betera,32.00122070310,-19.37372000000,"Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Birchenough,32.33853149410,-19.97181000000,"Birchenough Bridge, Chimanimani, Manicaland Province, ZW",Rural Hospital,FALSE,,
Buhera,31.43592071530,-19.33897000000,"Buhera, Manicaland Province, ZW",Rural Hospital,FALSE,,
Chabata,32.15781021120,-19.78603000000,"Baruru, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chapanduka,32.16894149780,-19.68356000000,"Baruru, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chapwanya,31.35243988040,-19.17197000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chimbudzi,31.80422019960,-19.47289000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chirozva,32.00093841550,-19.45672000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chiwenga,31.98941993710,-19.23839000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chiweshe,31.88455963130,-19.22269000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Dorowa,31.76822090150,-19.05431000000,"Dorowa, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Garamwera,31.40218925480,-19.20661000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Gombe,31.53335952760,-19.23786000000,"Murambinda, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Gunura,32.30699920650,-19.87439000000,"Birchenough Bridge, Chimanimani, Manicaland Province, ZW",Clinic,FALSE,,
Madzimbashuro,31.65630912780,-19.43503000000,"Murambinda, Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Viriri,31.75628089900,-19.40594000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Zangama,32.11957931520,-19.56878000000,"Baruru, Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Mombeyarara,31.60378074650,-19.20428000000,"Murambinda, Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Mudanda,31.71755981450,-19.39111000000,"Murambinda, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Munyanyi,31.73460960390,-19.15669000000,"Murambinda, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Murambinda,31.65555953980,-19.26678000000,"Murambinda, Buhera, Manicaland Province, ZW",District Hospital,FALSE,,
Murwira,31.83353042600,-19.53361000000,"Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Mutepfe,31.96869087220,-19.76764000000,"Baruru, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Mutiusinazita,32.06731033330,-19.72489000000,"Baruru, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Muzokomba,31.97167015080,-19.58381000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Nerutanga,31.35038948060,-19.28703000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Nyashanu,31.53828048710,-19.28339000000,"Murambinda, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Rambanapasi,31.65449905400,-19.13994000000,"Murambinda, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Mudawose,32.09959000000,-19.47415000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Berenyazvidzi,31.73770000000,-19.05373000000,"Dorowa, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chawatama,31.59920000000,-19.13214000000,"Murambinda, Buhera, Manicaland Province, ZW",Rural Health Centre,FALSE,,
Nyashanu,31.87122000000,-19.28324000000,"Buhera, Manicaland Province, ZW",Rural Hosp,FALSE,,
Ndyarima,31.70484000000,-19.49465000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Maburutse,31.24850000000,-19.24951000000,"Manicaland Province, ZW",Clinic,FALSE,,
Lady Stanley,27.58740000000,-20.00000000000,"Gempo, Bulilimamangwe, Matabeleland South Province, ZW",Mission Hospital,FALSE,,
Lady Barring,27.32830000000,-19.94806000000,"Siringa, Bulilimamangwe, Matabeleland South Province, ZW",Mission Hospital,FALSE,,
Brunapeg,28.03306007390,-21.16944000000,"Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW",Mission Hospital,FALSE,,
Dingumuzi,27.80888938900,-20.50250000000,"Plumtree, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Dombodema,27.62221908570,-20.40417000000,"Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Embakwe,27.82110977170,-20.77917000000,"Bulilimamangwe, Matabeleland South Province, ZW",Mission Hospital,FALSE,,
Empandeni,27.90278053280,-20.70778000000,"Matole, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Hingwe,27.30167007450,-20.14500000000,"Hingwe, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Huwana,27.46556091310,-19.89528000000,"Hlananisas, Tsholotsho, Matabeleland South Province, ZW",Clinic,FALSE,,
Ingwizi,27.87083053590,-21.11917000000,"Ngwesi, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Madabe,27.75333023070,-20.81444000000,"Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Madlambuzi,27.44333076480,-20.15111000000,"Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Makhuleka,27.26861000060,-19.90611000000,"Makvlela, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Mambale,28.28471946720,-21.47833000000,"Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Marula,28.09361076350,-20.47250000000,"Marula, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Matshinge,27.71916961670,-20.21028000000,"Bezha, Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Mayobodo,28.15155000000,-21.36330000000,"Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Ndiweni,27.75082969670,-20.36611000000,"Plumtree, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Ndolwane,27.32832908630,-19.94806000000,"Siringa, Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Nswazwi,27.35250091550,-20.39194000000,"Malalume, Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Ntoli,27.58749961850,-20.00000000000,"Gempo, Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Plumtree,27.80888938900,-20.49667000000,"Plumtree, Bulilimamangwe, Matabeleland South Province, ZW",District Hospital,FALSE,,
Sikhatini,27.89916992190,-20.35278000000,"Mathole, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Solusi,28.16028022770,-20.19278000000,"Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Tshitshi,27.74806022640,-21.00333000000,"Sheleni, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Village 13,27.52388954160,-20.39056000000,"Malalume, Bulilimamangwe, Matabeleland South Province, ZW",Rural Health Centre,FALSE,,
Bango,28.13474000000,-21.25769000000,"Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Masendu,27.53517000000,-20.13567000000,"Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Bezu,27.87091000000,-20.23436000000,"Bezha, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
SANZUKWI,28.00213000000,-21.10654000000,"Brunapeg, Bulilimamangwe, Matabeleland South Province, ZW",Clinic,FALSE,,
Chadereka,31.20216941830,-16.16700000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Chawarura,31.11017036440,-16.51850000000,"Maclear, Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
David Nelson,31.11667060850,-16.72950000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Hoya,31.30266952510,-16.35700000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Hwata,30.95999908450,-16.32367000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Machaya,31.16200065610,-16.35067000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Muzarabani,30.89249992370,-16.39250000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
St Alberts,31.26667022710,-16.57083000000,"Maclear, Centenary, Mashonaland Central Province, ZW",Mission Hospital,FALSE,,
Chinyani,31.20588000000,-16.58268000000,"Maclear, Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
Dambakurima,31.08856000000,-16.14613000000,"Centenary, Mashonaland Central Province, ZW",Rural Health Centre,FALSE,,
Chidikamwedzi,30.96166000000,-16.80012000000,"Taikoo, Guruve, Mashonaland Central Province, ZW",Clinic,FALSE,,
Always ,31.00230000000,-16.67360000000,"Centenary, Mashonaland Central Province, ZW",Clinic,FALSE,,
BHP,30.43416976930,-18.03611000000,"Selous, Chegutu, Mashonaland West Province, ZW",Private Clinic,FALSE,,
Chegutu,30.14944076540,-18.12861000000,"Chegutu, Mashonaland West Province, ZW",District Hospital,FALSE,,
Chegutu DC,30.14555931090,-18.13611000000,"Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Chegutu Urban,30.14193916320,-18.12083000000,"Chinengundu, Chegutu, Mashonaland West Province, ZW",Municipality-clinic,FALSE,,
Chibero,30.66139030460,-18.09583000000,"Matswaire, Chegutu, Mashonaland West Province, ZW",Clinic,FALSE,,
Chikara,30.70000076290,-18.47028000000,"mhondoro, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Chikwava,30.76972007750,-18.45056000000,"Chakara, Chegutu, Mashonaland West Province, ZW",Private Clinic,FALSE,,
Chivero,30.60416984560,-18.17944000000,"Matswaire, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
David Whitehead,30.12888908390,-18.14167000000,"Chegutu, Mashonaland West Province, ZW",Private Clinic,FALSE,,
Doribwe,30.28083038330,-17.94361000000,"Makwiro, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Gora,30.72999954220,-18.42417000000,"Chakara, Chegutu, Mashonaland West Province, ZW",Rural Health Centre,FALSE,,
Helenadrof,30.67610931400,-17.87361000000,"Norton, Chegutu, Mashonaland West Province, ZW",Clinic,FALSE,,
Hunyani,30.70000076290,-17.85778000000,"4PR2+X39, Galloway Rd, Norton, ZW",Private Clinic,FALSE,,
Katangautano,30.66832923890,-17.88250000000,"Bus and Taxi Station, Norton, ZW",Municipality,FALSE,,
Watyoka,30.68638992310,-18.32444000000,"Malube, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Mbuyanehanda,30.21582984920,-17.92139000000,"36H8+F47, Mbuya Nehanda Rd, Chegutu, ZW",Rural Health Centre,FALSE,,
Mhondoro,30.58860969540,-18.31833000000,"mhondoro, Chegutu, Mashonaland West Province, ZW",Rural Hospital,FALSE,,
Mhondoro North,30.69388961790,-18.16944000000,"Marirangwe Rd, ZW",Council Clinic,FALSE,,
Monera,30.73193931580,-18.11389000000,"Marirangwe Rd, ZW",Council Clinic,FALSE,,
Msengezi,30.10250091550,-17.94944000000,"Gadzema, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Msengezi,30.32305908200,-17.94944000000,"Makwiro, Chegutu, Mashonaland West Province, ZW",Mission Hospital,FALSE,,
Mupawose,30.50250053410,-18.48056000000,"Neuso Business Centre, Kadoma, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Musinami,30.49888992310,-18.30306000000,"Chinengundu, Chegutu, Mashonaland West Province, ZW",Rural Health Centre,FALSE,,
Norton,30.68750000000,-17.88694000000,"4M7P+4X7, Galloway Rd, Norton, ZW",Municipality,FALSE,,
Pfupajena,30.13582992550,-18.12444000000,"Chegutu, Mashonaland West Province, ZW",Municipality-clinic,FALSE,,
Rwizi,30.63055992130,-18.44833000000,"Chakara, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Sandringham,30.66167068480,-18.08361000000,"Matswaire, Chegutu, Mashonaland West Province, ZW",Mission Clinic,FALSE,,
Selous,30.44861030580,-18.06861000000,"Selous, Chegutu, Mashonaland West Province, ZW",Council Clinic,FALSE,,
Suri-Suri,29.97694015500,-18.15806000000,"Dodington, Kadoma, Mashonaland West Province, ZW",Airforce-clinic,FALSE,,
Brunswick,30.04442000000,-18.22281000000,"Chigwell, Kadoma, Mashonaland West Province, ZW",Clinic,FALSE,,
Homedale,30.48453000000,-18.18780000000,"Ngezi Turf, Chegutu, Mashonaland West Province, ZW",Clinic,FALSE,,
Shamrock,29.97025000000,-17.90262000000,"Chegutu, Mashonaland West Province, ZW",Under Construction,FALSE,,
Lizmore,29.96793000000,-18.02337000000,"Dodhill, Chegutu, Mashonaland West Province, ZW",Clinic,FALSE,,
Elvington Clinic,30.13703000000,-18.02175000000,"Gadzema, Chegutu, Mashonaland West Province, ZW",Gold Mine Clinic,FALSE,,
Bvumbura,31.27388954160,-19.13572000000,"Nharira, Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Chambara,31.00464057920,-18.86886000000,"The Range, Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Chivhu,30.90271949770,-19.01814000000,"Chivhu, Chikomba, Mashonaland East Province, ZW",General Hospital,FALSE,,
Chivhu,30.90644073490,-19.00511000000,"Chivhu, Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Daramombe,31.32369041440,-19.10703000000,"Buhera, Mashonaland East Province, ZW",Mission Clinic,FALSE,,
Gandachibvuva,31.43643951420,-19.10203000000,"Buhera, Manicaland Province, ZW",Mission Hospital,FALSE,,
Gandami,31.26761054990,-18.72261000000,"Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Gokomere,31.35333061220,-19.05353000000,"Buhera, Mashonaland East Province, ZW",Clinic,FALSE,,
Lancashire,31.15356063840,-19.18906000000,"Nharira, Manicaland Province, ZW",Clinic,FALSE,,
Madamombe,31.10038948060,-19.11844000000,"Nharira, Manicaland Province, ZW",Clinic,FALSE,,
Masasa,31.25441932680,-18.90750000000,"Sadza, Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Wazvaremaka,31.23793983460,-19.00200000000,"Nharira, Manicaland Province, ZW",Clinic,FALSE,,
Wiltshire,31.17144012450,-18.87272000000,"Sadza, Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Mbiru,31.20158004760,-18.95808000000,"Nharira, Chikomba, Manicaland Province, ZW",Clinic,FALSE,,
Mufudziwakanaka,31.60444068910,-18.84150000000,"Chikomba, Mashonaland East Province, ZW",Rural Health Centre,FALSE,,
Murezi,31.05356025700,-19.20133000000,"Gutu, Mashonaland East Province, ZW",Clinic,FALSE,,
Mushipe,31.68363952640,-19.02072000000,"Buhera, Mashonaland East Province, ZW",Clinic,FALSE,,
Musuma,31.51968955990,-19.15311000000,"Buhera, Manicaland Province, ZW",Clinic,FALSE,,
Mutoro,31.08382987980,-18.85592000000,"Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
Mwerahari,31.23664093020,-19.05522000000,"Nharira, Manicaland Province, ZW",Mission Clinic,FALSE,,
Nhangabwe,31.50555992130,-18.85081000000,"Rundu, Chikomba, Mashonaland East Province, ZW",Rural Health Centre,FALSE,,
Nharira,31.17119026180,-19.07433000000,"Nharira, Manicaland Province, ZW",Rural Hospital,FALSE,,
Nyamhere,31.00374984740,-18.81919000000,"New Featherstone, Chikomba, Mashonaland East Province, ZW",Clinic,FALSE,,
