num_patients	page	task definition	warning signs avg ms	warning signs median ms	brief history avg ms	brief history median ms	height and weight avg ms	height and weight median ms	measure vitals avg ms	measure vitals median ms
10	25-lump-swelling-in-neck-axilla-or-groin	Check for urgent groin lump conditions	114	112	111	112	121	111	215	214
10	40-covid-19-diagnosis	Check for presence of Covid-19	107	103	107	105	121	122	211	210
10	65-leg-symptoms	Check for urgent leg symptom conditions	134	112	110	109	144	138	261	256
10	159-antenatal-care	Check for urgent antenatal conditions	114	112	132	117	127	131	225	226
10	44-abdominal-pain	Check for urgent abdominal pain conditions	192	177	103	103	116	104	220	215
10	51-abnormal-vaginal-discharge	Check for urgent female genitalia conditions	110	107	123	118	132	133	224	217
10	33-ear-symptoms	Check for urgent ear symptom conditions	139	110	119	115	130	126	230	219
10	34-nose-symptoms	Check for urgent nose conditions	136	118	129	118	149	133	313	311
10	83-self-harm-or-suicide	Check for urgent self-harm or suicide conditions	126	121	123	114	125	120	249	251
10	31-eye-vision-symptoms	Check for urgent eye or vision conditions	118	113	114	109	123	120	264	264
10	78-crusts-or-flaky-skin	Check for urgent skin conditions with crusts or flaky skin	119	114	117	117	132	130	240	241
10	64-neck-pain-arm-hand	Check for urgent arm or hand symptom conditions	128	115	115	109	147	137	251	250
10	64-neck-pain-arm-hand	Check for urgent neck pain conditions	140	133	159	122	132	125	250	262
10	30-headache	Check for urgent headache conditions	143	139	123	122	132	125	296	292
10	32-face-symptoms	Check for urgent face symptom conditions	119	115	117	120	143	141	310	306
10	35-mouth-or-throat-symptoms	Check for urgent mouth or throat conditions	137	122	112	112	140	130	255	258
10	46-diarrhoea	Check for urgent diarrhoea conditions	136	121	121	112	114	108	235	228
10	38-cough-or-difficulty-breathing	Check for urgent cough/breathing conditions	214	214	137	122	117	117	223	207
10	22-bites-and-stings	Check for urgent bite/sting conditions	141	139	122	110	148	117	241	237
10	22-bites-and-stings	Check for snake bite	177	166	119	117	128	121	218	214
10	62-joint-symptoms	Check for urgent joint conditions	126	118	120	116	137	131	262	254
10	67-skin-symptoms	Check for urgent skin symptom conditions	133	122	131	120	131	131	268	254
10	75-skin-ulcer-or-non-healing-wound	Check for urgent skin ulcer and wound conditions	129	121	114	115	155	126	295	287
10	74-skin-lumps	Check for urgent skin lump conditions	114	116	105	105	128	123	275	274
10	74-skin-lumps	Measure lesion size	121	119	112	112	130	133	272	270
10	50-genital-symptoms-man	Check for urgent genital symptoms in a man	135	118	112	114	136	127	232	224
100	63-back-pain	Check for urgent back pain conditions	137	131	115	112	120	110	244	236
100	57-abnormal-vaginal-bleeding	Check for urgent vaginal bleeding conditions	141	136	117	109	113	110	222	217
100	28-collapse-falls	Check for urgent collapse conditions	185	174	109	105	115	111	252	242
100	26-weakness-or-tiredness	Check for urgent weakness/tiredness conditions	120	111	113	108	122	118	241	240
100	21-burns	Check for urgent burn conditions	148	142	111	108	115	111	261	256
100	21-burns	Measure Bloody Oxygen Saturation due to burns	153	147	116	114	112	111	254	255
100	19-seizures	Check for urgent seizure conditions	123	113	116	114	129	128	223	217
100	48-constipation-and-anal-symptoms	Check for urgent constipation conditions	118	110	113	111	124	124	223	223
100	48-constipation-and-anal-symptoms	Check for urgent anal conditions	118	110	114	111	125	126	217	219
100	37-chest-pain	Check for urgent chest pain conditions	185	175	119	115	115	113	231	227
100	41-acute-covid-19	Check for urgent acute Covid-19 conditions	124	114	118	116	134	132	280	274
100	80-scalp-symptoms	Check for urgent scalp conditions	124	113	117	115	131	128	236	227
100	36-gum-teeth-symptoms	Check for urgent dental conditions	125	116	116	116	136	131	274	272
100	79-changes-in-skin-colour	Check for urgent skin colour change conditions	134	119	120	118	140	138	291	286
100	59-urinary-symptoms	Check for urgent urinary symptom conditions	128	117	121	119	139	135	280	279
100	137-ischaemic-heart-disease	Check for urgent ischaemic heart disease conditions	130	121	126	120	125	121	232	233
100	42-ongoing-covid-19-symptoms	Check for urgent ongoing Covid-19 symptoms	126	116	117	115	145	135	259	254
100	39-wheeze-or-tight-chest	Check for urgent wheeze or tight chest conditions	141	129	121	118	128	120	237	242
100	82-nail-symptoms	Check for urgent nail symptom conditions	124	113	114	111	134	132	296	290
100	164-postnatal-care	Check for urgent postnatal conditions	121	113	119	118	134	132	228	226
100	139-peripheral-vascular-disease	Check for urgent peripheral vascular disease conditions	122	117	118	116	132	128	230	231
100	86-low-mood-stress-and-anxiety	Check for urgent low mood, stress and anxiety conditions	136	125	127	123	147	142	253	254
100	66-foot-symptoms	Check for urgent foot symptom conditions	129	117	122	119	145	141	303	299
100	73-drug-rash	Check for urgent drug rash conditions	137	130	125	120	125	121	277	275
100	45-nausea-or-vomiting	Check for urgent nausea or vomiting conditions	241	226	122	116	129	123	981	944
100	29-dizziness	Check for urgent dizziness conditions	202	193	126	125	123	119	225	218
100	25-lump-swelling-in-neck-axilla-or-groin	Check for urgent groin lump conditions	127	121	135	130	141	141	244	242
100	40-covid-19-diagnosis	Check for presence of Covid-19	129	121	131	130	150	147	237	235
100	65-leg-symptoms	Check for urgent leg symptom conditions	126	120	124	122	143	143	257	251
100	159-antenatal-care	Check for urgent antenatal conditions	120	116	122	122	140	141	230	230
100	44-abdominal-pain	Check for urgent abdominal pain conditions	196	191	120	119	128	123	717	698
100	51-abnormal-vaginal-discharge	Check for urgent female genitalia conditions	120	116	124	123	142	143	222	223
100	33-ear-symptoms	Check for urgent ear symptom conditions	123	118	128	126	143	143	228	228
100	34-nose-symptoms	Check for urgent nose conditions	129	121	124	124	144	142	282	280
100	83-self-harm-or-suicide	Check for urgent self-harm or suicide conditions	124	121	124	123	143	145	237	237
100	31-eye-vision-symptoms	Check for urgent eye or vision conditions	124	120	121	121	142	144	261	257
100	78-crusts-or-flaky-skin	Check for urgent skin conditions with crusts or flaky skin	125	118	124	124	144	144	240	239
100	64-neck-pain-arm-hand	Check for urgent arm or hand symptom conditions	134	129	127	126	149	146	259	252
100	64-neck-pain-arm-hand	Check for urgent neck pain conditions	136	128	135	130	148	145	235	232
100	30-headache	Check for urgent headache conditions	148	139	126	125	133	129	260	256
100	32-face-symptoms	Check for urgent face symptom conditions	132	123	127	125	146	145	278	274
100	35-mouth-or-throat-symptoms	Check for urgent mouth or throat conditions	132	122	127	126	151	145	255	253
100	46-diarrhoea	Check for urgent diarrhoea conditions	145	138	128	128	133	129	234	233
100	38-cough-or-difficulty-breathing	Check for urgent cough/breathing conditions	237	229	132	132	130	128	735	711
100	22-bites-and-stings	Check for urgent bite/sting conditions	158	155	128	128	130	126	242	241
100	22-bites-and-stings	Check for snake bite	161	157	135	133	126	124	246	245
100	62-joint-symptoms	Check for urgent joint conditions	137	128	134	131	152	150	250	249
100	67-skin-symptoms	Check for urgent skin symptom conditions	151	139	142	139	174	171	295	291
100	75-skin-ulcer-or-non-healing-wound	Check for urgent skin ulcer and wound conditions	144	136	137	135	172	166	313	305
100	74-skin-lumps	Check for urgent skin lump conditions	141	134	136	133	170	167	311	305
100	74-skin-lumps	Measure lesion size	135	132	137	134	169	167	311	306
100	50-genital-symptoms-man	Check for urgent genital symptoms in a man	156	140	147	141	182	171	289	268
